policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,ep_reward_mean,ep_len_mean,fps,total_timesteps,n_updates
1.425285,2.1457672119140625e-06,5.370038,0.004681214,0.05834961,0.11814391613006592,2048,-0.005823398,104.62904966666667,514.3333333333334,365,2048,1
1.4357848,5.59833288192749,4.5287538,0.0031380262,0.031884767,-0.25413429737091064,4096,-0.002688496,103.52581585714287,517.7142857142857,394,4096,2
1.4479153,10.784370183944702,3.7807345,0.0033327017,0.03540039,-0.058240532875061035,6144,-0.0036742315,80.17183185714285,406.07142857142856,385,6144,3
1.4672649,16.09262490272522,3.4751136,0.002028829,0.020361328,0.12944573163986206,8192,-0.0028968642,66.691687875,340.9166666666667,394,8192,4
1.4801228,21.282289028167725,3.5617669,0.0024689771,0.024560547,0.3305665850639343,10240,-0.0019807569,63.92233503225807,327.35483870967744,415,10240,5
1.4869008,26.207982301712036,3.3607147,0.0029179617,0.029150391,0.44301724433898926,12288,-0.001992528,62.086530571428554,317.77142857142854,410,12288,6
1.4863384,31.19965648651123,3.0331073,0.002376565,0.021191407,0.46795356273651123,14336,-0.0026009767,62.59061738095238,323.3095238095238,408,14336,7
1.4855163,36.20899271965027,3.1501322,0.004011945,0.04663086,0.5907421112060547,16384,-0.003752505,68.8537398,355.31111111111113,438,16384,8
1.4836427,40.88462543487549,3.081408,0.0051345397,0.064453125,0.3392072319984436,18432,-0.00460082,75.20194767391304,390.89130434782606,448,18432,9
1.4873447,45.45534110069275,2.8535619,0.002542947,0.02470703,0.6342710554599762,20480,-0.001573677,78.66413828571429,409.2244897959184,421,20480,10
1.4930341,50.31921362876892,2.389687,0.0024959187,0.02055664,0.6910015940666199,22528,-0.001971644,80.18191971698114,418.0943396226415,419,22528,11
1.4949869,55.20082759857178,2.1373405,0.002645705,0.023632813,0.7784428745508194,24576,-0.00069830456,81.78827766071427,427.73214285714283,448,24576,12
1.5024979,59.772308588027954,2.1753354,0.00494025,0.059179686,0.7242299318313599,26624,-0.0038987473,86.42202893103448,453.7413793103448,434,26624,13
1.5066783,64.48700857162476,2.5970483,0.003941006,0.049609374,0.5197333693504333,28672,-0.0021682011,91.88241806779659,480.77966101694915,451,28672,14
1.5091063,69.01947355270386,2.1090138,0.0051384526,0.06621094,0.6108470857143402,30720,-0.004174949,96.8040496833333,506.9166666666667,454,30720,15
1.5216391,73.53016376495361,1.799454,0.0021043394,0.015283203,0.6073554456233978,32768,-0.000621413,101.32872542622948,532.1967213114754,448,32768,16
1.5278642,78.09234976768494,1.6663454,0.0030982285,0.029833984,0.5295102000236511,34816,-0.0017326701,105.89423119354836,556.6612903225806,455,34816,17
1.5363723,82.58512759208679,1.4221576,0.0040737796,0.04941406,0.3235371708869934,36864,-0.0026437936,110.21411425396823,580.3492063492064,446,36864,18
1.5388848,87.16891145706177,1.4070342,0.004422088,0.046142578,0.34010642766952515,38912,-0.0035754472,114.668838359375,603.296875,427,38912,19
1.5273664,91.962655544281,0.94608176,0.0029027504,0.02758789,0.5127380192279816,40960,-0.001345645,118.36544761538462,625.5384615384615,393,40960,20
1.5283574,97.1661286354065,1.0257428,0.0038106714,0.044677734,0.5510706603527069,43008,-0.0037099882,122.41226287878789,647.1060606060606,437,43008,21
1.5270858,101.84392809867859,0.934972,0.0045056837,0.055126954,0.4205765128135681,45056,-0.0012533247,126.46264811940297,668.0298507462686,416,45056,22
1.5336455,106.76732540130615,1.1781313,0.002893186,0.028710937,0.34575891494750977,47104,9.8813514e-05,130.70488051470585,688.3382352941177,429,47104,23
1.5416813,111.53147196769714,1.0437951,0.0036568362,0.042285156,0.4364515542984009,49152,-0.0037587609,134.8228792463768,708.0579710144928,430,49152,24
1.5458605,116.28993630409241,0.9278649,0.0032653387,0.034521483,0.3835880160331726,51200,-0.0010092607,138.92590407142856,727.2142857142857,426,51200,25
1.5488951,121.10954070091248,0.99535763,0.0035432572,0.039208986,0.39240163564682007,53248,-0.00086169766,143.03425005633798,745.830985915493,428,53248,26
1.5348628,125.88905763626099,0.86253357,0.0031348318,0.02866211,0.3100275993347168,55296,-0.0021608458,146.90499033333333,763.9305555555555,453,55296,27
1.514327,130.40776705741882,0.7799686,0.0043280832,0.052246094,0.26408612728118896,57344,-0.0023559225,150.30310090410958,781.5342465753424,462,57344,28
1.5053525,134.83717322349548,0.7935456,0.0033717346,0.034375,0.3441743850708008,59392,-0.0014936675,153.87076593243245,798.6621621621622,394,59392,29
1.4944184,140.03069043159485,0.87073195,0.0035650942,0.03803711,0.26401615142822266,61440,-0.0017383192,157.66065104,815.3333333333334,349,61440,30
1.5010668,145.8961615562439,0.69889295,0.0038592387,0.047851562,0.1318417191505432,63488,-0.001087515,160.9162197894737,831.5657894736842,429,63488,31
1.5099576,150.6694061756134,0.6146693,0.005299959,0.06479492,0.29976463317871094,65536,-0.002497706,164.0126642727273,847.3766233766233,370,65536,32
1.5138075,156.1914665699005,0.80305874,0.00452456,0.050585937,0.10025584697723389,67584,-0.0015888764,167.48517310256412,862.7820512820513,408,67584,33
1.5151473,161.20276618003845,0.666199,0.0034894948,0.037988283,0.3234281539916992,69632,-0.00055083836,170.6517285443038,877.7974683544304,411,69632,34
1.5093526,166.1800193786621,0.61964214,0.00395259,0.044873048,0.3017433285713196,71680,-0.00089416513,173.8281960125,892.4375,426,71680,35
1.5103276,170.98193883895874,0.6884457,0.0034436826,0.0362793,0.10036510229110718,73728,-0.0014180879,176.8382948271605,906.716049382716,422,73728,36
