total_timesteps,policy_entropy,time_elapsed,explained_variance,ep_len_mean,serial_timesteps,value_loss,ep_reward_mean,approxkl,fps,n_updates,policy_loss,clipfrac
79872,1.308943,178.5539264678955,0.13176041841506958,572.2,79872,0.6435487,95.56866615999999,0.0077369167,398,39,-0.0034303665,0.10688476
81920,1.3090001,183.6950604915619,0.08674925565719604,591.55,81920,0.7048863,99.48996459,0.0068201097,398,40,-0.0033344082,0.083789065
83968,1.313872,188.84003853797913,0.027140378952026367,610.73,83968,0.785579,103.36535369999997,0.0059114033,403,41,-0.0021895873,0.07744141
86016,1.319899,193.91012597084045,0.0016121864318847656,629.9,86016,0.8133556,107.13140714,0.0066191405,400,42,-0.0043401616,0.08867188
88064,1.32293,199.02216410636902,0.0011906623840332031,649.1,88064,0.81599,110.92983158999999,0.003289042,398,43,0.0008023206,0.034228515
90112,1.3193095,204.16076922416687,-0.007154107093811035,668.3,90112,0.81286144,114.65786173999999,0.00330525,383,44,0.00016171075,0.03334961
92160,1.3182915,209.50755262374878,-0.04151427745819092,687.6,92160,0.8161435,118.50444877,0.0038555958,413,45,-0.0009552965,0.045166016
94208,1.318741,214.45715188980103,0.010499119758605957,706.94,94208,0.79812974,122.26690473999999,0.005376685,417,46,-0.002633454,0.064648435
96256,1.3215909,219.36385798454285,0.017878293991088867,726.29,96256,0.7973858,126.10148533000002,0.0062422953,416,47,-0.003552037,0.080566406
98304,1.3191378,224.28576803207397,0.02891993522644043,745.34,98304,0.80981636,130.05206271,0.0053872922,460,48,-0.0026425086,0.065625
100352,1.3152927,228.73749661445618,0.074726402759552,764.49,100352,0.8145458,134.12530756,0.007649177,463,49,-0.005530815,0.10620117
102400,1.3184555,233.1604015827179,0.03600543737411499,783.8,102400,0.85942775,138.27136043000002,0.005546531,394,50,-0.0010242544,0.066552736
104448,1.3091012,238.35687708854675,0.03761124610900879,802.6,104448,0.88591444,142.49982317,0.00697579,430,51,-0.0049853236,0.089941405
106496,1.3071126,243.11334800720215,0.010755717754364014,821.9,106496,0.8927077,146.89186742,0.00606783,412,52,-0.0037137151,0.08061524
108544,1.3099829,248.07471632957458,-0.01958620548248291,840.96,108544,0.93063277,151.23788944,0.005138573,424,53,-0.00022257157,0.062841795
110592,1.3135917,252.90447187423706,0.040450215339660645,860.03,110592,0.90750235,155.55726592000002,0.0052427324,419,54,-0.0034790814,0.06455078
112640,1.3247958,257.79055428504944,0.03905874490737915,879.15,112640,0.9377883,159.87145957,0.005108836,433,55,-0.00029654137,0.059375
114688,1.3367563,262.5186903476715,0.0004704594612121582,898.21,114688,0.9663253,164.17062936000002,0.0071270824,449,56,-0.0026673882,0.09140625
116736,1.3511546,267.07729148864746,0.002822279930114746,917.11,116736,0.96972907,168.40257253,0.004299288,456,57,-0.0011203914,0.05024414
118784,1.3677989,271.56161880493164,0.013424456119537354,936.14,118784,0.962175,172.59223651,0.0047038393,448,58,-0.001672379,0.060009766
