time_elapsed,approxkl,value_loss,serial_timesteps,n_updates,policy_entropy,ep_reward_mean,ep_len_mean,clipfrac,policy_loss,total_timesteps,explained_variance,fps
4.291534423828125e-06,0.0027794726,8.073044,2048,1,6.349764,160.160417,310.0,0.024121094,-0.0024903861,2048,0.9566044397652149,361
5.666416168212891,0.0033276859,21.143597,4096,2,6.3475447,1008.3821005,1179.5,0.0390625,-0.0024775218,4096,0.8510887920856476,439
10.326623678207397,0.0032048519,19.830421,6144,3,6.359639,1221.202663,1469.3333333333333,0.034375,-0.0018645534,6144,0.8580852150917053,439
14.989698886871338,0.0027545271,20.037909,8192,4,6.365736,1356.8333155,1614.25,0.025244141,-0.0026444583,8192,0.8410899788141251,416
19.909375190734863,0.003112149,19.863789,10240,5,6.355763,1452.5808192,1701.2,0.032910157,-0.0019821532,10240,0.8250294774770737,441
24.54855966567993,0.002962096,24.613932,12288,6,6.359795,1519.4464363333334,1759.1666666666667,0.033984374,-0.0031620548,12288,0.6896894872188568,451
29.081273555755615,0.0036925233,11.631888,14336,7,6.3648415,1475.0048547142856,1800.5714285714287,0.030029297,-0.0030850843,14336,0.9232729524374008,469
33.447340965270996,0.0040627564,20.636595,16384,8,6.3661976,1519.340745625,1831.625,0.050390624,-0.002295699,16384,0.8724022805690765,459
37.900784730911255,0.0021025299,22.713818,18432,9,6.3591595,1542.793328,1855.7777777777778,0.023388673,-0.0019142699,18432,0.6974993646144867,462
42.325278520584106,0.0020225965,15.554423,20480,10,6.3570657,1511.4996471999998,1875.1,0.023339843,-0.0018060583,20480,0.47036105394363403,378
47.7315137386322,0.0020733601,24.667562,22528,11,6.357187,1431.4174493333333,1853.75,0.01953125,-0.0017617168,22528,0.47541695833206177,413
52.69040822982788,0.0046814797,13.109311,24576,12,6.3621807,1416.3772330769232,1868.7692307692307,0.057373047,-0.0035720742,24576,0.7172214686870575,409
57.69551730155945,0.0036351338,10.361128,26624,13,6.355088,1327.755973357143,1763.857142857143,0.03720703,-0.003285472,26624,0.9257191866636276,407
62.728312492370605,0.0022700932,20.370485,28672,14,6.3291445,1362.7080385333334,1782.8666666666666,0.016601562,-0.00094921177,28672,0.8595532178878784,396
67.89563870429993,0.0029056843,30.341343,30720,15,6.3156443,1253.7333592777777,1635.2777777777778,0.026855469,-0.005637569,30720,0.7167351245880127,447
72.46788311004639,0.0020182522,32.11307,32768,16,6.31232,1110.248323681818,1486.3181818181818,0.021484375,-0.002174629,32768,0.6426021456718445,458
76.93210411071777,0.005540973,12.8946705,34816,17,6.3170977,1114.7834663913043,1510.7826086956522,0.06289063,-0.0013941884,34816,0.591026782989502,406
81.96716809272766,0.005544829,20.091198,36864,18,6.3247633,1146.7445589583333,1533.2083333333333,0.06704102,-0.0005079834,36864,0.7944147139787674,404
87.03689050674438,0.0034590769,10.57289,38912,19,6.3329825,1151.6186144800001,1553.84,0.04067383,-0.0021625434,38912,0.6666333377361298,453
91.549471616745,0.004262683,11.787525,40960,20,6.337545,1154.7210598076924,1572.8846153846155,0.04892578,0.00021735523,40960,0.5026059746742249,420
96.41841125488281,0.0036316824,13.73425,43008,21,6.343711,1118.1567162592594,1525.6296296296296,0.04067383,-0.0033873238,43008,0.9171306267380714,409
101.41692304611206,0.0038802742,25.174564,45056,22,6.356044,1106.1354151379312,1500.0,0.043701172,-0.0051613734,45056,0.8785354420542717,374
106.89066791534424,0.0016296294,16.238586,47104,23,6.3730683,1094.2838602258064,1476.0,0.01689453,-0.0028149032,47104,0.8762581273913383,403
111.97064781188965,0.0037475787,20.22473,49152,24,6.3787527,1105.347198875,1493.90625,0.04633789,-0.0034083773,49152,0.8301634192466736,408
116.97880125045776,0.003029847,10.227242,51200,25,6.3840246,1108.824834030303,1510.7272727272727,0.034179688,-0.0017596909,51200,0.9198444113135338,432
121.72641706466675,0.004515344,20.278383,53248,26,6.382411,1126.9301578529412,1526.5588235294117,0.056396484,-0.0035171579,53248,0.8637306094169617,393
126.93450498580933,0.0028487071,20.517662,55296,27,6.3846326,1144.3954029714284,1541.4857142857143,0.0296875,-0.0038476922,55296,0.8652321845293045,413
131.88455629348755,0.0033875913,36.88399,57344,28,6.3903866,1113.6111813421053,1497.2631578947369,0.037646484,-0.0047767786,57344,0.8582754880189896,427
136.6797993183136,0.0060585607,19.138355,59392,29,6.3921804,1130.9416393333333,1511.4102564102564,0.07441406,-0.004886944,59392,0.7923094034194946,401
141.78733658790588,0.0042951284,24.617304,61440,30,6.400862,1124.1346325853658,1493.560975609756,0.046875,-0.0046175485,61440,0.903459757566452,400
146.90406703948975,0.0027597977,11.123537,63488,31,6.4191246,1126.3758887142856,1506.7857142857142,0.03276367,-0.0017881896,63488,0.6255038976669312,429
151.6727774143219,0.0024675624,22.331303,65536,32,6.424073,1062.858727488889,1429.3555555555556,0.027929688,-0.0021846662,65536,0.9200675636529922,438
156.34373021125793,0.0029744818,30.73617,67584,33,6.425233,1041.7953031458333,1397.6875,0.029150391,-0.0027984143,67584,0.8833189904689789,412
161.31254410743713,0.005625368,20.033222,69632,34,6.442141,1057.2102666734693,1410.9795918367347,0.070166014,-0.0026136343,69632,0.8499506413936615,404
166.37051153182983,0.003304499,22.312424,71680,35,6.461525,1055.7396896666667,1404.5294117647059,0.03642578,-0.003647107,71680,0.9053464829921722,412
171.33347630500793,0.0012109836,4.6023517,73728,36,6.469922,1038.8924985961537,1384.4423076923076,0.011035156,-0.0026720124,73728,0.9766164477914572,410
