total_timesteps,n_updates,fps,explained_variance,clipfrac,value_loss,serial_timesteps,policy_loss,ep_len_mean,time_elapsed,approxkl,ep_reward_mean,policy_entropy
2048,1,551,-0.27761292457580566,0.027050782,4.832711,2048,-0.0032360535,299.3333333333333,2.384185791015625e-06,0.002675427,56.019776,1.4330133
4096,2,612,-0.2764120101928711,0.021191407,4.6165504,4096,-0.002498299,736.75,3.7160611152648926,0.0021765705,141.574578,1.4533291
6144,3,594,-0.7107008695602417,0.020751953,4.44428,6144,-0.0014752055,499.4166666666667,7.059548854827881,0.0022400296,98.07363958333333,1.4665401
8192,4,590,-0.21274888515472412,0.034277342,3.6861115,8192,-0.0038106863,372.22727272727275,10.503668308258057,0.0031883917,73.06481299999999,1.4648092
10240,5,572,0.18943339586257935,0.026367188,3.0601208,10240,-0.0013915446,304.3939393939394,13.9729585647583,0.0027666637,59.43327142424243,1.4621469
12288,6,579,0.430661678314209,0.02890625,2.727469,12288,-0.0032046505,254.02083333333334,17.553150177001953,0.0030565883,49.79494033333333,1.4664379
14336,7,597,0.6509551107883453,0.017285157,2.2451274,14336,-0.0021640055,229.03225806451613,21.089099645614624,0.0020340509,45.09178269354839,1.4602131
16384,8,578,0.766708716750145,0.02475586,1.8937395,16384,-0.0032350174,212.2987012987013,24.514913320541382,0.0029484138,41.991271,1.4541609
18432,9,596,0.8691034018993378,0.026367188,1.2294874,18432,-0.0036264677,201.1098901098901,28.0575954914093,0.002961464,39.8212808021978,1.4481118
20480,10,599,0.9038103595376015,0.0390625,1.1160175,20480,-0.0030806449,158.44,31.49221134185791,0.0038766905,31.735558169999994,1.4501522
22528,11,607,0.903954491019249,0.045898438,0.952659,22528,-0.0045834524,146.1,34.90914583206177,0.0037870123,29.30263461,1.4530085
24576,12,616,0.8975541815161705,0.03017578,1.4076588,24576,-0.0019137876,151.15,38.28333282470703,0.0029462427,30.269897200000006,1.454778
26624,13,596,0.9210519418120384,0.068603516,0.9801413,26624,-0.0066348524,149.85,41.606077432632446,0.005381507,30.39561886,1.4510301
28672,14,590,0.918586015701294,0.08823242,1.2160627,28672,-0.009078958,161.23,45.03706932067871,0.0067464137,32.542505070000004,1.4563929
30720,15,619,0.7307049334049225,0.027978515,1.8379694,30720,-0.002066458,180.24,48.506773710250854,0.00273937,35.654860170000006,1.4636196
32768,16,640,0.7464448809623718,0.05292969,2.0795546,32768,-0.0067678886,199.17,51.81177020072937,0.00458998,38.98210214000001,1.4701276
34816,17,638,0.7089756429195404,0.08867188,1.4876372,34816,-0.003959787,218.32,55.00768184661865,0.0067378106,42.21321807,1.4847564
36864,18,631,0.82390396296978,0.06889649,1.4032047,36864,-0.004636826,237.42,58.21420359611511,0.00530004,45.52885322,1.5000634
