value_loss,fps,clipfrac,approxkl,time_elapsed,serial_timesteps,policy_loss,policy_entropy,total_timesteps,explained_variance,n_updates,ep_reward_mean,ep_len_mean
1.8009533,508,0.042578124,0.0037100043,2.384185791015625e-06,2048,-0.0043189684,5.231532,2048,0.9675970189273357,1,,
2.5880454,472,0.123535156,0.010576065,4.03130578994751,4096,-0.009022664,5.203517,4096,0.9851404158398509,2,1366.004831,2049.0
4.2479763,484,0.06313477,0.0053471355,8.365406513214111,6144,-0.00432022,5.158428,6144,0.9740306939929724,3,1529.6400225,2049.0
6.394136,468,0.058398437,0.0048180725,12.589867115020752,8192,-0.003658826,5.133937,8192,0.9585735015571117,4,1612.9475436666664,2049.0
8.903588,524,0.04741211,0.0039058987,16.965920209884644,10240,-0.0053352932,5.131467,10240,0.7999528050422668,5,1652.80445375,2049.0
5.2963204,472,0.047607422,0.004653613,20.874072790145874,12288,-0.008188999,5.121538,12288,0.9678263254463673,6,1572.8723796,2049.0
10.811605,432,0.029785156,0.003102595,25.204533576965332,14336,-0.0034605428,5.1019797,14336,0.9437225982546806,7,1607.706808,2049.0
11.928148,483,0.031298827,0.003157374,29.94304847717285,16384,-0.0029816828,5.088511,16384,0.9342712685465813,8,1623.2635908571428,2049.0
12.865274,488,0.020214844,0.0020925067,34.17913007736206,18432,-0.0040495456,5.0767307,18432,0.9246206134557724,9,1638.63324925,2049.0
21.365559,497,0.03701172,0.0031782375,38.36775755882263,20480,-0.004715943,5.0779862,20480,0.903218500316143,10,1493.2751045999998,1871.9
20.093597,500,0.07553711,0.005994594,42.48240041732788,22528,-0.004975121,5.0781145,22528,0.8650057017803192,11,1507.7587484545454,1888.0
16.538555,495,0.03046875,0.002866961,46.57776379585266,24576,-0.002778226,5.067949,24576,0.8862294107675552,12,1525.7920885833335,1901.4166666666667
20.494156,525,0.030810546,0.0025415753,50.71057462692261,26624,-0.0032942027,5.068121,26624,0.7846706360578537,13,1544.707568153846,1912.7692307692307
26.496984,497,0.047460936,0.0046799434,54.60637545585632,28672,-0.0045073754,5.0690947,28672,0.884437307715416,14,1446.223492,1819.6666666666667
19.487823,491,0.068798825,0.0056533823,58.72305154800415,30720,-0.0039516576,5.079152,30720,0.8635009229183197,15,1462.0981599375,1834.0
31.83281,527,0.025048828,0.002389338,62.887181758880615,32768,-0.0032731146,5.091857,32768,0.8838212788105011,16,1289.47385665,1631.45
21.252182,552,0.026416015,0.0024189835,66.76708364486694,34816,-0.0036568642,5.096795,34816,0.8596373796463013,17,1158.3512292608696,1483.2173913043478
12.290759,529,0.020361328,0.0019343579,70.47116112709045,36864,-0.0024263987,5.098133,36864,0.9494152367115021,18,1103.46969792,1429.24
12.6595545,464,0.087890625,0.0064470554,74.3371217250824,38912,-0.0054729613,5.094149,38912,0.8920799568295479,19,1130.2936806153846,1453.076923076923
16.7989,497,0.039208986,0.0036854309,78.74752163887024,40960,-0.003835243,5.0815945,40960,0.8537949174642563,20,1153.5743655925926,1475.148148148148
19.581589,497,0.067871094,0.0059736194,82.86704659461975,43008,-0.0058319108,5.0665255,43008,0.8607930541038513,21,1171.867831607143,1495.642857142857
19.861563,498,0.024267578,0.00275838,86.98735094070435,45056,-0.0029559336,5.048786,45056,0.8758476078510284,22,1190.6408467241379,1514.7241379310344
19.736519,529,0.043115236,0.0037100785,91.09589767456055,47104,-0.0046492782,5.034774,47104,0.861642986536026,23,1207.5624533666667,1532.5333333333333
20.257572,494,0.04482422,0.0038183953,94.9613425731659,49152,-0.0007527409,5.033636,49152,0.8804139271378517,24,1221.316855032258,1549.1935483870968
20.18172,480,0.11123047,0.008530767,99.10322332382202,51200,-0.0049230037,5.035039,51200,0.8758105859160423,25,1238.24893365625,1564.8125
24.1136,512,0.02836914,0.0027607586,103.3748471736908,53248,-0.0036170091,5.0441456,53248,0.9088360965251923,26,1225.291858852941,1549.264705882353
13.698555,518,0.040380858,0.004064397,107.37490224838257,55296,-0.0048640585,5.06581,55296,0.9382407255470753,27,1175.5388226388889,1498.5833333333333
20.087896,502,0.07700195,0.0059083654,111.32539629936218,57344,-0.005953973,5.077176,57344,0.8540380001068115,28,1190.6490995945946,1513.4594594594594
20.08493,490,0.06943359,0.0056311097,115.40402340888977,59392,-0.0037237965,5.093881,59392,0.8645222634077072,29,1196.6323472368422,1527.5526315789473
19.164755,502,0.039355468,0.0038854324,119.57786417007446,61440,-0.0038939896,5.0892434,61440,0.8791594877839088,30,1211.824948,1540.923076923077
29.035816,504,0.044628907,0.005050647,123.65590333938599,63488,-0.0048468057,5.0921297,63488,0.8925867825746536,31,1201.8727738780487,1528.8292682926829
20.213251,497,0.061523438,0.004920331,127.71795749664307,65536,-0.0026224381,5.102397,65536,0.882000744342804,32,1216.9429601428571,1541.2142857142858
19.673939,477,0.052441407,0.004212715,131.8311803340912,67584,-0.0046607126,5.0896215,67584,0.8768026456236839,33,1229.1522871860466,1553.0232558139535
20.225143,515,0.06645508,0.005906362,136.1180272102356,69632,-0.0033154245,5.095604,69632,0.8870778232812881,34,1242.3007508636365,1564.2954545454545
20.6335,496,0.020361328,0.002171901,140.09464812278748,71680,-0.0026225974,5.103407,71680,0.8702235072851181,35,1251.704952577778,1575.0666666666666
22.299755,471,0.020263672,0.0023086425,144.2205104827881,73728,-0.001362746,5.0931344,73728,0.923313096165657,36,1241.9433637872341,1562.0851063829787
19.373411,485,0.06733398,0.005305047,148.5669708251953,75776,-0.0019954874,5.0937066,75776,0.8920774832367897,37,1252.4578793958333,1572.2291666666667
20.30511,483,0.076220706,0.0056589996,152.7844386100769,77824,-0.004346488,5.0978346,77824,0.8723526895046234,38,1261.798474653061,1581.9591836734694
19.730452,489,0.08154297,0.0061915703,157.01742458343506,79872,-0.001879847,5.102114,79872,0.8807116523385048,39,1272.5607701199997,1591.3
19.851492,488,0.034472656,0.0032968626,161.19949579238892,81920,-0.0017428093,5.0952067,81920,0.8813888654112816,40,1282.6773110588233,1600.2745098039215
19.786339,487,0.058886718,0.005219506,165.3957622051239,83968,-0.0053061796,5.075227,83968,0.8785497099161148,41,1291.868795826923,1608.9038461538462
26.786499,490,0.043359376,0.0041706907,169.5933015346527,86016,-0.0030704339,5.0659804,86016,0.8729743510484695,42,1279.8560982037036,1592.0925925925926
5.7505827,500,0.03803711,0.008740642,173.76663517951965,88064,-0.008578865,5.054754,88064,0.9768276214599609,43,1258.2287086909091,1567.6727272727273
20.153599,500,0.072314456,0.0057340325,177.86057496070862,90112,-0.0017225177,5.0478334,90112,0.8669934272766113,44,1267.7530227857144,1576.267857142857
19.234762,504,0.0647461,0.005730139,181.95126628875732,92160,-0.0022851897,5.040305,92160,0.8722130954265594,45,1277.8079308947367,1584.561403508772
20.084637,493,0.084667966,0.0063420734,186.00752711296082,94208,-0.004674694,5.0464544,94208,0.8748970478773117,46,1287.4436129827586,1592.5689655172414
21.756924,518,0.03300781,0.0029098361,190.15971970558167,96256,-0.0018348794,5.0533714,96256,0.8605628311634064,47,1295.4074389999998,1600.3050847457628
19.951303,492,0.06508789,0.0054772603,194.10945796966553,98304,-0.0037651793,5.043092,98304,0.843795970082283,48,1300.48183555,1607.7833333333333
21.076334,513,0.075,0.005824231,198.26916432380676,100352,-0.0043862127,5.039773,100352,0.9124567732214928,49,1288.9106312741933,1592.6451612903227
