total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,approxkl,n_updates,policy_entropy,explained_variance,ep_reward_mean,ep_len_mean
133120,0.044433594,-0.0038062162,502,255.21125316619873,133120,24.448067,0.003949888,65,6.085315,0.9118609502911568,985.0469851800001,1329.03
135168,0.023632813,-0.0034735356,541,259.28349471092224,135168,20.605488,0.0021788783,66,6.085553,0.8486316651105881,986.3373888000001,1329.03
137216,0.04453125,-0.0046889563,522,263.06370878219604,137216,20.317017,0.0035749744,67,6.083329,0.8919627740979195,1002.13247353,1346.99
139264,0.011572266,-0.0042110956,555,266.9802050590515,139264,15.786394,0.0012865057,68,6.0810275,0.9289326220750809,1005.0461068,1350.51
141312,0.061767578,-0.005114357,493,270.6666705608368,141312,20.016216,0.004973842,69,6.081593,0.8922493681311607,1011.6175366199999,1350.51
143360,0.046484374,-0.004314163,523,274.816166639328,143360,10.677938,0.0037089228,70,6.081232,0.9055711850523949,1022.2592528400002,1366.38
145408,0.028759766,-0.0028891552,528,278.72594141960144,145408,27.873096,0.0026739934,71,6.0805964,0.8946682065725327,1023.65801727,1368.29
147456,0.031933594,-0.0042279353,507,282.6007354259491,147456,20.190802,0.002946103,72,6.060513,0.8806264773011208,1029.7863466499998,1368.29
149504,0.020117188,-0.0051196413,534,286.63301134109497,149504,9.3068,0.002142114,73,6.0454674,0.956774216145277,1027.66010095,1366.15
151552,0.014208985,-0.000539814,516,290.46714186668396,151552,19.967112,0.0018431084,74,6.0418024,0.8812432363629341,1033.2203749399998,1366.15
153600,0.050683595,-0.005682526,550,294.43035531044006,153600,23.863033,0.004368311,75,6.029514,0.9070232510566711,1021.0941862400001,1354.53
155648,0.037744142,-0.0028082656,512,298.153847694397,155648,20.580296,0.003253995,76,6.0205216,0.8816541284322739,1020.4082914600002,1354.53
157696,0.049902342,-0.004382546,462,302.1475784778595,157696,20.703754,0.004305697,77,6.003156,0.8796477019786835,1023.9971289300001,1354.53
159744,0.035302736,-0.0021794443,501,306.57960653305054,159744,19.951303,0.0033432606,78,5.990205,0.8842627108097076,1024.8240897,1354.53
161792,0.043847658,-0.0038980488,492,310.66325879096985,161792,26.754547,0.0037038818,79,5.9863324,0.9001268520951271,1038.31082993,1367.23
163840,0.01953125,-0.0017482057,496,314.8226680755615,163840,20.61949,0.0019930268,80,5.9907203,0.8798395544290543,1036.7608173799997,1367.23
165888,0.016210938,-0.0037622333,502,318.9449610710144,165888,21.009495,0.0016455796,81,5.9915476,0.7310962080955505,1047.3949852699998,1383.09
167936,0.03100586,-0.0020855735,498,323.02359342575073,167936,19.715881,0.0026575215,82,5.987384,0.8838523849844933,1062.16277322,1397.3
169984,0.030126953,-0.0029153,534,327.12984895706177,169984,20.59275,0.002908663,83,5.985753,0.836518868803978,1073.95102467,1412.68
172032,0.054394532,-0.0027605442,486,330.9651629924774,172032,20.01338,0.004760368,84,5.9839244,0.8647417426109314,1073.87782803,1412.68
174080,0.019628907,-0.0013107418,473,335.1759569644928,174080,19.504957,0.002119372,85,5.9799495,0.8861057758331299,1074.21411917,1412.68
176128,0.047167968,-0.0042087357,473,339.500554561615,176128,19.656431,0.0036172178,86,5.9850087,0.8793869316577911,1090.7444696100001,1430.52
178176,0.028515626,-0.008116143,478,343.8243262767792,178176,14.5416765,0.002696088,87,5.993354,0.9481209255754948,1069.77635568,1397.8
180224,0.026171874,-0.004735597,483,348.1047947406769,180224,33.33424,0.002275643,88,6.0074835,0.8269946426153183,1075.80023729,1398.27
182272,0.04711914,-0.0031275167,474,352.3454864025116,182272,19.900402,0.004177774,89,6.0107536,0.8808460459113121,1075.4747135300001,1398.27
184320,0.11376953,-0.0071486807,489,356.66010880470276,184320,19.419214,0.009127927,90,6.0035205,0.8735792487859726,1091.15699412,1413.05
186368,0.04897461,-0.0030854512,491,360.8428955078125,186368,19.901737,0.004020768,91,5.998939,0.8896300867199898,1105.6478641,1428.51
188416,0.02368164,-0.0032684195,496,365.009393453598,188416,20.21494,0.0023810877,92,6.0046954,0.8808558583259583,1120.23059182,1442.98
190464,0.025488282,-0.0060308925,516,369.1345286369324,190464,14.211247,0.0021520075,93,6.021034,0.939859576523304,1106.9622805000001,1429.88
192512,0.04243164,-0.0016406525,416,373.10312819480896,192512,19.950195,0.0037994622,94,6.029672,0.8745488673448563,1110.09504015,1429.88
194560,0.025244141,-0.0033661933,456,378.0190031528473,194560,20.100224,0.0024237665,95,6.0286436,0.8904163166880608,1121.84863316,1441.36
196608,0.01977539,-0.0023507897,456,382.5106897354126,196608,19.814085,0.0019795678,96,6.0195427,0.8669254928827286,1122.5161100599998,1441.36
198656,0.04135742,-0.0023202319,480,386.99605083465576,198656,23.496239,0.003954945,97,6.0074453,0.9138631373643875,1138.8804648999999,1456.77
200704,0.07197265,-0.0037244137,449,391.2597589492798,200704,19.76199,0.0061196475,98,5.9946637,0.8683578073978424,1154.38221435,1472.25
202752,0.08540039,-0.0058364146,457,395.812486410141,202752,19.915556,0.0074066864,99,5.9889765,0.887531690299511,1169.1012545800002,1486.27
204800,0.026416015,-0.0058687953,429,400.28778529167175,204800,6.097589,0.003136094,100,5.9967375,0.9677747935056686,1169.82145119,1487.44
206848,0.05703125,-0.0041947505,457,405.05294919013977,206848,20.424252,0.0046046725,101,6.000751,0.8783575668931007,1170.12550933,1487.44
208896,0.012402344,-0.0017952267,481,409.5301914215088,208896,20.105167,0.0012922924,102,5.9961824,0.8720632344484329,1185.499194,1503.31
210944,0.025976563,-0.0010184727,548,413.78585267066956,210944,21.881393,0.002416665,103,5.9913487,0.6174561381340027,1200.43183745,1518.72
212992,0.030322265,-0.0040126103,509,417.52281618118286,212992,14.053215,0.003482797,104,5.9831443,0.9166971445083618,1210.62029116,1533.76
215040,0.06899414,-0.005581143,501,421.539053440094,215040,19.569014,0.0053324285,105,5.9702826,0.8812030181288719,1227.1933635,1551.62
217088,0.03178711,-0.0021147518,514,425.6272189617157,217088,19.693913,0.0030975286,106,5.9623537,0.871448889374733,1227.20008865,1551.62
219136,0.078710936,-0.0036495992,492,429.6079123020172,219136,19.551058,0.0059409626,107,5.9542904,0.8751388564705849,1241.5857207499998,1564.79
221184,0.0171875,-0.00211238,518,433.77085971832275,221184,22.381433,0.0017377345,108,5.9462166,0.692971795797348,1256.9447129399998,1579.49
223232,0.058886718,-0.0039756726,506,437.72149324417114,223232,13.154234,0.0049899854,109,5.9472647,0.7658449709415436,1268.22541474,1595.63
225280,0.04892578,-0.0034580468,463,441.7661337852478,225280,13.028328,0.0041273395,110,5.9530764,0.7461981475353241,1264.0694392599999,1595.63
227328,0.029541016,-0.005438422,498,446.18596506118774,227328,11.919615,0.003023557,111,5.9566717,0.9289990589022636,1259.7448969799998,1595.63
229376,0.04926758,-0.0020712526,494,450.2936897277832,229376,19.735054,0.004224598,112,5.9685936,0.8883829563856125,1260.42029108,1595.63
231424,0.053125,-0.0018061582,497,454.43569254875183,231424,19.857243,0.0045276326,113,5.969393,0.8805719465017319,1262.4631413299999,1595.63
233472,0.07841797,-0.0041503496,501,458.5501170158386,233472,19.803038,0.006020728,114,5.950514,0.8727070540189743,1277.6763681900002,1610.31
235520,0.039404295,-0.0041407617,511,462.63788866996765,235520,19.692837,0.003801573,115,5.9390936,0.8745518177747726,1292.63534122,1624.72
237568,0.037353516,-0.0024092216,502,466.64299845695496,237568,19.964695,0.003385426,116,5.9336877,0.8822117149829865,1294.70867802,1624.72
239616,0.034472656,-0.0006603541,497,470.71961188316345,239616,19.662123,0.0031396747,117,5.9342732,0.8776676803827286,1294.44810929,1624.72
241664,0.057275392,-0.0027561786,490,474.83508491516113,241664,19.631268,0.004689293,118,5.9370804,0.8806596845388412,1310.27723312,1640.47
243712,0.017480468,-0.0010210064,540,479.01337027549744,243712,30.426355,0.0019792705,119,5.942547,0.8846001848578453,1311.5030234699998,1640.21
