explained_variance,ep_len_mean,approxkl,clipfrac,serial_timesteps,ep_reward_mean,total_timesteps,n_updates,fps,value_loss,policy_entropy,time_elapsed,policy_loss
0.9664068408310413,441.0,0.0048831482,0.053955078,2048,256.694141,2048,1,195,6.017068,4.819149,4.5299530029296875e-06,-0.0045612073
0.9233696535229683,1009.75,0.002310813,0.024072265,4096,767.31816425,4096,2,141,22.065853,4.8322153,10.502637386322021,-0.004336271
0.965721420943737,932.8,0.0019078366,0.0203125,6144,672.7646876,6144,3,192,8.66588,4.8440046,24.948392152786255,-0.0031316443
0.9654716402292252,1024.1666666666667,0.0023306317,0.021777343,8192,764.035612,8192,4,189,3.0103211,4.850963,35.573527812957764,-0.0031870373
0.9684489406645298,1084.875,0.0038535267,0.038427733,10240,840.0497558750001,10240,5,166,6.5006113,4.842655,46.37528967857361,-0.009695862
0.8819441422820091,1050.7272727272727,0.001521661,0.01640625,12288,804.0513316363638,12288,6,141,15.047206,4.843432,58.66409134864807,-0.0025841214
0.8456114083528519,880.9375,0.0013575677,0.013476563,14336,635.597998,14336,7,108,24.141033,4.843391,73.12926506996155,-0.0025722715
0.9641740024089813,843.3529411764706,0.0027096628,0.029785156,16384,604.7419806470588,16384,8,196,4.0070376,4.835854,91.98469114303589,-0.0055572907
0.9557539410889149,907.0,0.0033250898,0.034814455,18432,651.9541940526315,18432,9,169,8.006076,4.8288307,102.38296723365784,-0.0066243922
0.8947970569133759,873.8260869565217,0.0019570193,0.01928711,20480,616.2979788695652,20480,10,125,18.284313,4.834872,114.49676012992859,-0.0032476094
0.9706317372620106,853.375,0.0075714574,0.099169925,22528,601.0939045416666,22528,11,184,3.1452215,4.8392754,130.82644486427307,-0.005796962
0.7728021442890167,873.9642857142857,0.0014601622,0.012744141,24576,619.5403737857142,24576,12,123,24.873423,4.839422,141.9250349998474,-0.0021651078
0.9492759630084038,847.5666666666667,0.004438274,0.0515625,26624,597.8432356,26624,13,149,8.28341,4.8388805,158.55938410758972,-0.008138975
0.912833072245121,842.9090909090909,0.001867822,0.01845703,28672,593.3869613636364,28672,14,135,13.911985,4.844264,172.2236692905426,-0.0041930927
0.9837879743427038,845.8823529411765,0.003913561,0.043945312,30720,594.3070656764706,30720,15,200,2.9233453,4.8319163,187.29006695747375,-0.004115354
0.9345647171139717,891.4444444444445,0.0025579191,0.023583984,32768,640.7897406388888,32768,16,167,13.16629,4.824237,197.52398347854614,-0.002163906
0.9674721993505955,885.6486486486486,0.0018920125,0.016455078,34816,636.4046294054054,34816,17,189,4.9734592,4.811216,209.7440288066864,-0.0024830913
