n_updates,fps,explained_variance,approxkl,ep_reward_mean,policy_entropy,policy_loss,clipfrac,time_elapsed,serial_timesteps,ep_len_mean,total_timesteps,value_loss
43,400,0.6710832715034485,0.003914102,1049.1445267625,6.6130247,-0.0006535008,0.047558594,209.4512448310852,88064,1093.8375,88064,21.487818
44,437,0.017359614372253418,0.0038104667,1061.2967053580246,6.6171026,-0.0023210063,0.042333983,214.56460881233215,90112,1105.6296296296296,90112,19.419256
45,461,0.8084022402763367,0.0011105858,1073.1221556829269,6.6249456,-0.001776042,0.011035156,219.250173330307,92160,1117.1341463414635,92160,37.5496
46,463,0.9282126575708389,0.0015522662,1027.117381505747,6.630891,-0.0020744223,0.012402344,223.68961191177368,94208,1073.0344827586207,94208,28.85881
47,459,0.85160993039608,0.0059777494,1018.3467442666667,6.6337876,-0.0031991578,0.080273435,228.10473680496216,96256,1063.4777777777779,96256,28.177074
48,444,0.7880121022462845,0.0023090658,1029.5262941538463,6.631551,-0.0015501016,0.022998046,232.56448316574097,98304,1074.3076923076924,98304,39.305206
49,475,0.8145475387573242,0.00088239845,1023.9129421827957,6.6307297,-0.0013390299,0.009423828,237.1720006465912,100352,1073.5698924731182,100352,52.54467
50,420,-0.0025120973587036133,0.0033426168,1034.6690160851065,6.625692,0.00024318314,0.041650392,241.4816575050354,102400,1083.9468085106382,102400,19.656202
51,407,0.676489382982254,0.002610729,1034.6138027812501,6.6277113,-2.1873284e-05,0.0296875,246.3581621646881,104448,1083.03125,104448,22.634338
52,422,-0.0026232004165649414,0.002998258,1044.9435434742268,6.641234,-0.0011485826,0.029833984,251.3893666267395,106496,1092.9896907216496,106496,19.777159
53,432,0.009479999542236328,0.0050181695,1055.0950604693878,6.645293,-0.00051883573,0.06254883,256.23572397232056,108544,1102.7448979591836,108544,19.653885
54,420,0.9672400429844856,0.00041910153,1063.1001965858586,6.651339,-0.00048155137,0.0021972656,260.9711627960205,110592,1110.979797979798,110592,5.969685
55,412,0.7099096179008484,0.0011816401,1061.3048325,6.6551447,-0.0005346228,0.00859375,265.84454560279846,112640,1108.28,112640,22.09358
56,408,-0.03207254409790039,0.0027955198,1061.29792163,6.658164,-0.0018789221,0.03564453,270.81347465515137,114688,1108.28,114688,20.452978
57,407,0.68685382604599,0.0030384876,1055.71725358,6.6559763,-0.0008474933,0.03696289,275.82607555389404,116736,1097.36,116736,21.436705
58,430,0.7154458463191986,0.0025524911,1055.77435421,6.6489058,-0.0015993246,0.026611328,280.8530111312866,118784,1097.36,118784,32.37867
59,462,0.6555286049842834,0.0003331852,1051.33213159,6.6399374,-0.0015962888,0.0025390624,285.6111330986023,120832,1097.36,120832,59.775036
60,414,0.9675106890499592,0.0025542038,1046.74693828,6.6205187,-0.0023315502,0.021972656,290.03614234924316,122880,1090.97,122880,2.6402571
61,411,-0.00017082691192626953,0.0068992577,1059.09546709,6.607747,-0.0004607867,0.09013672,294.97854447364807,124928,1101.38,124928,19.832819
62,407,0.00995570421218872,0.0020549905,1059.33860108,6.6054482,-0.0006713356,0.016064454,299.9507546424866,126976,1101.38,126976,19.64835
63,422,0.6678863167762756,0.0034522708,1039.4603694300001,6.6078506,-0.0016681632,0.039355468,304.97454047203064,129024,1081.16,129024,21.632732
64,435,0.016175925731658936,0.003316264,1039.607309,6.6207986,-0.0012193106,0.037988283,309.8189492225647,131072,1081.16,131072,19.561375
65,497,0.49080926179885864,0.0008216095,1039.6758223699999,6.6334586,-0.0007327197,0.008496094,314.5253963470459,133120,1081.16,133120,84.75139
66,427,0.9251202270388603,0.0016087189,1054.9486361999998,6.6244507,-0.0026866014,0.012402344,318.6420977115631,135168,1101.37,135168,6.3930573
67,441,0.06189382076263428,0.005933408,1075.11315372,6.6154594,-0.004549934,0.07670899,323.42809772491455,137216,1121.57,137216,19.186583
68,424,0.020832419395446777,0.004805402,1095.26821839,6.62831,-0.0009462152,0.0625,328.0713529586792,139264,1141.77,139264,19.769844
69,396,0.8419311046600342,0.0052414117,1099.84052341,6.6254587,-0.0025020898,0.06591797,332.89904952049255,141312,1147.51,141312,39.928482
70,455,0.9174816906452179,0.00045619463,1081.2001131999998,6.6169615,-0.00088293606,0.0022460937,338.06009221076965,143360,1129.54,143360,32.307228
71,427,0.9314768239855766,0.00059897604,1080.9029832200001,6.598424,-0.0015739023,0.005566406,342.5542869567871,145408,1129.55,145408,20.920685
72,400,0.8048954904079437,0.0028668514,1080.88529531,6.5991187,-0.00071655295,0.030371094,347.3448359966278,147456,1129.5,147456,23.454468
73,423,0.7082091569900513,0.006178326,1076.70435281,6.6042814,-0.0015727555,0.08491211,352.46138191223145,149504,1124.07,149504,21.354185
74,462,0.8826963827013969,0.00063423096,1077.16034328,6.6131415,-0.00050665054,0.0049804687,357.3004548549652,151552,1127.43,151552,36.443775
75,417,-0.004117846488952637,0.0031371359,1097.23724581,6.624343,-0.0001438699,0.035986327,361.726438999176,153600,1147.63,153600,20.20769
76,418,0.6975133419036865,0.006491302,1097.1803406299998,6.630994,-0.0032226194,0.08735351,366.63807559013367,155648,1147.62,155648,21.543324
77,442,0.845698282122612,0.0034338913,1093.8672870199998,6.625786,-0.0018073799,0.035888672,371.5382332801819,157696,1143.38,157696,31.64413
78,422,0.9985635315533727,0.007154831,1073.76326478,6.6212664,-0.0045713964,0.09423828,376.1672501564026,159744,1123.19,159744,0.030585993
79,438,0.8999291956424713,0.0021142433,1025.98387257,6.6253242,-0.002317713,0.023632813,381.0106358528137,161792,1077.72,161792,39.95916
80,438,0.002040386199951172,0.0036837019,1046.01151742,6.634988,-0.0011756277,0.041503906,385.67812991142273,163840,1097.92,163840,19.78134
81,423,0.011139988899230957,0.0034275209,1047.10098249,6.639352,-0.000651642,0.039941408,390.3478844165802,165888,1098.32,165888,19.732166
82,428,0.712398499250412,0.0056389645,1047.05600811,6.6341577,-0.0030180446,0.07358398,395.18052315711975,167936,1098.35,167936,21.41273
83,429,0.8659083396196365,0.0034647554,1039.1634307900001,6.6275926,-0.0011523049,0.036865234,399.9580557346344,169984,1088.77,169984,26.693018
84,465,0.9664825275540352,0.0014263679,1042.32402502,6.6348944,-0.0013347964,0.01171875,404.7237985134125,172032,1092.95,172032,6.4808006
85,440,0.8040487170219421,0.0023673312,1031.560171,6.6387496,-0.00076718035,0.021435548,409.1231768131256,174080,1081.29,174080,25.056786
86,443,0.9589654207229614,0.0006955694,1045.93916981,6.6337366,-0.0003436044,0.0025390624,413.7704734802246,176128,1095.99,176128,9.115076
87,448,0.9337348714470863,0.00136461,1048.2967536499998,6.6293335,-0.00062422204,0.01040039,418.39191198349,178176,1100.11,178176,19.082224
88,455,0.926969014108181,0.001204268,1055.6548758899996,6.6132364,-0.0012600393,0.0069335937,422.9585611820221,180224,1108.29,180224,15.504906
89,428,0.004528999328613281,0.0042176945,1072.9156890099998,6.598681,-0.0011860586,0.049853515,427.45415019989014,182272,1125.03,182272,20.051126
90,453,0.852119967341423,0.0016593467,1070.57499007,6.6026397,-0.0011105901,0.015283203,432.236603975296,184320,1121.76,184320,38.843746
91,395,0.8476456701755524,0.0038739834,1043.0765498199999,6.6073456,-0.0007319524,0.050146483,436.7546372413635,186368,1091.67,186368,25.051525
92,422,0.013240516185760498,0.003125488,1043.0376423799999,6.619438,-0.00019875502,0.037109375,441.93799686431885,188416,1091.67,188416,19.729902
93,425,-0.0032848119735717773,0.0016723307,1060.3114833700001,6.6291084,0.00042682904,0.012304688,446.78066992759705,190464,1108.23,190464,20.00516
94,423,0.005751967430114746,0.0014922951,1080.37819751,6.638833,0.00063352735,0.009912109,451.59237146377563,192512,1128.41,192512,19.877573
95,410,0.3802998661994934,0.0013422985,1080.44858268,6.630398,-0.0011975991,0.008203125,456.43173813819885,194560,1128.41,194560,21.357359
96,497,0.8906585276126862,0.0015421717,1054.79860252,6.609629,-0.00085116905,0.016162109,461.41847801208496,196608,1106.79,196608,27.662075
97,453,0.7695182710886002,0.001553192,1054.8326843,6.6117616,-0.0006753801,0.01303711,465.53782057762146,198656,1106.79,198656,32.77924
98,423,0.9602760896086693,0.0029233005,1061.77856167,6.628624,-0.0018837049,0.030126953,470.05635929107666,200704,1116.11,200704,7.9922004
99,423,0.8094447702169418,0.0038781862,1037.53597831,6.6387396,-0.00016159451,0.045996092,474.89049100875854,202752,1090.41,202752,22.982578
100,410,-0.006551027297973633,0.004505703,1057.6015869100002,6.648474,-0.00193546,0.06020508,479.72944259643555,204800,1110.6,204800,19.766304
101,476,0.8143838346004486,0.0031620618,1088.2792797700001,6.6491346,-0.0014777553,0.017431641,484.71763610839844,206848,1145.42,206848,41.32802
102,426,-0.0034559965133666992,0.0014891296,1100.49027034,6.6515007,0.00046661397,0.010644531,489.0169560909271,208896,1155.19,208896,19.806812
103,425,0.5335860848426819,0.0026968014,1100.50452191,6.645799,-0.00026169902,0.029541016,493.8237135410309,210944,1155.19,210944,21.07228
104,403,0.9212960079312325,0.0020241092,1098.52725878,6.630975,-0.0021106633,0.022070313,498.63287377357483,212992,1152.73,212992,5.7171984
105,433,0.031888604164123535,0.005843609,1098.46675376,6.614329,-0.0025540267,0.07290039,503.70906043052673,215040,1152.73,215040,19.065344
106,439,-0.0011600255966186523,0.0014152222,1103.78213719,6.624176,0.00010941808,0.010205078,508.43746542930603,217088,1152.73,217088,19.727453
107,419,0.704011857509613,0.0019740185,1103.8521783299998,6.6337037,0.0004513668,0.017822266,513.0985300540924,219136,1152.76,219136,21.35462
108,416,0.005751132965087891,0.0035140098,1103.8929433799997,6.6282363,-0.0010261948,0.036083985,517.9856684207916,221184,1152.76,221184,19.663248
109,388,0.6957016289234161,0.0016987913,1103.92442086,6.6318803,-0.0003337044,0.014355469,522.9036481380463,223232,1152.75,223232,21.388924
110,422,-0.0007696151733398438,0.0040856735,1103.96755138,6.644522,-0.002094963,0.048339844,528.1703491210938,225280,1152.75,225280,19.792116
111,427,0.726321816444397,0.0039921207,1085.83702431,6.641291,-0.0005409797,0.045654297,533.0137474536896,227328,1133.92,227328,21.056301
112,440,0.002312958240509033,0.0047407644,1105.93192597,6.6324234,-0.0029976987,0.055273436,537.8018047809601,229376,1154.06,229376,19.828812
113,445,0.8630525022745132,0.0024976677,1065.4460335800002,6.6469,-0.0030390925,0.022607422,542.4467754364014,231424,1111.06,231424,44.693222
114,442,0.012682676315307617,0.0067459093,1081.19157271,6.6660905,-0.0026678804,0.09423828,547.046923160553,233472,1125.45,233472,19.605625
115,432,-0.011307120323181152,0.0067071626,1081.2090368099998,6.6653457,-0.0023961728,0.09326172,551.6805925369263,235520,1125.45,235520,20.059296
116,425,-0.0036635398864746094,0.003002355,1081.2260571199997,6.6594505,0.00028841238,0.031884767,556.413488149643,237568,1125.45,237568,20.079746
117,473,0.9601020440459251,0.0006963679,1066.25524139,6.6491303,-0.00016366271,0.004003906,561.2235882282257,239616,1112.15,239616,9.139044
118,452,0.0006685853004455566,0.0034212596,1086.4535465299998,6.643561,-0.00021598235,0.037158202,565.5529792308807,241664,1132.37,241664,20.135822
119,445,0.8157526105642319,0.0013519888,1068.7504764399998,6.64851,-0.0004694343,0.009521484,570.0823142528534,243712,1115.68,243712,30.626133
120,425,-0.004477262496948242,0.0030277765,1073.66904281,6.650438,-0.00035432013,0.034082033,574.6846723556519,245760,1115.68,245760,20.020048
121,438,0.8759863823652267,0.0029303464,1035.87767607,6.646498,-0.0015525015,0.03745117,579.5025653839111,247808,1078.68,247808,26.40363
122,415,0.6752509474754333,0.0003560852,1051.49591216,6.6489053,-0.00012064013,0.0018066406,584.1775946617126,249856,1093.14,249856,21.589918
123,452,0.8056168258190155,0.001284214,1051.59860126,6.661219,-0.0003566798,0.013330078,589.1103353500366,251904,1093.14,251904,30.78866
124,445,0.9722369629889727,0.0019843203,1053.25883373,6.673922,-0.0013430397,0.010791016,593.6327781677246,253952,1095.61,253952,4.2342734
125,404,0.5315887331962585,0.0009640694,1070.7151848,6.682973,0.00075659883,0.010498047,598.2332653999329,256000,1112.08,256000,32.425102
126,458,0.7811193913221359,0.001961297,1088.81837186,6.670736,-0.0015578505,0.014550781,603.2941522598267,258048,1129.92,258048,23.4222
127,454,0.9486281760036945,0.0030967235,1100.68680556,6.662258,-0.0010605988,0.03696289,607.7608571052551,260096,1141.09,260096,4.499042
128,421,0.7982335239648819,0.0028900462,1100.75204841,6.667788,-0.0008304675,0.03261719,612.2710704803467,262144,1141.15,262144,23.525932
129,427,0.6727494597434998,0.0058685574,1120.9168314400001,6.6761045,-0.004763483,0.07578125,617.1334643363953,264192,1161.33,264192,21.77354
130,413,0.0005314946174621582,0.0039705364,1120.96604927,6.680354,-0.0011777993,0.047460936,621.927109003067,266240,1161.33,266240,20.026
131,463,0.8307937830686569,0.00036629578,1137.48565718,6.683863,3.888783e-05,0.0013671875,626.8774597644806,268288,1179.04,268288,37.97479
132,419,0.7102319002151489,0.0035949643,1149.7664453,6.6889925,-0.00073964766,0.0375,631.3006203174591,270336,1188.39,270336,21.841324
133,421,0.6790115535259247,0.0032593007,1129.77884584,6.693743,-3.893458e-06,0.037744142,636.1872458457947,272384,1168.18,272384,21.546013
134,412,0.6939542591571808,0.0060106455,1129.9061544600002,6.7034035,-0.0013001205,0.07353516,641.048656463623,274432,1168.2,274432,21.716463
135,398,-0.0024323463439941406,0.0035167404,1147.41878737,6.7169695,-0.0014983665,0.039990235,646.0143013000488,276480,1184.9,276480,19.89672
136,422,0.005640923976898193,0.0043553254,1167.53230272,6.737565,-0.0025861647,0.049902342,651.1563723087311,278528,1205.09,278528,19.74627
137,487,0.9051000028848648,0.0006361805,1155.2649892100003,6.755525,-0.0006594191,0.0063964846,656.0047154426575,280576,1195.65,280576,19.921824
138,430,-0.010638713836669922,0.00042597763,1171.53914934,6.7450843,-0.00035898466,0.0018066406,660.2077000141144,282624,1211.17,282624,20.991337
139,419,0.831171527504921,4.653502e-05,1192.60887335,6.7325087,-0.00015402716,4.8828126e-05,664.9656324386597,284672,1232.32,284672,32.33847
140,458,0.9591839723289013,0.0012087453,1160.73414824,6.729519,-0.00056646985,0.010107422,669.8441905975342,286720,1200.96,286720,7.7892714
141,505,0.902102567255497,0.0005663781,1158.31648574,6.7363296,-0.00041586874,0.005517578,674.3095862865448,288768,1199.28,288768,16.379194
142,494,0.8512796461582184,0.00030639055,1157.75074038,6.743407,-0.00016667655,0.0028320313,678.3643255233765,290816,1204.29,290816,29.893764
143,454,0.9630837850272655,0.0015081724,1141.2484253500002,6.7485723,-0.00040509217,0.008251953,682.5097413063049,292864,1189.01,292864,8.020971
144,440,0.7921408861875534,0.002621504,1161.3578462100002,6.7586045,-0.00028768176,0.028320312,687.0188279151917,294912,1209.17,294912,23.421125
145,415,0.9767455905675888,0.0024666828,1159.24658946,6.753022,-0.0016320704,0.02211914,691.663821220398,296960,1206.95,296960,2.7253401
146,404,0.7949829995632172,0.0028342353,1156.86844671,6.750155,-0.0008878027,0.03203125,696.5921223163605,299008,1202.83,299008,25.549633
147,484,0.8135325312614441,0.00048802566,1125.5859057399998,6.7534637,-0.00070636085,0.0052246093,701.6549015045166,301056,1170.7,301056,39.24445
148,410,-0.01974499225616455,0.0011175445,1125.5886700199999,6.7426186,-0.0009974808,0.012207031,705.885374546051,303104,1170.7,303104,20.613533
149,458,0.4231107831001282,0.003461325,1145.75102244,6.734507,-0.0008070876,0.03803711,710.8774304389954,305152,1190.91,305152,21.119518
150,481,0.9072277247905731,0.0007671907,1136.89273836,6.7381544,-0.0012951689,0.008007812,715.340692281723,307200,1185.94,307200,20.981071
151,462,0.9411173649132252,0.0020761224,1106.18285487,6.7424135,-0.0026633423,0.014550781,719.5974080562592,309248,1156.53,309248,12.6398115
152,454,0.012032091617584229,0.0033916705,1106.2421639,6.739993,-0.0011754659,0.042626955,724.0224125385284,311296,1156.53,311296,19.753513
153,431,0.8561956733465195,0.00093957456,1093.06975458,6.738218,-8.7462424e-05,0.009765625,728.5251617431641,313344,1139.49,313344,24.66197
154,441,-0.004626870155334473,0.0018306787,1106.29170892,6.736014,-0.00042448548,0.017871093,733.2714204788208,315392,1150.39,315392,20.191853
155,448,0.982884805649519,0.0022087377,1103.2810330300001,6.728078,-0.0021891915,0.013769532,737.910436630249,317440,1147.74,317440,1.965276
156,453,0.8750884681940079,0.0016138607,1081.79589507,6.7158937,-0.0007930611,0.01689453,742.4818155765533,319488,1123.89,319488,38.7414
157,436,0.0006418824195861816,0.0040825573,1081.83766791,6.7199554,-0.0002708444,0.050439455,746.9946413040161,321536,1123.89,321536,20.042202
158,439,-0.002835988998413086,0.003220814,1081.9435148,6.727645,0.0006050109,0.035302736,751.6882629394531,323584,1123.89,323584,20.081337
159,419,0.6769043207168579,0.0014463898,1102.11065428,6.723162,-8.5719315e-05,0.009179687,756.3437569141388,325632,1144.07,325632,24.506565
160,414,0.8088276237249374,0.003507822,1062.0386902799999,6.7270575,-0.0025175703,0.042773437,761.2231364250183,327680,1103.7,327680,23.540958
161,401,0.00013971328735351562,0.0012825488,1082.14288351,6.745246,0.0002736727,0.008886719,766.1683969497681,329728,1123.85,329728,20.050985
162,432,0.6792725920677185,0.0023697307,1062.0637642699999,6.7561545,0.00015975592,0.021777343,771.2645738124847,331776,1103.64,331776,21.98116
163,462,0.9294025972485542,0.005111334,1072.38048923,6.7432327,-0.0038201758,0.034716796,776.0031585693359,333824,1115.01,333824,9.948006
164,337,0.0004696846008300781,0.0039724107,1072.3783557,6.726466,-0.0012660928,0.045214843,780.432590007782,335872,1115.01,335872,20.107159
165,411,0.006872296333312988,0.0029776026,1072.3888510699999,6.7314215,-0.0011309122,0.030273438,786.4961624145508,337920,1115.01,337920,19.91469
166,426,0.8033760786056519,0.0035013836,1052.16222611,6.7325196,-0.0013700911,0.039892577,791.4786794185638,339968,1094.74,339968,23.457859
167,433,-0.017540574073791504,0.0043135337,1069.55631608,6.727507,-0.0009603384,0.048535157,796.2791030406952,342016,1111.31,342016,20.17058
168,434,-0.0013515949249267578,0.0014287631,1077.24411269,6.726596,-0.00085600064,0.013818359,801.0083134174347,344064,1117.58,344064,20.125938
169,459,-0.0017279386520385742,0.003297579,1097.3960426500003,6.7390795,-0.0015772119,0.038867187,805.7194216251373,346112,1137.77,346112,19.984081
170,454,0.876448504626751,0.0030990285,1079.60320474,6.748375,-0.0012836463,0.035009764,810.179493188858,348160,1120.77,348160,38.27516
