explained_variance,time_elapsed,value_loss,serial_timesteps,fps,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
0.9922059294767678,1.9073486328125e-06,1.0792005,2048,486,-0.0043240567,2048,1,0.0073535615,0.09208985,5.5571156,,
0.9735263772308826,4.208232164382935,7.660103,4096,552,-0.0048114373,4096,2,0.0025857475,0.028222656,5.5539694,783.0946983333333,1043.3333333333333
0.8839036971330643,7.912248134613037,20.935204,6144,520,-0.0015375316,6144,3,0.0027046879,0.02866211,5.575328,1038.21711825,1294.75
0.7081479132175446,11.848042488098145,25.632965,8192,552,-0.0032473162,8192,4,0.002182396,0.025537109,5.587271,946.9100450000001,1288.8333333333333
0.75004543364048,15.553590774536133,13.86046,10240,550,-0.0050353757,10240,5,0.003035778,0.03754883,5.585368,989.7542991428572,1397.4285714285713
0.8198410272598267,19.275033473968506,12.155978,12288,540,-0.0024361033,12288,6,0.0043188916,0.05126953,5.5727925,1018.049854375,1478.875
0.9080966114997864,23.06623673439026,19.758638,14336,506,-0.003306609,14336,7,0.004149253,0.049609374,5.5839405,1105.2383036666665,1542.2222222222222
0.878229096531868,27.108210802078247,4.9711123,16384,554,-0.0033811156,16384,8,0.0032168545,0.037597656,5.598561,1016.5334491,1433.9
0.8388425707817078,30.804010152816772,5.7574124,18432,537,-0.0070815245,18432,9,0.004414141,0.053808592,5.59783,1037.3318975454545,1489.8181818181818
0.8815056309103966,34.61345911026001,9.52381,20480,562,-0.006728088,20480,10,0.0047340635,0.052197266,5.6012506,995.6244486153846,1466.3846153846155
0.7544782608747482,38.254578828811646,11.481192,22528,555,-0.0034258165,22528,11,0.00430479,0.051220704,5.6076484,1012.9236252142857,1508.0
0.9445026628673077,41.941537857055664,10.562358,24576,523,-0.0074379677,24576,12,0.005541338,0.046923827,5.613846,1027.4333231333335,1544.0666666666666
0.8659885674715042,45.850874185562134,20.462648,26624,521,-0.0015114768,26624,13,0.001844969,0.017675782,5.617162,1072.5725865,1575.625
0.8690206557512283,49.779454946517944,14.296503,28672,530,-0.002321418,28672,14,0.0012899275,0.011914062,5.6128807,1055.5965683333334,1567.888888888889
0.788997620344162,53.64103555679321,24.412434,30720,544,-0.005141302,30720,15,0.0032014784,0.033154298,5.598411,1072.7178129473682,1593.2105263157894
0.8773979470133781,57.401883602142334,19.449219,32768,483,-0.0037587602,32768,16,0.007453567,0.09013672,5.594384,1108.9021827499998,1616.0
0.8889460861682892,61.63903880119324,19.689526,34816,486,-0.003209024,34816,17,0.0054403213,0.07006836,5.610382,1140.6274504285714,1636.6190476190477
0.8964683040976524,65.85278153419495,18.69065,36864,505,-0.005184118,36864,18,0.006002368,0.07416992,5.611138,1168.737648272727,1655.3636363636363
0.9843245130032301,69.9052345752716,3.4452083,38912,544,-0.0039864853,38912,19,0.0018070762,0.018798828,5.597721,1130.0936787826085,1607.9130434782608
