clipfrac,policy_loss,value_loss,ep_reward_mean,total_timesteps,policy_entropy,n_updates,explained_variance,fps,time_elapsed,serial_timesteps,approxkl,ep_len_mean
0.026757812,-0.0014720544,39.87379,351.328535,2048,1.4321727,1,-0.010759949684143066,545,1.9073486328125e-06,2048,0.0026256219,662.0
0.058154296,-0.0030453936,36.7194,404.58038139999996,4096,1.4367082,2,0.05491381883621216,597,3.7580394744873047,4096,0.0046836035,787.8
0.014355469,-0.0026904847,29.255405,419.15166928571426,6144,1.4145588,3,0.030489444732666016,592,7.185340642929077,6144,0.0021000062,847.5714285714286
0.02060547,-0.00166525,32.133434,400.7801795,8192,1.3888634,4,0.07934343814849854,598,10.63977599143982,8192,0.0022840137,808.6
0.010644531,-0.0013712959,52.84914,268.34047330000004,10240,1.393831,5,0.08149629831314087,621,14.061302423477173,10240,0.0013206599,505.25
0.041894533,-0.004348975,44.517326,244.03165966666668,12288,1.4039867,6,0.10197693109512329,599,17.355919122695923,12288,0.0039011505,447.4074074074074
0.032568358,-0.001984986,45.57545,232.04994202941174,14336,1.4097335,7,0.15248239040374756,580,20.771772384643555,14336,0.003261628,417.2352941176471
0.028857421,-0.0024289156,49.464058,217.09148169767448,16384,1.4125684,8,0.1601220965385437,549,24.30202889442444,16384,0.0030309206,379.95348837209303
0.014599609,-0.002240671,45.49819,208.66067594000003,18432,1.4050802,9,0.21366673707962036,543,28.029327630996704,18432,0.002196287,359.64
0.018652344,-0.0021246485,49.2632,203.51907001694914,20480,1.4066293,10,0.285281777381897,578,31.79853892326355,20480,0.0020712125,345.4406779661017
0.031542968,-0.0031633899,33.816284,204.50678564062503,22528,1.4094102,11,0.3034343123435974,553,35.34001302719116,22528,0.003204237,349.046875
0.017578125,-0.0019620175,34.26052,206.45621938235297,24576,1.4082026,12,0.3109785318374634,534,39.03927302360535,24576,0.0021060442,353.1029411764706
0.05239258,-0.004529222,12.623453,213.42874684057975,26624,1.4115798,13,-0.016765594482421875,560,42.87402272224426,26624,0.004251853,377.6811594202899
0.017529298,-0.0026996327,15.5134945,218.14031095833332,28672,1.4140277,14,0.049686312675476074,573,46.53145432472229,28672,0.0022028242,397.09722222222223
0.018359374,-0.0014901275,33.998272,220.0923355844156,30720,1.4054322,15,0.3734084367752075,562,50.1023428440094,30720,0.0020269454,398.4025974025974
0.021972656,-0.0022819987,33.113945,222.68010743209877,32768,1.4133643,16,0.3841291069984436,555,53.74477696418762,32768,0.0024504694,401.77777777777777
0.02319336,-0.0023084544,33.203472,226.31729882142858,34816,1.4224995,17,0.4268370270729065,561,57.431575775146484,34816,0.0025851305,406.4642857142857
0.032421876,-0.0023587537,15.272212,232.8488083372093,36864,1.4286816,18,0.12589997053146362,484,61.07789874076843,36864,0.0029934717,425.5813953488372
0.025634766,-0.0017846024,11.364446,238.59323086206896,38912,1.4227341,19,0.10883933305740356,417,65.30804324150085,38912,0.0027901805,444.2413793103448
0.026855469,-0.0016291722,8.017617,243.08113718181815,40960,1.4236643,20,0.23883551359176636,428,70.21963596343994,40960,0.0029500253,462.47727272727275
0.027490234,-0.0015248578,9.530079,243.12660756179775,43008,1.4261363,21,0.28408610820770264,448,74.99646592140198,43008,0.0029245187,462.34831460674155
0.03334961,-0.0031405003,7.1267843,247.60633706666667,45056,1.4285185,22,0.30072319507598877,461,79.55997061729431,45056,0.0030630934,479.97777777777776
0.021386718,-0.002740702,6.2691665,251.48082792307693,47104,1.4241117,23,0.3146193027496338,427,84.00247764587402,47104,0.002061806,497.2197802197802
0.088134766,-0.0072509707,5.8133373,255.14722526086956,49152,1.4250817,24,0.3979661464691162,411,88.79593420028687,49152,0.0064526387,514.0869565217391
0.04458008,-0.002140966,8.297585,258.60699031182793,51200,1.4367914,25,0.3891279101371765,373,93.7790801525116,51200,0.0039364775,530.5913978494624
0.03730469,-0.0022997002,6.8287897,262.6861058829787,53248,1.4442875,26,0.387337863445282,447,99.27637386322021,53248,0.0034542172,546.7446808510638
0.015429688,-0.0020420405,4.756141,266.4544641789474,55296,1.4377583,27,0.4854375123977661,446,103.85300517082214,55296,0.0019110529,562.5578947368421
0.013134765,-0.0009166313,7.0469713,269.81323679166667,57344,1.4285816,28,0.4870714545249939,455,108.43688249588013,57344,0.0018677112,578.0416666666666
0.043066405,-0.0020164563,6.9190116,273.6354822783505,59392,1.4335797,29,0.5113865435123444,430,112.93798446655273,59392,0.0036572497,593.2061855670103
0.0075683594,-8.693738e-05,5.4530234,277.4954304489796,61440,1.4381992,30,0.5295394361019135,463,117.69718074798584,61440,0.0014262418,608.0612244897959
0.045458984,-0.0034579015,5.4007177,280.90911347474747,63488,1.4373307,31,0.5621238052845001,423,122.11372828483582,63488,0.0040028715,622.6161616161617
0.036621094,-0.0026351688,4.982893,284.39053709,65536,1.4376929,32,0.5936563014984131,460,126.95412683486938,65536,0.0035700172,636.88
0.04248047,-0.001583881,4.1934223,287.46080010000003,67584,1.4393078,33,0.643595278263092,439,131.40315794944763,67584,0.0037467,652.01
0.024023438,-0.0018064696,5.3031034,289.45483056,69632,1.4340535,34,0.6144264340400696,440,136.0683102607727,69632,0.0027699994,664.62
0.018164063,-0.0014512471,6.056684,291.77515134000004,71680,1.4288485,35,0.593166321516037,459,140.71918296813965,71680,0.002021804,677.79
0.05317383,-0.0031051934,3.8135128,290.87369192,73728,1.4315927,36,0.6897091269493103,451,145.1763894557953,73728,0.0044999206,682.16
0.043164063,-0.0023239139,5.301722,295.06541389,75776,1.4382145,37,0.6677102446556091,450,149.70852708816528,75776,0.0039371536,699.94
