value_loss,fps,clipfrac,approxkl,time_elapsed,ep_len_mean,serial_timesteps,policy_loss,ep_reward_mean,policy_entropy,total_timesteps,explained_variance,n_updates
4.5702157,560,0.027978515,0.003032842,1.9073486328125e-06,394.5,2048,-0.002760313,77.38836825,1.4114475,2048,-0.04466092586517334,1
5.124688,594,0.027636718,0.00273842,3.65507173538208,506.0,4096,-0.0046537523,102.14690442857143,1.412963,4096,-0.005940556526184082,2
3.97553,586,0.02602539,0.002869924,7.1019086837768555,427.5,6144,-0.0020330634,84.04989442857143,1.4194164,6144,0.17359495162963867,3
5.235575,593,0.019824218,0.0022045863,10.5947265625,434.44444444444446,8192,-0.0038309756,87.76163861111111,1.4152901,8192,0.09513169527053833,4
3.916949,608,0.027734375,0.0031831167,14.044766664505005,407.76,10240,-0.0023319158,82.37709104,1.4154122,10240,0.312916100025177,5
4.292691,620,0.02084961,0.0022808106,17.40848159790039,369.42424242424244,12288,-0.00130443,75.5661067878788,1.4217077,12288,0.3294079899787903,6
3.697937,616,0.028710937,0.0027655282,20.7116436958313,341.5121951219512,14336,-0.0024364456,70.11274175609756,1.4341019,14336,0.4366992712020874,7
2.9799187,537,0.062597655,0.004922005,24.036484003067017,332.2857142857143,16384,-0.0046395473,68.22640961224491,1.4450581,16384,0.6364551484584808,8
7.5587654,501,0.028173828,0.0027160817,27.844418048858643,348.37254901960785,18432,-0.0024845148,73.78681135294119,1.4595268,18432,0.2548410892486572,9
4.240276,610,0.057763673,0.0045786914,31.926019191741943,375.1296296296296,20480,-0.004042019,80.68045162962963,1.465691,20480,0.6303038597106934,10
3.9025776,602,0.03388672,0.0031265512,35.27962350845337,387.86206896551727,22528,-0.0021726976,84.03773805172415,1.4676503,22528,0.7172219455242157,11
4.2039537,616,0.051757812,0.004332452,38.67768430709839,416.0169491525424,24576,-0.0029585967,90.69420191525424,1.4775635,24576,0.42654168605804443,12
4.064494,603,0.023388673,0.0025571708,42.00104546546936,443.23333333333335,26624,-0.0025874116,97.12036993333335,1.4798348,26624,0.3855742812156677,13
6.4411077,565,0.02084961,0.0023763895,45.39594221115112,469.55737704918033,28672,-0.0024313773,104.7151363442623,1.4682969,28672,0.08608609437942505,14
7.0733337,586,0.0597168,0.0050402023,49.017430782318115,495.03225806451616,30720,-0.0027834796,112.7284676451613,1.4684458,30720,-0.3046978712081909,15
11.331175,573,0.008740234,0.0017065719,52.509610414505005,519.6984126984127,32768,-0.0016036915,122.34774311111113,1.4750642,32768,-0.07116973400115967,16
8.577566,578,0.042578124,0.0037961858,56.07976841926575,531.484375,34816,-0.0023964164,127.64934331250001,1.4722266,34816,-0.06888365745544434,17
4.9342155,580,0.046142578,0.0040478734,59.61877131462097,544.6769230769231,36864,-0.0027177837,131.39513123076924,1.4746152,36864,0.35708385705947876,18
