policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,ep_reward_mean,time_elapsed,value_loss,ep_len_mean,approxkl
-0.0022962103,1,2048,-0.27284491062164307,0.0061035156,1.4193411,391,2048,113.89962733333333,2.1457672119140625e-06,4.5639668,591.3333333333334,0.00136783
-0.004284385,2,4096,-0.18399393558502197,0.031689454,1.4303122,445,4096,101.81039271428571,5.231003522872925,4.591256,528.4285714285714,0.00280945
-0.0026120476,3,6144,-0.09610593318939209,0.027636718,1.4462414,458,6144,102.93297509090908,9.827699661254883,4.0220833,536.6363636363636,0.0025538583
-0.005434231,4,8192,-0.1029742956161499,0.079589844,1.4531757,482,8192,103.90592491666666,14.29482388496399,3.7621872,540.5833333333334,0.0064223213
-0.0015079655,5,10240,-0.11186301708221436,0.036572266,1.458625,475,10240,104.238136,18.535935401916504,3.6484609,548.7647058823529,0.0036748345
-0.0032520543,6,12288,0.06272691488265991,0.0203125,1.461822,452,12288,100.77619313043476,22.84120512008667,3.2428017,529.695652173913,0.0022658193
-0.006252208,7,14336,0.14072471857070923,0.061865233,1.4570594,476,14336,113.63817795833334,27.37096333503723,3.7843845,593.0,0.005149469
-0.0024233933,8,16384,0.10623645782470703,0.046289064,1.4522866,489,16384,107.57764032142858,31.66949224472046,3.2073689,561.1071428571429,0.0041687265
-0.0030974948,9,18432,0.10310131311416626,0.027294923,1.4475731,490,18432,117.99349489655172,35.85302448272705,3.074482,612.4137931034483,0.0028475109
-0.00324675,10,20480,0.22419798374176025,0.03173828,1.4488928,497,20480,122.80812706666667,40.03236508369446,2.3789387,637.9666666666667,0.0030880878
-0.003252995,11,22528,0.0035985708236694336,0.05522461,1.4609034,515,22528,130.99016635483872,44.14901089668274,2.0116367,683.483870967742,0.004564225
-0.0027517623,12,24576,0.16864359378814697,0.07841797,1.4621984,495,24576,138.33958,48.11967325210571,2.1081538,726.15625,0.006471292
-0.0016744552,13,26624,0.19424045085906982,0.046484374,1.4606435,513,26624,146.45150842424243,52.25099492073059,2.3796842,766.2424242424242,0.0038793168
-0.00033945206,14,28672,0.24404776096343994,0.024902344,1.4654615,509,28672,154.84673635294118,56.238598585128784,2.1312282,803.9705882352941,0.0027594282
