n_updates,fps,clipfrac,explained_variance,total_timesteps,ep_len_mean,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean
1,520,0.020996094,0.6288255453109741,2048,269.2857142857143,31.784018,1.9073486328125e-06,-0.004494625,0.0022931085,2048,6.396786,97.60209785714287
2,503,0.039208986,0.8983393311500549,4096,491.75,20.989817,3.9382336139678955,-0.0030361686,0.0031815164,4096,6.3993344,292.619366625
3,518,0.016748047,0.9762412924319506,6144,524.6666666666666,5.630227,8.007786273956299,-0.0024899237,0.0016925039,6144,6.3992395,307.0831425555555
4,523,0.032910157,0.9093174785375595,8192,540.2666666666667,36.683475,11.955030679702759,-0.005314403,0.0028009766,8192,6.407153,332.78622113333336
5,546,0.0043945312,0.8518581241369247,10240,551.1176470588235,12.571806,15.864700317382812,-0.0016098872,0.00068151194,10240,6.4159966,325.48903517647057
6,497,0.046044923,0.9165167659521103,12288,635.578947368421,25.061523,19.611969232559204,-0.0032081227,0.003804532,12288,6.417665,388.53819421052634
7,510,0.028125,0.908163271844387,14336,706.25,20.676708,23.726221799850464,-0.0019952958,0.0026012156,14336,6.42827,450.76252135000004
8,544,0.0048828125,0.9571896716952324,16384,673.8181818181819,12.380972,27.73823833465576,-0.0009870505,0.00060424546,16384,6.4334135,422.3420964545455
9,551,0.023583984,0.8787526488304138,18432,698.8846153846154,34.177063,31.499726057052612,-0.003469777,0.0023043393,18432,6.4494147,443.377955
10,578,0.03046875,0.8120081573724747,20480,667.8666666666667,23.963015,35.213123083114624,-0.0075952536,0.0028048104,20480,6.4609885,411.3097429666667
11,536,0.025732422,0.923563152551651,22528,660.09375,20.295744,38.752092599868774,-0.0032635904,0.0021769886,22528,6.459081,403.30791624999995
12,551,0.011865234,0.917904444038868,24576,692.0285714285715,29.01921,42.57044458389282,-0.0024686716,0.0012559008,24576,6.4524217,431.55374851428564
13,530,0.01796875,0.9463331624865532,26624,692.1666666666666,10.637137,46.28368544578552,-0.0040560667,0.0018624375,26624,6.449984,430.2800533333332
14,526,0.027294923,0.9178911224007607,28672,728.8378378378378,20.452337,50.14354729652405,-0.0022812644,0.0028022635,28672,6.4513063,464.99364091891886
15,559,0.013671875,0.8541463017463684,30720,766.825,31.832905,54.033052921295166,-0.0017508559,0.0015592148,30720,6.4434137,492.84793215
16,529,0.04790039,0.7779679894447327,32768,798.0975609756098,13.615942,57.69288468360901,-0.0056506163,0.0051961252,32768,6.434273,510.5904489268293
17,509,0.016455078,0.9812184385955334,34816,794.0,5.160674,61.56408476829529,-0.0010906418,0.0016475267,34816,6.4292097,505.0454081666667
18,530,0.018310547,0.9265753105282784,36864,810.0909090909091,23.863194,65.58143043518066,-0.0017778212,0.0018150633,36864,6.434581,520.7548570681819
19,524,0.0147949215,0.920822337269783,38912,834.6304347826087,24.664738,69.44493699073792,-0.0038499297,0.001471224,38912,6.4509873,540.6442820217392
20,487,0.019335937,0.932349219918251,40960,847.75,21.553911,73.35019040107727,-0.000809073,0.0018289253,40960,6.4671516,555.0767681666666
21,521,0.017626952,0.7359840571880341,43008,826.5,24.344036,77.55178046226501,-0.0029198504,0.0019105661,43008,6.470044,532.1432191730769
22,496,0.031201173,0.9192396625876427,45056,849.566037735849,20.276684,81.4781289100647,-0.0025571168,0.003076773,45056,6.470092,552.4810845094339
23,506,0.030615235,0.8952216878533363,47104,871.7777777777778,19.97771,85.60271430015564,-0.0012556643,0.002829656,47104,6.4603143,574.8105369444444
24,572,0.022753906,0.9578019939363003,49152,830.9310344827586,14.409819,89.65020251274109,-0.005991837,0.0031234287,49152,6.4450035,541.8189277931034
25,530,0.055566408,0.9272285401821136,51200,837.9344262295082,31.144186,93.22974133491516,-0.0044347337,0.005019848,51200,6.449704,548.3214943770492
26,517,0.031542968,0.9179687798023224,53248,857.4677419354839,19.965649,97.1055109500885,-0.0028418698,0.002685469,53248,6.4723854,566.599326935484
27,575,0.012744141,0.6768977046012878,55296,837.530303030303,36.07204,101.0597083568573,-0.0027434274,0.0011092336,55296,6.475876,546.8597693484847
28,508,0.042919923,0.9054846093058586,57344,855.6119402985074,19.945934,104.6168942451477,-0.0021099648,0.0035696854,57344,6.4793844,564.674549686567
29,534,0.018554688,0.6948202848434448,59392,844.3285714285714,33.488163,108.64260482788086,-0.0033961989,0.0018300542,59392,6.473713,553.3608557857142
30,514,0.021337891,0.9018450081348419,61440,861.2957746478874,20.186275,112.4760730266571,-0.0018826958,0.0022201769,61440,6.4791517,569.7212392957746
31,512,0.014013672,0.9501950107514858,63488,854.4722222222222,10.097037,116.46007466316223,-0.00028231568,0.0013586307,63488,6.487172,563.9775958333333
32,500,0.06044922,0.9018348157405853,65536,870.8356164383562,20.050816,120.45523405075073,-0.0028200909,0.0046336954,65536,6.497159,580.7501257534246
33,551,0.019873047,0.839451253414154,67584,882.5657894736842,32.85086,124.54578065872192,-0.004233028,0.0017959448,67584,6.505819,591.7841194078947
34,522,0.016259765,0.9277342706918716,69632,897.7142857142857,19.647064,128.26226902008057,-0.0019508654,0.0017071984,69632,6.511078,605.2576482987013
35,548,0.029394532,0.9533230811357498,71680,888.4556962025316,13.796007,132.17905259132385,-0.004141965,0.0026313418,71680,6.517747,595.742142620253
36,546,0.012988281,0.8518760502338409,73728,884.0843373493976,44.03237,135.91332936286926,-0.003397021,0.0013000526,73728,6.520298,593.6705326144578
37,533,0.013769532,0.852393165230751,75776,859.1818181818181,30.840557,139.6634657382965,-0.0030904703,0.0014297043,75776,6.525847,572.8018233522727
38,551,0.013916016,0.7568512856960297,77824,845.5869565217391,35.61339,143.50370383262634,-0.0035023913,0.0012953655,77824,6.5285406,560.1144905869565
39,569,0.011767578,0.8803281262516975,79872,839.436170212766,18.145287,147.21646165847778,-0.003686988,0.0012530208,79872,6.5336084,554.3752660744682
40,516,0.06943359,0.9964347707573324,81920,840.8105263157895,0.46274275,150.81513500213623,-0.0066299094,0.006510132,81920,6.5157304,554.8206358421053
41,513,0.030517578,0.9344295188784599,83968,853.3958333333334,10.427805,154.78038549423218,-0.0038580832,0.0029268893,83968,6.491652,567.42974221875
42,523,0.015185547,0.9191899970173836,86016,865.7216494845361,12.265518,158.76902031898499,-0.0028878502,0.0015330616,86016,6.474405,579.7467187835051
43,515,0.013427734,0.9385959282517433,88064,871.6565656565657,17.708157,162.68220043182373,-0.0048071328,0.001984928,88064,6.473892,585.3918427575757
44,516,0.08208008,0.8858572766184807,90112,883.43,20.349436,166.65669441223145,-0.0041735023,0.005842198,90112,6.482396,597.48140659
45,507,0.020263672,0.8559072017669678,92160,900.41,19.912054,170.62393069267273,-0.0021091327,0.001999588,92160,6.4876633,613.69328043
46,511,0.0640625,0.8835422769188881,94208,918.48,20.182005,174.66160655021667,-0.0022396569,0.0050605177,94208,6.491788,631.27648206
