n_updates,explained_variance,fps,ep_reward_mean,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,ep_len_mean,policy_entropy,value_loss
1,0.5744949877262115,566,199.42500825,2048,1.6689300537109375e-06,0.004094228,-0.006499144,0.04501953,2048,468.75,5.9937916,24.993315
2,0.34055036306381226,603,186.1100768888889,4096,3.6127612590789795,0.0042386507,-0.0040798155,0.034277342,4096,450.6666666666667,5.9940524,30.284088
3,0.9704164862632751,556,315.76713,6144,7.005722761154175,0.003044845,-0.003065508,0.032470703,6144,593.5,6.001946,6.7684164
4,0.45337605476379395,607,254.6889824,8192,10.68380093574524,0.0023579458,-0.0028542748,0.0265625,8192,509.2,6.009442,28.035458
5,0.8248244076967239,592,323.130708875,10240,14.0543692111969,0.0027724116,-0.0051469347,0.032910157,10240,605.4375,6.0148144,15.597865
6,0.7944817692041397,599,377.4832211764706,12288,17.509353399276733,0.0020064712,-0.00085957686,0.019091796,12288,690.3529411764706,6.0154285,12.556745
7,0.9042322933673859,577,434.4597826111111,14336,20.925572872161865,0.0031529479,-0.0032482788,0.035107423,14336,765.8333333333334,6.012061,11.115698
8,0.7948319166898727,615,478.0940410526316,16384,24.47247552871704,0.0022489303,-0.003489513,0.025439452,16384,833.3684210526316,6.010413,11.7781105
9,0.8712182939052582,596,520.8480439,18432,27.80113196372986,0.0032482122,-0.0048571136,0.034423828,18432,894.15,5.9999385,9.77227
10,0.8775641322135925,564,568.8125075714286,20480,31.235986948013306,0.0040606884,-0.002114776,0.050927736,20480,949.1428571428571,5.9810324,18.930683
11,0.8079534322023392,610,584.7421358695651,22528,34.86720132827759,0.0049649,-0.0057196263,0.06147461,22528,979.0,5.975099,16.31986
12,0.7589736878871918,603,616.7328616666667,24576,38.224209785461426,0.0034217432,-0.0038016133,0.038476564,24576,1023.5833333333334,5.97051,17.222141
13,0.8817045763134956,609,601.45261372,26624,41.61993050575256,0.0039143553,-0.0072794287,0.044384766,26624,1004.68,5.9620166,9.091634
14,0.7937780469655991,602,610.4487113703703,28672,44.98117423057556,0.0029942885,-0.0032428508,0.032470703,28672,1017.3333333333334,5.9559875,18.643652
15,0.8663898855447769,584,639.2209761071427,30720,48.381237506866455,0.0027289158,-0.0025731341,0.029882813,30720,1054.1785714285713,5.948994,13.702579
16,0.8570220619440079,588,669.6018819999999,32768,51.88781952857971,0.004534961,-0.0028881428,0.055078126,32768,1088.4827586206898,5.9492292,12.68981
17,0.8354748338460922,602,681.6953734838709,34816,55.36576008796692,0.0027259134,-0.0017445532,0.027880859,34816,1102.5483870967741,5.960137,19.246294
18,0.8706553876399994,596,703.62205075,36864,58.76727628707886,0.0036112084,-0.0020361424,0.042041015,36864,1132.125,5.9678946,11.08577
19,0.8202807456254959,598,725.4408213636362,38912,62.20285224914551,0.004147925,-0.006009043,0.051708985,38912,1159.909090909091,5.9671965,12.088725
20,0.8979330360889435,598,744.9669315882353,40960,65.62552738189697,0.0034597437,-0.004124793,0.040380858,40960,1186.0588235294117,5.9739523,9.441941
21,0.9133574888110161,580,767.9718365714285,43008,69.05049252510071,0.00412395,-0.0017530114,0.039697267,43008,1210.7142857142858,5.9772515,9.037708
22,0.9118989408016205,576,788.8117114722222,45056,72.57695865631104,0.0047153537,-0.0042701242,0.05229492,45056,1234.0,5.97326,8.456386
23,0.8558098077774048,598,806.0417052972972,47104,76.12933921813965,0.0044142427,-0.0031640467,0.047558594,47104,1256.027027027027,5.9647703,9.433552
24,0.8933170139789581,585,822.5729227105262,49152,79.55000734329224,0.004109012,-0.005930108,0.050878905,49152,1276.8947368421052,5.953338,9.94131
25,0.9165783897042274,582,826.2895912307691,51200,83.04707384109497,0.0045669447,-0.005236167,0.05283203,51200,1277.5384615384614,5.9407854,9.243064
26,0.8970498144626617,560,843.7819998749999,53248,86.57853269577026,0.006317167,-0.0030289926,0.08540039,53248,1296.825,5.936557,11.325451
27,0.8491166085004807,583,860.9534130975609,55296,90.23124074935913,0.003304404,-0.0026128772,0.037353516,55296,1315.1707317073171,5.940282,14.709882
28,0.7777792513370514,591,876.0358973720929,57344,93.74271368980408,0.0043797055,-0.0037857215,0.0515625,57344,1333.5116279069769,5.9426403,23.023762
29,0.8015653491020203,596,888.3235646363635,59392,97.20361351966858,0.0032503107,-0.0027908306,0.035253905,59392,1349.7727272727273,5.961176,19.833107
30,0.9392115101218224,583,900.2995539555554,61440,100.63776993751526,0.0033676387,-0.0019655419,0.034228515,61440,1365.3111111111111,5.96996,7.0921164
31,0.8866235911846161,580,913.635316521739,63488,104.15041780471802,0.0031964644,-0.0042491937,0.035253905,63488,1380.1739130434783,5.966968,12.738656
32,0.9879204947501421,603,913.635316521739,65536,107.67772793769836,0.003764227,-0.0033918892,0.038378906,65536,1380.1739130434783,5.9682665,1.1174586
