serial_timesteps,ep_len_mean,clipfrac,explained_variance,value_loss,ep_reward_mean,n_updates,approxkl,time_elapsed,policy_entropy,policy_loss,fps,total_timesteps
2048,772.5,0.032470703,0.034449994564056396,4.35061,135.53185100000002,1,0.0030406332,2.1457672119140625e-06,1.4264897,-0.0034295586,471,2048
4096,842.5,0.030908203,-0.2818725109100342,5.012736,164.47205200000002,2,0.0029663797,4.344991207122803,1.442318,-0.002683495,512,4096
6144,682.1428571428571,0.04790039,-0.20243322849273682,4.798683,132.52427642857143,3,0.0039289957,8.339298248291016,1.4539742,-0.005651023,508,6144
8192,677.3636363636364,0.016992187,-0.02116405963897705,4.1345754,132.57668081818184,4,0.0023718227,12.365463018417358,1.4553796,-0.00177231,521,8192
10240,791.6666666666666,0.044873048,-0.3729435205459595,3.7931037,155.06504225000003,5,0.004266856,16.291653156280518,1.4443054,-0.0036190408,508,10240
12288,811.7333333333333,0.03564453,-0.39183664321899414,3.9874783,159.13712133333337,6,0.00322496,20.32252311706543,1.4409508,-0.0033013425,516,12288
14336,889.0625,0.023974609,-0.2511097192764282,5.146535,178.07172475000002,7,0.002960714,24.28993248939514,1.4406532,-0.0025582167,542,14336
16384,957.2941176470588,0.03364258,-0.48235905170440674,7.1542625,198.70580864705883,8,0.0032533396,28.068307161331177,1.4339145,-0.002963542,465,16384
18432,1017.9444444444445,0.010839844,-0.4467693567276001,4.633748,213.06114455555556,9,0.0017076457,32.467612981796265,1.4312618,-0.0019101177,514,18432
20480,1072.2105263157894,0.022900391,-0.32451748847961426,5.5833783,228.41439736842108,10,0.0026240705,36.44961500167847,1.4298513,-0.002175613,509,20480
22528,1121.05,0.011523438,-0.48280858993530273,5.4104013,242.1930948,11,0.0016221289,40.467339515686035,1.4428842,-0.0013065606,441,22528
24576,1165.2380952380952,0.01015625,-0.38710272312164307,4.1105165,253.15195995238096,12,0.001332268,45.10320472717285,1.4517936,-0.00047766246,413,24576
26624,1205.409090909091,0.041796874,-0.49858975410461426,5.5033655,265.60977531818185,13,0.0036731686,50.05985689163208,1.4457169,-0.0033564828,385,26624
28672,1190.875,0.0453125,-0.6584490537643433,3.9873433,263.36250375000003,14,0.0040656487,55.376201152801514,1.4350903,-0.003902759,413,28672
30720,1205.04,0.013720703,-0.16761839389801025,2.230271,265.34736312,15,0.0017862488,60.33447980880737,1.4364301,-0.001674092,448,30720
32768,1237.5,0.034765624,-0.6538197994232178,2.7388647,271.9876378846154,16,0.0040489705,64.89900207519531,1.435611,-0.0021013753,465,32768
34816,1267.5555555555557,0.06503906,-0.16196012496948242,2.0377128,277.51205000000004,17,0.005042813,69.29988884925842,1.437529,-0.0046537854,437,34816
36864,1295.4642857142858,0.032421876,0.007780551910400391,1.98892,283.30718267857145,18,0.003356668,73.97819519042969,1.4413613,-0.0020188773,490,36864
38912,1321.448275862069,0.031640626,-0.19258224964141846,2.277053,288.7280682068966,19,0.0031580538,78.15459680557251,1.4370177,-0.0016177126,467,38912
40960,1345.7,0.0340332,-0.2221660614013672,1.95331,293.74466820000004,20,0.0033795356,82.5353410243988,1.4387662,-0.0023316988,464,40960
43008,1368.3870967741937,0.03666992,-0.1065056324005127,2.2039592,299.2386868387097,21,0.0031419743,86.94629907608032,1.4470236,-0.002515232,451,43008
45056,1389.65625,0.026806641,0.021393656730651855,1.5820452,304.06264553125004,22,0.0028743565,91.47980976104736,1.455807,-0.0012134332,452,45056
47104,1409.6363636363637,0.043115236,0.05176520347595215,1.7165941,308.57150121212123,23,0.0038134684,96.00455093383789,1.4720305,-0.0027441368,428,47104
49152,1428.4411764705883,0.051220704,-0.12455248832702637,1.4765065,312.52730467647064,24,0.004840521,100.78876876831055,1.4896306,-0.002438745,415,49152
51200,1446.1714285714286,0.04560547,0.0470467209815979,1.1276269,315.3991160857143,25,0.003850188,105.71307516098022,1.4938418,-0.0016855968,402,51200
53248,1462.9166666666667,0.021826172,-0.10037410259246826,1.1279368,318.3904455555556,26,0.0023304094,110.82063937187195,1.516652,-0.0014680063,444,53248
55296,1450.4736842105262,0.055615235,0.047093212604522705,1.494986,315.1935031052632,27,0.0043744044,115.42466711997986,1.5374266,-0.005921521,383,55296
57344,1465.820512820513,0.04506836,0.23000448942184448,1.098976,318.44660769230774,28,0.0040162895,120.75867414474487,1.549483,-0.0014716515,455,57344
59392,1480.4,0.039648436,0.11835646629333496,1.1752542,321.8109644,29,0.0039368,125.25484991073608,1.557315,-0.0014585927,463,59392
61440,1494.2682926829268,0.068798825,0.3822476267814636,0.8358094,324.3235338780488,30,0.0056825327,129.67473077774048,1.5580933,-0.0064546317,415,61440
63488,1507.4761904761904,0.06499024,0.20072048902511597,0.89785385,327.04813671428576,31,0.00485177,134.60078310966492,1.560361,-0.0028812762,431,63488
65536,1520.0697674418604,0.024804687,0.10038906335830688,1.0671535,330.44418558139535,32,0.0026550798,139.34264159202576,1.558993,-0.0010735929,419,65536
67584,1532.090909090909,0.04111328,0.06232410669326782,1.0518028,333.76243888636367,33,0.0035847477,144.22828340530396,1.5649338,-0.0017626124,415,67584
69632,1543.5777777777778,0.027783204,0.011302769184112549,1.2810938,337.5938733333333,34,0.00306076,149.1528618335724,1.5660462,-0.0019222554,481,69632
71680,1554.5652173913043,0.059375,0.04013878107070923,1.1245658,341.0012073913043,35,0.004912655,153.40736484527588,1.5616491,-0.0017197045,441,71680
73728,1565.0851063829787,0.0375,0.013023674488067627,1.1986634,344.64667948936165,36,0.0033445228,158.0476357936859,1.5712246,-0.0015006284,445,73728
75776,1575.1666666666667,0.030371094,0.05414170026779175,1.2353295,348.37077916666664,37,0.0030257292,162.6491985321045,1.5841316,-0.000801252,440,75776
77824,1584.8367346938776,0.048583984,0.02785789966583252,1.1332972,351.72044346938776,38,0.0040211915,167.2973494529724,1.577867,-0.0017109131,442,77824
79872,1594.12,0.028173828,0.03493058681488037,1.1568997,354.96963076,39,0.003132395,171.92924618721008,1.5675406,-0.00032887163,454,79872
81920,1603.0392156862745,0.033447266,-0.004138350486755371,1.2221845,358.27294525490197,40,0.0032003555,176.43847513198853,1.5754619,-0.0005354266,444,81920
83968,1611.6153846153845,0.05732422,0.042449772357940674,1.3865198,361.8885844807692,41,0.004816373,181.04876470565796,1.5847521,-0.0035484415,431,83968
86016,1619.867924528302,0.04448242,-0.05068027973175049,1.2268159,365.0887590377358,42,0.0039468976,185.791761636734,1.5851343,-0.001617051,424,86016
88064,1627.8148148148148,0.040380858,0.039370596408843994,1.2798918,368.29810685185186,43,0.0036482208,190.61735653877258,1.5933355,-0.0014171044,415,88064
90112,1635.4727272727273,0.042138673,0.0010332465171813965,1.3251557,371.45139183636365,44,0.0037197191,195.54504537582397,1.6010103,-0.0011572907,433,90112
92160,1642.857142857143,0.042333983,0.05572187900543213,1.2441422,374.5446415892857,45,0.003713164,200.2728362083435,1.5991567,-0.0014549003,430,92160
94208,1649.982456140351,0.060253907,0.021282672882080078,1.3291996,377.72545115789467,46,0.004582637,205.02985215187073,1.6055216,-0.004242851,412,94208
96256,1656.8620689655172,0.042138673,-0.029209256172180176,1.3040712,380.7942087241379,47,0.0038877055,209.99644565582275,1.6183932,-0.002370047,433,96256
98304,1663.5084745762713,0.03017578,0.08667623996734619,1.4342753,383.97429308474574,48,0.0029896186,214.719722032547,1.6181952,-0.000703575,428,98304
100352,1669.9333333333334,0.058447264,0.09126943349838257,1.3696592,387.1406404166666,49,0.004889252,219.49989223480225,1.6180754,-0.004142313,377,100352
102400,1676.1475409836066,0.029443359,0.061652541160583496,1.533275,390.4997460655737,50,0.0029369495,224.92264008522034,1.6168134,-0.0010084498,393,102400
104448,1682.1612903225807,0.059667967,0.04252970218658447,1.8102432,394.2059185967741,51,0.004784306,230.12721848487854,1.6123626,-0.0044187717,401,104448
106496,1687.984126984127,0.026123047,0.017826080322265625,1.8359096,398.0750759682539,52,0.0027940064,235.23064136505127,1.6117623,-0.0009311964,416,106496
108544,1693.625,0.046435546,0.03247511386871338,2.0132623,402.038543,53,0.0041614575,240.14629745483398,1.604098,-0.00443974,395,108544
110592,1699.0923076923077,0.024902344,0.04383128881454468,1.6103071,405.41198781538463,54,0.0027191264,245.32494449615479,1.5990154,-0.0014352419,426,110592
112640,1704.3939393939395,0.02626953,0.05399566888809204,2.2309258,409.54031721212124,55,0.0028225132,250.1255042552948,1.6017383,-0.0019335935,408,112640
114688,1709.5373134328358,0.04067383,0.052017271518707275,2.3987923,413.5436594776119,56,0.0037252693,255.1430811882019,1.6070198,-0.0012721576,415,114688
