n_updates,explained_variance,fps,ep_reward_mean,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,ep_len_mean,policy_entropy,value_loss
1,0.4289877414703369,551,164.0934155,2048,1.9073486328125e-06,0.004233691,-0.0054985974,0.050634764,2048,439.5,4.4419537,25.209036
2,0.7777584940195084,588,172.81499216666666,4096,3.7114226818084717,0.002120949,-0.0014393036,0.020507812,4096,455.5,4.4546084,20.868887
3,0.86947962641716,587,298.3158091428572,6144,7.193500757217407,0.0040135924,-0.005179448,0.049121093,6144,629.5714285714286,4.4491625,11.555353
4,0.8300715088844299,584,379.9063027,8192,10.680025815963745,0.0024207905,-0.0011165107,0.023632813,8192,737.4,4.4416876,21.707592
5,0.8411009758710861,586,450.89104991666665,10240,14.183049440383911,0.0015312913,-0.0025094815,0.015136719,10240,832.8333333333334,4.4348454,20.393906
6,0.8251349478960037,587,520.5381032307693,12288,17.672541618347168,0.0037549387,-0.002138385,0.04575195,12288,926.3846153846154,4.4383173,15.564389
7,0.45729154348373413,583,420.3561793888889,14336,21.159096479415894,0.0017171431,-0.00094497856,0.014257813,14336,786.7777777777778,4.4459324,26.176294
8,0.5639779269695282,583,376.198035,16384,24.671740531921387,0.0030742458,-0.004217556,0.034570314,16384,728.3636363636364,4.450872,19.087286
9,0.711854100227356,581,356.43690119230774,18432,28.18305230140686,0.001632718,-0.00039347826,0.015722657,18432,706.4230769230769,4.4530153,19.631657
10,0.5690141916275024,588,335.3414119666667,20480,31.704270124435425,0.003394119,-0.0022577683,0.038183592,20480,678.8666666666667,4.4559183,22.22662
11,0.7999050617218018,591,329.92280172727277,22528,35.18688225746155,0.003806997,-0.0048700823,0.043066405,22528,674.4848484848485,4.4498625,13.019391
12,0.8544157594442368,586,325.9471214285715,24576,38.648027181625366,0.002869645,-0.0047261794,0.032568358,24576,669.9428571428572,4.4455523,10.935045
13,0.6067391633987427,581,320.27053752499995,26624,42.14228081703186,0.0029979886,-0.0034950585,0.031152343,26624,663.625,4.4422364,21.64908
14,0.8692837059497833,592,343.3189975121951,28672,45.6637818813324,0.0020734207,-0.0011127198,0.01977539,28672,697.4146341463414,4.4479723,9.501097
15,0.7397302091121674,591,337.0692389318181,30720,49.12307548522949,0.0031055452,-0.005610976,0.0359375,30720,690.1136363636364,4.4467254,12.700708
16,0.919177807867527,590,334.7741699777777,32768,52.58468508720398,0.003922657,-0.0033017597,0.04121094,32768,687.5777777777778,4.452487,6.701815
17,0.6530230045318604,588,353.1799183125,34816,56.0541775226593,0.002320426,-0.0018998887,0.02084961,34816,716.3541666666666,4.4469132,25.299753
18,0.5285902619361877,587,343.0889098653846,36864,59.53308629989624,0.0031400924,-0.002201798,0.035205077,36864,702.6730769230769,4.4473486,21.832363
19,0.8986884653568268,594,345.0951429090909,38912,63.02121567726135,0.0029733707,-0.00469667,0.032177735,38912,706.2545454545455,4.453704,11.425737
20,0.657146543264389,597,339.9741211724137,40960,66.46431279182434,0.004040994,-0.0076987557,0.053027343,40960,700.4137931034483,4.4717436,14.32587
21,0.7409006953239441,587,336.10672740983597,43008,69.89420437812805,0.0021045287,-0.0012017492,0.021044921,43008,695.655737704918,4.502825,14.389078
22,0.8937429264187813,591,335.2190333809523,45056,73.38078618049622,0.0029287932,-0.0032438985,0.02998047,45056,695.9206349206349,4.503221,9.160551
23,0.6844982206821442,574,337.45813010447756,47104,76.84343266487122,0.002553363,-0.0028060644,0.027490234,47104,699.1641791044776,4.493764,17.01899
24,0.7168060541152954,591,334.48063697142857,49152,80.40802645683289,0.002611555,-0.0037503256,0.029150391,49152,696.1428571428571,4.4967556,14.25652
25,0.7034863829612732,586,331.3460936438356,51200,83.87272715568542,0.0024845093,-0.005529639,0.0296875,51200,692.931506849315,4.509452,13.666112
26,0.8119827508926392,596,332.672421618421,53248,87.37979125976562,0.0021411588,-0.0018997916,0.020703126,53248,697.6578947368421,4.5180387,11.874674
27,0.8604778200387955,588,330.105579025641,55296,90.81445503234863,0.0026740483,-0.0045936913,0.028320312,55296,694.5128205128206,4.513701,10.254449
28,0.8310149610042572,593,336.2547638888889,57344,94.29328179359436,0.0017253751,-0.0016623341,0.017773438,57344,704.0246913580247,4.5138173,11.74003
29,0.7695494294166565,588,336.8485834404762,59392,97.74557185173035,0.0020487413,-0.003077039,0.020996094,59392,706.3571428571429,4.5149117,12.497406
30,0.7724813520908356,598,339.45152997674427,61440,101.22893738746643,0.0027778028,-0.0043685255,0.028076172,61440,712.2674418604652,4.5069,9.806173
31,0.8462781310081482,596,340.997328,63488,104.65209293365479,0.0027813504,-0.0045243287,0.032080077,63488,716.0454545454545,4.508643,7.0480294
32,0.8935766667127609,593,345.61395068888885,65536,108.0879578590393,0.0023600152,-0.0025425437,0.023583984,65536,723.9666666666667,4.517179,7.501587
33,0.8942727074027061,583,356.0221753186813,67584,111.53815078735352,0.005082452,-0.004393966,0.057861328,67584,738.5274725274726,4.501609,7.8850837
34,0.7976057678461075,595,354.90889901063827,69632,115.04685616493225,0.001532085,-0.0030149252,0.016552735,69632,737.7553191489362,4.491501,11.233318
35,0.8279232829809189,578,356.1718802708333,71680,118.48526906967163,0.0015609638,-0.002171816,0.013476563,71680,740.4270833333334,4.5003767,7.5473814
36,0.8840800151228905,594,366.2147432886598,73728,122.02887296676636,0.0033244267,-0.0025340584,0.037744142,73728,753.9175257731958,4.505938,10.773077
37,0.8782532587647438,583,375.80803137755106,75776,125.47210550308228,0.0025191973,0.0004323285,0.023242187,75776,767.1326530612245,4.515465,11.820402
38,0.7851556241512299,586,382.83200155,77824,128.98177480697632,0.0026889595,-0.00477266,0.02709961,77824,778.2,4.5158396,19.804789
39,0.7217936217784882,588,379.3257880899999,79872,132.4718804359436,0.0037674657,-0.009377066,0.04248047,79872,772.24,4.530942,11.530544
40,0.8899183571338654,585,390.11712087,81920,135.95353841781616,0.0014618174,-0.0011539174,0.013916016,81920,787.71,4.5370026,9.201464
41,0.8648356944322586,589,392.07356767,83968,139.4521656036377,0.004341892,-0.008220086,0.05,83968,791.46,4.521556,10.580694
42,0.8843114450573921,597,390.08960671,86016,142.92424654960632,0.0024792864,-0.0027117233,0.026513672,86016,791.22,4.517377,13.9305935
43,0.6123868823051453,591,361.68180465000006,88064,146.35213994979858,0.0039146137,-0.006228607,0.043261718,88064,752.33,4.5475297,10.826864
44,0.9580976106226444,594,361.40496403,90112,149.81620287895203,0.0036720927,-0.0030755005,0.038085938,90112,752.45,4.5647807,5.3066373
45,0.8229255974292755,585,372.05037355,92160,153.26152420043945,0.0011067749,-0.002251349,0.010302735,92160,769.69,4.5605183,21.468613
46,0.8593519330024719,582,382.66680270999996,94208,156.760094165802,0.004953823,-0.0054744002,0.05522461,94208,785.41,4.563917,11.034052
47,0.20174330472946167,581,375.3944905899999,96256,160.2779631614685,0.0020337242,-0.0027520605,0.021142578,96256,772.35,4.5693836,17.349392
48,0.8634635806083679,593,386.6389375199999,98304,163.80278730392456,0.0019510214,-0.0034087468,0.019091796,98304,789.18,4.572608,13.46521
49,0.9656915999948978,585,385.31775450999993,100352,167.25618147850037,0.0016885797,-0.0031488757,0.017822266,100352,787.05,4.570943,3.414949
