fps,ep_reward_mean,approxkl,serial_timesteps,policy_loss,value_loss,clipfrac,total_timesteps,n_updates,time_elapsed,policy_entropy,ep_len_mean,explained_variance
389,575.932848,0.0042268145,2048,-0.0023338322,25.670803,0.04550781,2048,1,3.5762786865234375e-06,1.4100696,1551.0,0.015446066856384277
406,409.00645149999997,0.002766243,4096,-0.0011986762,41.835194,0.023974609,4096,2,5.255654811859131,1.4061905,875.75,0.011293649673461914
419,419.99030999999997,0.0028947068,6144,-0.0026112439,20.60851,0.028320312,6144,3,10.28984808921814,1.4096214,982.1666666666666,0.027075886726379395
432,369.5448308,0.0020380884,8192,-0.0017082175,32.83216,0.018164063,8192,4,15.171897172927856,1.4187256,816.7,0.02943652868270874
431,329.2204457857143,0.0023020976,10240,-0.0015781911,38.943096,0.020263672,10240,5,19.908527612686157,1.4122989,700.2857142857143,0.13225477933883667
451,298.55405835,0.0040595946,12288,-0.00431346,42.548183,0.04941406,12288,6,24.657821655273438,1.4173653,608.45,0.1653035283088684
460,297.43576519047616,0.0013385522,14336,-0.000687403,18.147728,0.0069335937,14336,7,29.19563388824463,1.4302773,602.6190476190476,0.07086604833602905
473,311.0975256818182,0.0022078815,16384,-0.0014492357,11.23635,0.015673827,16384,8,33.64663529396057,1.4301584,668.3636363636364,0.03050553798675537
469,305.2919224444445,0.0018287913,18432,-0.0011067006,29.537012,0.01171875,18432,9,37.96899604797363,1.4250847,676.4444444444445,0.11466825008392334
472,304.7473134,0.003090703,20480,-0.0022407316,26.828176,0.03652344,20480,10,42.331443309783936,1.4268267,673.3,0.16918224096298218
456,303.320871125,0.0025148431,22528,-0.0016712841,19.072582,0.021923829,22528,11,46.6645884513855,1.4351317,665.6875,0.31107473373413086
458,300.61175932432434,0.0031648003,24576,-0.0023463687,30.558023,0.03149414,24576,12,51.1536750793457,1.4361207,660.3783783783783,0.26985275745391846
444,297.14148717073175,0.0016714229,26624,-0.002551042,29.67814,0.017236328,26624,13,55.62448000907898,1.4496847,645.2439024390244,0.3005361557006836
453,288.279161826087,0.003383855,28672,-0.0035726975,28.497202,0.038183592,28672,14,60.22886371612549,1.4684924,618.6304347826087,0.3888704776763916
448,281.61565656862746,0.0024935645,30720,-0.0003839489,28.45847,0.01850586,30720,15,64.74716377258301,1.4823251,597.6666666666666,0.4098389148712158
455,282.0331916909091,0.0035005216,32768,-0.0032736256,27.386698,0.031347655,32768,16,69.3114595413208,1.4866858,593.0181818181818,0.4383017420768738
437,285.7241086551724,0.0025469249,34816,-0.0013488878,26.412827,0.023486327,34816,17,73.80759906768799,1.4982642,596.8103448275862,0.33826524019241333
447,283.67963452459014,0.0014113168,36864,-0.0021252504,24.339474,0.0073242188,36864,18,78.48685431480408,1.5026103,587.311475409836,0.4619550108909607
455,290.66917288709675,0.0065891854,38912,-0.007485873,9.994534,0.091845706,38912,19,83.06847167015076,1.498266,610.8870967741935,0.46269088983535767
449,295.4555844615384,0.0019586897,40960,-0.0014851431,16.35429,0.014111328,40960,20,87.56035113334656,1.5010351,629.1846153846154,0.20866423845291138
457,295.13831224999996,0.0024260061,43008,-0.0016237941,16.774622,0.019189453,43008,21,92.11267137527466,1.496963,630.3235294117648,0.5082437694072723
445,293.77469498611106,0.003216158,45056,-0.0026196665,23.349775,0.030566406,45056,22,96.58651494979858,1.4910148,623.3888888888889,0.500760555267334
475,299.2244455068493,0.003755179,47104,-0.0026522868,10.267755,0.044873048,47104,23,101.17956757545471,1.4878036,642.917808219178,0.4984514117240906
468,293.8970593552631,0.0024013175,49152,-0.00072429783,17.13884,0.021337891,49152,24,105.4913637638092,1.4756534,626.828947368421,0.415532648563385
478,294.86542473417717,0.003452717,51200,-0.002086569,13.861887,0.038964845,51200,25,109.86237454414368,1.4703562,633.3164556962025,0.32936668395996094
448,299.2484769125,0.0023795064,53248,-0.0021841647,8.322172,0.019726563,53248,26,114.15552639961243,1.4618337,651.0125,0.3403204679489136
445,303.90278853086414,0.0033371313,55296,-0.0024331384,7.88465,0.032128908,55296,27,118.72439312934875,1.4523685,668.2716049382716,0.38403576612472534
451,308.2911533170731,0.0039492315,57344,-0.003379758,6.367736,0.040380858,57344,28,123.32468175888062,1.4472885,685.109756097561,0.4625568985939026
466,312.46966369879516,0.0028453083,59392,-0.004136797,6.729885,0.029003907,59392,29,127.86262774467468,1.4505527,701.5421686746988,0.5035719275474548
444,314.4742754352941,0.0015976753,61440,-0.0005817575,11.2628145,0.0109375,61440,30,132.25344681739807,1.4622939,711.2705882352941,0.5484627783298492
469,316.26858635227273,0.0032106657,63488,-0.0022327765,14.4290905,0.03334961,63488,31,136.85726380348206,1.4595131,715.1477272727273,0.4328991770744324
452,321.7740390224719,0.0046196477,65536,-0.0043300996,10.118778,0.057666015,65536,32,141.2244701385498,1.460135,730.1348314606741,0.4522589445114136
461,322.12107843010756,0.0028251784,67584,-0.0013064105,12.880963,0.024169922,67584,33,145.74904370307922,1.4653013,726.6344086021505,0.38285958766937256
450,320.21153536170215,0.0038889847,69632,-0.0048109577,9.354449,0.041748047,69632,34,150.18391013145447,1.4607364,720.936170212766,0.6209972202777863
456,321.2694542323232,0.00093711924,71680,-0.0009673635,21.286957,0.0032714843,71680,35,154.73406767845154,1.4547312,721.5959595959596,0.47738683223724365
457,325.8052883,0.0030414888,73728,-0.003317947,5.915471,0.026513672,73728,36,159.22169184684753,1.447798,734.87,0.7034637928009033
452,326.29105724,0.0034548328,75776,-0.0025430168,4.326002,0.036621094,75776,37,163.6995553970337,1.4448383,739.85,0.7708841562271118
454,331.1046926099999,0.0020735955,77824,-0.0010939187,5.8889847,0.01669922,77824,38,168.2243378162384,1.4578044,753.43,0.5527966320514679
442,333.0558697899999,0.0013558567,79872,-0.00065994606,6.786547,0.0064941407,79872,39,172.726660490036,1.4564005,763.14,0.4935339093208313
457,327.19972721999994,0.0031431704,81920,-0.0029497715,11.571798,0.031689454,81920,40,177.35842847824097,1.447495,743.11,0.4209025502204895
463,333.0867652499999,0.0024288658,83968,-0.0016467968,11.31028,0.021533202,83968,41,181.84043145179749,1.4375218,757.69,0.48638808727264404
454,336.4688661299999,0.0051628137,86016,-0.004489285,14.664246,0.06347656,86016,42,186.25823736190796,1.4374985,763.42,0.3653969168663025
456,338.53318489,0.0038955812,88064,-0.0025505708,5.913097,0.04472656,88064,43,190.76809453964233,1.4490405,767.43,0.5049199163913727
450,350.19355798,0.0022574526,90112,-0.0012250968,18.251595,0.021972656,90112,44,195.25763201713562,1.4531415,791.57,0.45306843519210815
