approxkl,policy_loss,time_elapsed,fps,total_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_reward_mean
0.003433944,-0.00042279833,130.6428518295288,598,79872,612.3,1.5429335,0.034277342,0.019417285919189453,39,79872,0.8907851,117.84093283000001
0.0044008633,-0.0024147697,134.06604528427124,587,81920,631.31,1.5579671,0.051171876,0.11201930046081543,40,81920,0.88021594,122.20860182
0.00642147,-0.0031119208,137.5550045967102,590,83968,650.36,1.5809324,0.08339844,0.014081597328186035,41,83968,0.95293105,126.74286762
0.005622114,-0.0022503831,141.02092051506042,597,86016,669.42,1.6000197,0.07060547,0.07684826850891113,42,86016,0.8972295,131.23105632
0.0037782122,-0.0005080619,144.44741535186768,565,88064,688.27,1.6139395,0.042285156,0.018180668354034424,43,88064,0.9620837,135.63510555
0.004299195,-0.0004665472,148.0723078250885,546,90112,707.03,1.6373446,0.050341796,0.07371610403060913,44,90112,0.9271709,140.01343942
0.0043297447,-0.00081440044,151.81803154945374,570,92160,726.04,1.6483171,0.051757812,0.04228419065475464,45,92160,0.95002776,144.5367326
0.004543106,-0.0003590617,155.40589714050293,586,94208,745.07,1.6488516,0.055566408,0.04475557804107666,46,94208,0.9800464,149.14459329
0.0034552217,-0.00060674397,158.8988664150238,610,96256,764.23,1.6523416,0.03515625,0.01561582088470459,47,96256,1.0094105,153.75727848
0.003513359,-0.0016436441,162.251957654953,624,98304,783.23,1.6635202,0.037841797,0.07191091775894165,48,98304,1.0068748,158.34842318
0.003762909,-0.000116564726,165.53202033042908,639,100352,802.41,1.6774461,0.044970702,-0.011176586151123047,49,100352,1.0646671,163.06363368
0.002497993,-0.0007253822,168.73510766029358,636,102400,821.64,1.6919396,0.021386718,-0.0006604194641113281,50,102400,1.0963945,167.79392640000003
0.0029549117,-0.0013915651,171.9536955356598,620,104448,840.7,1.7035449,0.029785156,0.03293490409851074,51,104448,1.0739197,172.50056506
0.0060318517,-0.0016457975,175.25487279891968,629,106496,859.75,1.7220013,0.076611325,-0.020641684532165527,52,106496,1.1011875,177.33041974000002
0.0030907984,-0.0006440946,178.51125979423523,627,108544,878.54,1.7355667,0.034423828,0.017112553119659424,53,108544,1.075077,181.97313885
0.0057413173,-0.004677171,181.77731919288635,533,110592,897.5,1.7549416,0.07470703,0.04046428203582764,54,110592,1.0919131,186.65921185000002
0.0060651572,-0.0018604329,185.61810183525085,588,112640,916.74,1.7822107,0.0758789,-0.05819594860076904,55,112640,1.1576439,191.33455103
0.0047281687,-0.0008336315,189.10029697418213,626,114688,935.66,1.7906983,0.05810547,0.022190332412719727,56,114688,1.1137568,195.96056000000002
