explained_variance,time_elapsed,value_loss,ep_len_mean,serial_timesteps,fps,ep_reward_mean,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy
0.23404306173324585,94.43968200683594,26.484467,644.3924050632911,51200,467,346.24902622784805,-0.0058506476,51200,25,0.0029555457,0.034814455,3.5678525
0.8547474294900894,98.83252716064453,14.604037,634.1219512195122,53248,435,339.1485279146342,-0.005098855,53248,26,0.0036297895,0.04243164,3.5808625
0.7519331574440002,103.53536343574524,21.051096,643.3176470588236,55296,486,344.39703234117655,-0.008184021,55296,27,0.0065138927,0.07841797,3.583076
0.8397030532360077,107.74163269996643,16.484764,655.4252873563219,57344,415,352.83521895402305,-0.0022902018,57344,28,0.0029031166,0.031152343,3.5761616
0.5617431700229645,112.67705130577087,26.554016,642.804347826087,59392,564,343.99743202173914,-0.004318363,59392,29,0.00198852,0.02080078,3.5851848
0.9180310070514679,116.30407929420471,6.007428,639.3440860215054,61440,560,341.68793947311826,-0.0041606193,61440,30,0.0032876588,0.035058595,3.595945
0.8079500198364258,119.96021747589111,18.477024,658.6041666666666,63488,546,354.71334390625,-0.005696661,63488,31,0.004291442,0.052099608,3.5905845
0.8581323325634003,123.7050268650055,6.6952906,657.020618556701,65536,538,353.56560462886597,-0.0072226236,65536,32,0.0042778556,0.049902342,3.5956001
0.5720038414001465,127.5052969455719,30.468136,664.19,67584,532,357.67967512,-0.0022769948,67584,33,0.0021742317,0.02265625,3.6007047
0.8970491960644722,131.34980273246765,9.385725,659.1,69632,567,354.3798573300001,-0.004052827,69632,34,0.0031668525,0.038183592,3.6118171
0.5624393224716187,134.95773911476135,23.91893,623.77,71680,565,327.77111651,-0.0044992696,71680,35,0.0014483484,0.013378906,3.6199188
0.5639953315258026,138.5809783935547,25.997955,617.05,73728,573,323.43381446,-0.0043159123,73728,36,0.0028103148,0.031884767,3.6196377
0.7091987431049347,142.15281128883362,16.477703,609.93,75776,544,318.83510783,-0.0042896103,75776,37,0.0028576946,0.029736329,3.6097157
0.8166363388299942,145.91753578186035,14.489588,571.54,77824,547,292.09057384000005,-0.004224219,77824,38,0.0031505432,0.0362793,3.6083438
0.8316442221403122,149.65928316116333,13.07491,530.01,79872,532,265.35640573,-0.0020868808,79872,39,0.002133139,0.021533202,3.620641
0.8240731060504913,153.5039267539978,14.820653,527.77,81920,570,263.98414369,-0.0039684074,81920,40,0.0021332123,0.0234375,3.6265461
0.9101002737879753,157.0950746536255,3.5016353,529.49,83968,524,265.02470475999996,-0.00444265,83968,41,0.0047912374,0.06044922,3.6295826
0.774133563041687,161.0005304813385,19.174711,509.39,86016,555,247.99220038000007,-0.0036656025,86016,42,0.003986233,0.048095703,3.6240616
0.8141353577375412,164.68587064743042,12.175627,525.56,88064,538,258.8363192300001,-0.0027537332,88064,43,0.0049152025,0.055078126,3.6093554
0.8254299014806747,168.4882881641388,13.126631,545.89,90112,526,272.23417515,-0.0056423764,90112,44,0.0036306686,0.038916014,3.6011798
0.8564511686563492,172.38123679161072,7.7674627,549.09,92160,557,273.99883304,-0.0021998994,92160,45,0.0036921618,0.043603517,3.5974853
0.8718747347593307,176.05562448501587,16.280493,547.88,94208,542,273.80786666000006,-0.0036637567,94208,46,0.0037588258,0.040527344,3.5879555
0.7615207433700562,179.83407926559448,18.47119,560.35,96256,546,283.16092288,-0.0028906334,96256,47,0.001938989,0.017333984,3.582693
0.8646059185266495,183.5838544368744,8.249021,565.71,98304,545,286.63448754000007,-0.0059255487,98304,48,0.0039977967,0.048095703,3.5813942
0.809422954916954,187.33766531944275,10.389327,583.39,100352,550,298.05339773,-0.002308684,100352,49,0.005086371,0.055126954,3.588396
0.7983164340257645,191.0581338405609,10.648149,601.16,102400,536,310.17431275,-0.0018967644,102400,50,0.004049883,0.044140626,3.5866382
0.6869469881057739,194.87912583351135,12.141658,618.86,104448,549,322.1633179,-0.003598282,104448,51,0.004567135,0.05332031,3.582564
0.8868030831217766,198.60872602462769,7.892255,636.35,106496,546,334.45411622,-0.0045857136,106496,52,0.005949277,0.07421875,3.5834174
0.8540754169225693,202.35370206832886,15.459848,654.41,108544,576,347.2673659,-0.006975618,108544,53,0.0041211406,0.048193358,3.595288
0.9531357996165752,205.9048671722412,5.146188,666.56,110592,567,355.9970123,-0.003150735,110592,54,0.0034906988,0.039208986,3.608022
0.8535785675048828,209.51286578178406,15.464259,697.47,112640,571,379.49146460000003,-0.0044552768,112640,55,0.0033699418,0.042236328,3.609407
0.8204081952571869,213.0979380607605,12.909437,703.21,114688,557,382.8086729400001,-0.0010901917,114688,56,0.0015948599,0.012646484,3.6217074
0.884034588932991,216.7701644897461,12.4591,720.86,116736,573,396.0197072800001,-0.004802521,116736,57,0.0034168325,0.04008789,3.6223106
0.9174732118844986,220.33873915672302,6.41091,729.4,118784,562,402.54672304,-0.0030237206,118784,58,0.0025762045,0.028027344,3.6225662
0.8351201415061951,223.97884678840637,14.589055,752.67,120832,581,418.8293488799999,-0.0005872973,120832,59,0.0018360997,0.019189453,3.62256
