serial_timesteps,policy_entropy,fps,total_timesteps,ep_reward_mean,explained_variance,ep_len_mean,time_elapsed,policy_loss,approxkl,value_loss,clipfrac,n_updates
2048,2.4587572,462,2048,259.813391,0.9036248624324799,538.0,3.814697265625e-06,-0.0014605413,0.00442011,6.4452424,0.049707033,1
4096,2.461791,475,4096,802.3782699999999,0.7848415821790695,1293.5,4.433127164840698,-0.0005883173,0.0042326986,11.615877,0.049804688,2
6144,2.4654198,474,6144,985.9105236666666,0.785133421421051,1545.3333333333333,8.744563817977905,-0.0034697943,0.003972633,9.820771,0.045996092,3
8192,2.4600093,473,8192,912.3922058,0.7679709047079086,1433.6,13.061207294464111,-0.001359415,0.004392021,17.502918,0.0519043,4
10240,2.462957,476,10240,991.2569335,0.8319047391414642,1536.1666666666667,17.389017820358276,-0.0011731182,0.0059644515,9.249907,0.072509766,5
12288,2.458918,462,12288,1034.5955857142858,0.8281876444816589,1609.4285714285713,21.688929557800293,-0.0031861283,0.006391499,9.185526,0.07915039,6
14336,2.4485652,459,14336,1080.91846225,0.7619905173778534,1664.375,26.113043308258057,-0.00279545,0.0036807295,12.450553,0.042578124,7
16384,2.4467854,444,16384,1011.8868841,0.8117898404598236,1569.5,30.573909759521484,-0.003887793,0.007769771,16.080187,0.098242186,8
18432,2.4475796,484,18432,978.6204792499999,0.7682990580797195,1523.4166666666667,35.18630886077881,-0.0030591197,0.0048829177,17.902424,0.057666015,9
20480,2.463187,457,20480,746.5686114117647,0.5300400257110596,1199.8823529411766,39.41733479499817,-0.001518872,0.005293696,24.634249,0.06337891,10
22528,2.4794657,488,22528,655.8542436,0.8539309948682785,1074.95,43.89624524116516,-0.00572093,0.0043288697,14.162664,0.046826173,11
24576,2.47633,460,24576,687.8457996666666,0.8315910696983337,1121.3333333333333,48.092612743377686,-0.0030719002,0.006093883,9.277692,0.075976565,12
26624,2.4774842,477,26624,722.3439746363637,0.7567759454250336,1163.5,52.54080843925476,-0.0027436384,0.0059982813,13.768534,0.07006836,13
28672,2.4844074,478,28672,707.99546128,0.8189178258180618,1144.52,56.83067178726196,-0.0022709179,0.0042320723,22.160175,0.04916992,14
30720,2.4731717,466,30720,685.3076018461538,0.9188654720783234,1113.3461538461538,61.108869552612305,-0.008206105,0.009014148,6.0151753,0.06914063,15
32768,2.4594855,458,32768,708.5116022222222,0.7396597266197205,1148.0,65.50243163108826,-0.004053212,0.0051654642,13.811111,0.06386719,16
34816,2.444787,442,34816,730.4422158214285,0.7521196603775024,1180.1785714285713,69.964839220047,-0.0035775602,0.007348408,11.842042,0.08681641,17
36864,2.4499462,473,36864,694.18420384375,0.725598931312561,1129.84375,74.59580588340759,-0.0042699818,0.0048073092,27.571432,0.053613283,18
38912,2.4669557,459,38912,697.0075865294117,0.8896949365735054,1133.5294117647059,78.925705909729,-0.0037649986,0.0057030423,11.997166,0.066064455,19
40960,2.4727037,454,40960,716.7038536285713,0.8229462504386902,1159.6857142857143,83.38501596450806,-0.0033424355,0.007880373,10.498505,0.09897461,20
43008,2.475781,465,43008,716.836680108108,0.8315282464027405,1161.4864864864865,87.89108204841614,-0.00041317596,0.003839536,13.161461,0.04477539,21
45056,2.4820132,469,45056,692.8623778717948,0.9220975711941719,1129.4358974358975,92.28879380226135,-0.0033384748,0.0029277448,8.002706,0.030078124,22
47104,2.4982548,473,47104,694.0396384390243,0.7836250364780426,1132.4878048780488,96.65089917182922,-0.0055164476,0.0068980358,14.320206,0.083789065,23
49152,2.5033143,478,49152,697.5359159302325,0.842965692281723,1137.5813953488373,100.97360634803772,-0.002808773,0.0047909846,14.797121,0.054833986,24
51200,2.501214,466,51200,712.8586329772727,0.8044721037149429,1158.2954545454545,105.25612306594849,-0.005798569,0.0055097565,11.643175,0.06342773,25
53248,2.5065668,447,53248,699.8052772666666,0.9651567600667477,1139.9333333333334,109.65551996231079,-0.0059279087,0.00623035,2.4214518,0.07504883,26
55296,2.5117526,446,55296,712.6692556304348,0.8409619629383087,1159.695652173913,114.23004484176636,-0.0048392178,0.0058210203,9.302832,0.06645508,27
57344,2.5163255,462,57344,727.6601051063828,0.8051066994667053,1178.6170212765958,118.82131624221802,-0.0041312026,0.005761652,11.383644,0.06821289,28
59392,2.520083,468,59392,739.251940625,0.8258598744869232,1196.75,123.24865412712097,-0.0023743617,0.0034487885,12.98023,0.034423828,29
61440,2.5141497,469,61440,740.8801765400001,0.8416776359081268,1196.88,127.62415838241577,0.00038514897,0.003540843,15.751788,0.03803711,30
63488,2.5033417,474,63488,739.0315327307694,0.8482006937265396,1196.923076923077,131.98270201683044,-0.0012061066,0.0053145234,14.655101,0.060302734,31
65536,2.5039566,468,65536,725.2620912727274,0.8427316248416901,1177.8181818181818,136.29832458496094,-0.0064117885,0.005247709,19.28024,0.05673828,32
67584,2.5047598,442,67584,734.7281083035715,0.7339169085025787,1193.375,140.67112469673157,-0.0015988287,0.0037913546,11.624823,0.040527344,33
69632,2.4997895,427,69632,733.4493325689656,0.7476746141910553,1193.9310344827586,145.30370545387268,-0.002073564,0.004907439,14.730896,0.058789063,34
