serial_timesteps,policy_loss,policy_entropy,n_updates,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac,ep_len_mean,ep_reward_mean
2048,-0.0043459535,5.1114874,1,2048,0.0029929366,2.86102294921875e-06,1.1641595,429,0.9847878711298108,0.03310547,,
4096,-0.0069109686,5.0980496,2,4096,0.005227198,4.769885301589966,2.1731534,444,0.9437646456062794,0.058691405,2049.0,1395.222718
6144,-0.003453913,5.096044,3,6144,0.0041522626,9.374590635299683,2.2560444,442,0.9260548129677773,0.047070313,2049.0,1329.8722975
8192,-0.004143507,5.097944,4,8192,0.0026049658,13.999820470809937,3.202026,466,0.9419326111674309,0.027636718,2049.0,1289.5318496666666
10240,-0.003178313,5.0888715,5,10240,0.004465458,18.394474267959595,5.3412356,437,0.8317361772060394,0.05288086,2049.0,1299.9867675
12288,-0.0016056739,5.0888867,6,12288,0.0024777513,23.073850393295288,9.426506,452,0.9173303917050362,0.027880859,1806.8333333333333,1117.393933
14336,-0.0010781864,5.089929,7,14336,0.0019675852,27.600430727005005,10.397033,455,0.8539499044418335,0.017431641,1841.4285714285713,1156.9767707142857
16384,-0.0022472567,5.0850253,8,16384,0.002873446,32.09377694129944,9.604609,473,0.8700972199440002,0.029833984,1867.375,1181.6836535
18432,-0.0028738123,5.078589,9,18432,0.0027258545,36.42030048370361,8.921549,444,0.8827353194355965,0.02734375,1887.5555555555557,1203.4621280000001
20480,-0.0040715868,5.0646796,10,20480,0.0024597547,41.03109931945801,13.056127,480,0.8725718259811401,0.02265625,1715.0,1091.3517432727274
22528,-0.0019864177,5.0650067,11,22528,0.0026147668,45.29035782814026,10.996088,451,0.8461822718381882,0.026660156,1742.8333333333333,1118.5290135
24576,-0.0067649246,5.082108,12,24576,0.005166421,49.83127164840698,9.290664,436,0.7649657130241394,0.061181642,1766.3846153846155,1141.3298936923077
26624,-0.004188067,5.098445,13,26624,0.0047408016,54.52733659744263,9.073918,439,0.7517462074756622,0.05654297,1786.5714285714287,1147.2562062857144
28672,-0.0034242417,5.105592,14,28672,0.0045275204,59.19281315803528,10.268137,457,0.8069151341915131,0.054394532,1804.0666666666666,1154.0151402666668
30720,-0.001831964,5.1029043,15,30720,0.0023495364,63.66730999946594,10.762533,462,0.873580738902092,0.024169922,1819.375,1167.6008964375
32768,-0.0030347975,5.097528,16,32768,0.0034763278,68.09969878196716,12.081034,466,0.8426922261714935,0.039453126,1832.8823529411766,1181.241995647059
34816,-0.0046178014,5.092766,17,34816,0.006673813,72.48798060417175,10.519516,495,0.883067324757576,0.08071289,1844.888888888889,1195.3606478333334
36864,-0.005073687,5.093714,18,36864,0.0047425353,76.61963152885437,5.488639,452,0.937114492058754,0.056152344,1841.7368421052631,1195.7298095789474
38912,-0.0029367711,5.094274,19,38912,0.0027480056,81.14342451095581,20.003023,488,0.7766283303499222,0.029394532,1826.3809523809523,1191.659674904762
40960,-0.003432631,5.0895743,20,40960,0.0020453297,85.33525729179382,14.380702,482,0.8860413059592247,0.017041016,1778.1739130434783,1157.1789767826087
43008,-0.0023287856,5.0826116,21,43008,0.0023970283,89.58265781402588,12.229315,463,0.8231683373451233,0.024023438,1789.4583333333333,1166.569697625
45056,-0.0039185085,5.0812845,22,45056,0.0035793171,93.99963569641113,12.153353,468,0.8046587109565735,0.042285156,1799.84,1172.345137
47104,-0.0031458572,5.0812516,23,47104,0.0040347185,98.36958956718445,9.554783,477,0.8631841242313385,0.03930664,1809.423076923077,1177.7008907692307
49152,-0.0011234552,5.0731454,24,49152,0.0022487708,102.66125082969666,12.495344,473,0.8389483988285065,0.021582032,1818.2962962962963,1187.6572029629629
51200,-0.004197912,5.070219,25,51200,0.0032703169,106.9892807006836,14.685804,481,0.7545761168003082,0.033935547,1826.5357142857142,1192.1132015357143
53248,-0.002941735,5.0671816,26,53248,0.0038302161,111.25863742828369,10.044603,463,0.8782544210553169,0.045458984,1834.2068965517242,1199.427652862069
55296,-0.0029275306,5.061178,27,55296,0.0029937779,115.67665982246399,8.477139,462,0.8720002621412277,0.0340332,1796.6333333333334,1172.4122183
57344,-0.002372519,5.0633106,28,57344,0.002598116,120.10304856300354,18.617937,481,0.8746275901794434,0.029296875,1764.59375,1152.1524964999999
59392,-0.00533968,5.073577,29,59392,0.0047329892,124.35722637176514,11.434948,488,0.8201191872358322,0.061914064,1773.2121212121212,1157.5279344242422
61440,-0.00017103637,5.0699306,30,61440,0.0020384197,128.55398726463318,20.670338,472,0.8338216096162796,0.020703126,1744.9142857142858,1138.079052085714
63488,-0.0012508521,5.076478,31,63488,0.002034301,132.88965797424316,12.894855,473,0.8678604960441589,0.019042969,1753.361111111111,1147.6374596944443
65536,-0.005084708,5.076883,32,65536,0.005066387,137.21374654769897,6.656228,455,0.9137214869260788,0.06015625,1735.1081081081081,1134.3489609459457
67584,-0.0057395147,5.0712023,33,67584,0.0052276375,141.71191811561584,10.335071,453,0.8605001866817474,0.057421874,1743.3684210526317,1142.0481054473682
69632,-0.004276031,5.0751715,34,69632,0.0050476333,146.22832775115967,13.995236,440,0.8090876489877701,0.059375,1751.2051282051282,1150.6805600512819
71680,-0.0010450004,5.0809093,35,71680,0.004406083,150.87757420539856,11.193398,443,0.8232901096343994,0.044873048,1758.65,1152.7750373000001
73728,-0.0010596468,5.08871,36,73728,0.0031006653,155.49653100967407,10.876455,447,0.8764559105038643,0.03388672,1765.7317073170732,1158.9005967317073
75776,-0.0041157217,5.0838957,37,75776,0.003045077,160.06950116157532,15.744406,455,0.81553515791893,0.03227539,1737.2093023255813,1136.4024574651164
77824,-0.004707388,5.0950494,38,77824,0.004067656,164.57098293304443,8.954034,469,0.9150464832782745,0.049462892,1718.7555555555555,1121.1222343111112
79872,-0.004779269,5.109507,39,79872,0.002775432,168.9339644908905,5.3478937,456,0.9179185479879379,0.032421876,1710.2391304347825,1113.3616430434784
81920,0.0010308127,5.110405,40,81920,0.0031912872,173.42274236679077,10.5830145,448,0.7991462200880051,0.037109375,1717.4468085106382,1117.0163863617022
