ep_reward_mean,ep_len_mean,clipfrac,n_updates,total_timesteps,approxkl,fps,value_loss,policy_entropy,explained_variance,policy_loss,serial_timesteps,time_elapsed
212.358301,492.0,0.026171874,1,2048,0.0026619623,492,5.7860317,5.2606764,0.9744644705206156,-0.004611447,2048,1.6689300537109375e-06
744.9752060000001,1016.6666666666666,0.038183592,2,4096,0.0033407155,526,25.740107,5.2552886,0.890023872256279,-0.004435952,4096,4.162609100341797
985.9897127500001,1274.75,0.029101562,3,6144,0.0025045972,541,20.933838,5.2446275,0.8809296116232872,-0.0018106591,6144,8.050049543380737
1067.7401628,1429.6,0.021191407,4,8192,0.0021916733,559,15.646225,5.2432117,0.8981967642903328,-0.0031837858,8192,11.832303524017334
1188.663474,1532.8333333333333,0.0071777343,5,10240,0.0011799262,528,19.830612,5.2338066,0.8889505490660667,-0.0014473295,10240,15.49721097946167
1180.4427661250002,1530.0,0.03364258,6,12288,0.003168786,554,29.228718,5.230727,0.8726481348276138,-0.00390343,12288,19.376055002212524
1196.025400888889,1587.6666666666667,0.021533202,7,14336,0.00221491,600,21.310284,5.2300463,0.6867493987083435,-0.0033601546,14336,23.07192063331604
1241.6926847,1633.8,0.0128417965,8,16384,0.0014668021,560,19.867565,5.2233963,0.8863444775342941,-0.00049099873,16384,26.481128454208374
1009.9718028461539,1373.4615384615386,0.013574218,9,18432,0.001457406,590,18.649822,5.215255,0.7933490872383118,-0.0014115823,18432,30.137634992599487
1062.059275,1421.7142857142858,0.05029297,10,20480,0.0042560645,548,19.423105,5.228241,0.8764646723866463,-0.0023632094,20480,33.60546851158142
875.4101065555556,1209.7777777777778,0.009521484,11,22528,0.0010801398,575,27.940659,5.2430577,0.7453377842903137,-0.000827414,22528,37.33707594871521
877.9312836500001,1224.1,0.013378906,12,24576,0.0014789931,577,26.882456,5.238619,0.8508927673101425,-0.0015918007,24576,40.89473867416382
768.256701125,1098.375,0.023388673,13,26624,0.002184114,615,14.226316,5.242028,0.8374958038330078,-0.0041093016,26624,44.443207025527954
748.49492736,1076.04,0.03515625,14,28672,0.00352256,551,6.650382,5.249903,0.9647484794259071,-0.0044609997,28672,47.770512104034424
733.4257423448275,1057.3103448275863,0.031396486,15,30720,0.0030327027,605,32.62037,5.252044,0.8227033466100693,-0.0039336467,30720,51.485657691955566
752.2530999333334,1090.3666666666666,0.033691406,16,32768,0.0029154397,569,11.979572,5.255222,0.7699061632156372,-0.0021651923,32768,54.87219524383545
726.39799171875,1061.5,0.03276367,17,34816,0.002843955,581,14.711807,5.2606606,0.9315788522362709,-0.0053961435,34816,58.46686339378357
743.5398454705883,1074.8529411764705,0.05805664,18,36864,0.0045704534,543,24.917946,5.268124,0.915395937860012,-0.004368465,36864,61.9885950088501
772.2610868571429,1102.6857142857143,0.051220704,19,38912,0.0043188436,549,19.45166,5.277414,0.8983772248029709,-0.0025623646,38912,65.75527000427246
756.9669881944445,1085.861111111111,0.03359375,20,40960,0.0030073335,598,6.0663304,5.2828493,0.925259530544281,-0.0050015347,40960,69.4841661453247
730.6250028500001,1066.175,0.011767578,21,43008,0.0012310778,597,34.301224,5.288866,0.6298467814922333,-0.0017354405,43008,72.90804672241211
708.4248527906977,1042.5116279069769,0.023046875,22,45056,0.0022269948,566,18.21378,5.283545,0.8918418735265732,-0.0035245947,45056,76.33536767959595
724.6665825681819,1061.1818181818182,0.03178711,23,47104,0.0031116244,579,7.0516295,5.2600803,0.9630505777895451,-0.0055195084,47104,79.95224189758301
740.3201374444444,1083.1333333333334,0.0359375,24,49152,0.0031367633,565,16.50793,5.241812,0.8532379567623138,-0.005860502,49152,83.48870706558228
724.3355412553192,1065.5531914893618,0.013671875,25,51200,0.0013408929,571,12.675847,5.2420874,0.911692813038826,-0.0024794575,51200,87.11128449440002
727.3627669183674,1074.0204081632653,0.01328125,26,53248,0.0013346731,532,20.954744,5.2417436,0.8438956439495087,-0.0011608306,53248,90.71136713027954
747.7036621000001,1093.52,0.0668457,27,55296,0.0053645284,541,19.389397,5.23905,0.8987622037529945,-0.0016390702,55296,94.55977606773376
743.6149450784314,1089.862745098039,0.036230467,28,57344,0.0035086167,564,5.1616745,5.2418137,0.9736183900386095,-0.008226981,57344,98.34562158584595
761.4065965576924,1108.3076923076924,0.03691406,29,59392,0.0034144265,562,20.3242,5.2457037,0.8758556768298149,-0.0055994466,59392,101.97480964660645
778.186021773585,1126.0566037735848,0.056933593,30,61440,0.0042982115,522,17.428371,5.239201,0.886961430311203,-0.0055543543,61440,105.61749243736267
793.3455945555556,1143.148148148148,0.0052734376,31,63488,0.00080264325,527,22.258398,5.238271,0.8118994534015656,-0.0009298345,63488,109.54111886024475
790.1316145714285,1142.6785714285713,0.022558594,32,65536,0.0021225293,544,7.6766615,5.2285085,0.9358976781368256,-0.0026105824,65536,113.42611241340637
800.7735942982455,1158.578947368421,0.027050782,33,67584,0.002717815,513,13.516377,5.2089005,0.925590768456459,-0.0037714005,67584,117.18804025650024
787.4890412950818,1139.27868852459,0.035107423,34,69632,0.0028431604,560,31.100946,5.1885085,0.8889690116047859,-0.00257361,69632,121.18032455444336
751.3680372615385,1096.9846153846154,0.02836914,35,71680,0.0025871298,531,16.606499,5.185872,0.7595177590847015,-0.0035675361,71680,124.83836126327515
721.5560650000001,1061.9420289855072,0.023486327,36,73728,0.0021233456,560,19.956585,5.189083,0.7536567747592926,-0.0051375087,73728,128.69155764579773
