approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,ep_len_mean,value_loss,fps,clipfrac,ep_reward_mean,total_timesteps,policy_loss,time_elapsed
0.0036363131,102400,0.04918217658996582,1.438328,50,1413.7887323943662,1.1271245,342,0.038183592,330.6662283661972,102400,-0.001821096,245.93096208572388
0.006875974,104448,0.05470699071884155,1.4354908,51,1422.611111111111,1.1057752,408,0.09301758,333.4505187638889,104448,-0.007464559,251.91679453849792
0.0028202254,106496,0.09066486358642578,1.434544,52,1431.1917808219177,1.2404406,406,0.029150391,336.192824109589,106496,5.6038312e-05,256.93660831451416
0.004339531,108544,0.08260613679885864,1.4336426,53,1439.5405405405406,1.2862552,402,0.04741211,339.17426020270267,108544,-0.0012341014,261.9797682762146
0.0036144916,110592,0.06675612926483154,1.427408,54,1447.6666666666667,1.1291013,430,0.038867187,342.21178817333333,110592,-0.00017017443,267.0713927745819
0.0029363171,112640,0.02699178457260132,1.4251696,55,1455.578947368421,1.2161193,419,0.031298827,344.92483742105264,112640,-0.00013828576,271.8286986351013
0.004517316,114688,0.05682241916656494,1.4319388,56,1463.2857142857142,1.2545235,433,0.053759765,347.61155668831174,114688,-0.0010313649,276.70792603492737
0.0048396145,116736,0.04873967170715332,1.4491947,57,1470.7948717948718,1.2890239,434,0.06015625,350.3695800384616,116736,-0.0019435972,281.42793560028076
0.0052946536,118784,0.09103477001190186,1.4577563,58,1478.113924050633,1.2384444,428,0.06274414,352.88764327848105,118784,-0.0033283837,286.1380970478058
0.0033763505,120832,0.07963806390762329,1.4559655,59,1485.25,1.3001121,451,0.0390625,355.32953023749997,120832,-0.0020569966,290.9140305519104
0.0035897107,122880,0.11477601528167725,1.4551433,60,1492.20987654321,1.369506,431,0.04033203,357.76653054320985,122880,-0.0012999789,295.45403599739075
0.006785953,124928,0.06156885623931885,1.4632397,61,1499.0,1.362684,417,0.090429686,360.2816817439024,124928,-0.0018368475,300.2019591331482
0.0028940968,126976,0.1310102939605713,1.4720836,62,1505.6265060240964,1.2517277,426,0.02993164,362.7896712168675,126976,-0.0009835085,305.10870838165283
0.005023847,129024,0.04372459650039673,1.4734266,63,1512.095238095238,1.3956949,436,0.060302734,365.0032717619047,129024,-0.0039649187,309.90768361091614
0.0046185134,131072,0.07819855213165283,1.4835236,64,1518.4117647058824,1.3495269,429,0.054589845,367.2313215882353,131072,-0.0017557008,314.6008503437042
0.005653598,133120,0.13317900896072388,1.5052999,65,1524.5813953488373,1.3118117,428,0.06933594,369.5949051511628,133120,-0.0022520781,319.3749051094055
0.008131241,135168,-0.012933731079101562,1.5213808,66,1530.6091954022988,1.401025,445,0.10644531,371.77689590804596,135168,-0.0040732836,324.15840578079224
0.004629258,137216,0.021862268447875977,1.543139,67,1536.5,1.4128592,458,0.054882813,373.74396837499995,137216,-0.001339639,328.75479316711426
0.0047039352,139264,0.04369574785232544,1.5548949,68,1542.258426966292,1.4509652,431,0.058935545,375.72507087640446,139264,-0.0027833208,333.21825408935547
0.0030096318,141312,0.05046778917312622,1.5567676,69,1547.888888888889,1.4570557,458,0.032421876,377.6060570777778,141312,9.447192e-05,337.9608268737793
0.0074512074,143360,0.12429064512252808,1.5615083,70,1553.3956043956043,1.3657078,442,0.09804688,379.61208881318686,143360,-0.0036652177,342.4282159805298
0.004685342,145408,0.02285945415496826,1.5729926,71,1558.7826086956522,1.4065003,431,0.060253907,381.37207798913045,145408,-0.0013157259,347.05659079551697
0.0043698875,147456,0.032320261001586914,1.5890198,72,1564.0537634408602,1.4014457,448,0.050048828,383.07645304301076,147456,-0.00080057763,351.8062138557434
0.0036279182,149504,0.03143107891082764,1.6039308,73,1569.212765957447,1.4325626,449,0.039892577,384.73867023404256,149504,-0.00015640064,356.3763356208801
0.0049939733,151552,0.10308730602264404,1.6160309,74,1574.2631578947369,1.4153199,458,0.0647461,386.2494248736842,151552,-0.0027076588,360.9365146160126
0.0035248953,153600,0.07167625427246094,1.6160921,75,1579.2083333333333,1.4370172,385,0.037060548,387.6601778125,153600,-0.0016295135,365.40638065338135
0.0043673953,155648,0.11520642042160034,1.6183866,76,1584.0515463917525,1.3498247,426,0.051953126,389.2239350618557,155648,-0.0011315427,370.71835494041443
0.0044699055,157696,0.08907437324523926,1.6371485,77,1588.795918367347,1.4313388,417,0.054052733,390.6636073469388,157696,-0.001849463,375.5202531814575
0.004479765,159744,0.04005146026611328,1.6535771,78,1593.4444444444443,1.3186685,424,0.051416017,392.32340445454554,159744,-0.001290015,380.4305753707886
0.0039029545,161792,0.08996808528900146,1.6568016,79,1598.0,1.3577473,440,0.043066405,393.77777911000004,161792,-0.0025513764,385.25684666633606
0.0035612744,163840,0.08160454034805298,1.6555483,80,1605.77,1.4334275,414,0.039453126,396.63067815,163840,-0.00040793722,389.9016582965851
0.0061681853,165888,0.08172619342803955,1.6666908,81,1615.61,1.4808323,410,0.076220706,400.24486312,165888,-0.003629724,394.8463931083679
0.006797149,167936,0.1201561689376831,1.6778717,82,1616.32,1.3665887,423,0.08696289,401.66389599999997,167936,-0.004888761,399.8312895298004
0.0046724426,169984,0.09566730260848999,1.6793747,83,1634.48,1.4398161,416,0.05288086,406.89760974999996,169984,-0.00051492127,404.67281675338745
0.005205561,172032,0.1433049440383911,1.6846068,84,1642.83,1.4763769,418,0.064892575,409.73085540999995,172032,-0.0023199874,409.595498085022
0.004365989,174080,0.15624022483825684,1.6917856,85,1658.07,1.4526341,441,0.052978516,414.24868508,174080,-0.0021466964,414.48517179489136
0.0048960103,176128,0.09267520904541016,1.7007453,86,1676.22,1.5440342,441,0.061035156,419.48612476999995,176128,-0.00025186827,419.1265332698822
0.004829101,178176,0.14497113227844238,1.7035162,87,1688.23,1.5095103,426,0.05859375,423.34562591,178176,-0.0011629002,423.7645375728607
0.0034837995,180224,0.10283619165420532,1.7000996,88,1705.62,1.5304935,422,0.039941408,428.39865993000006,180224,-0.002814199,428.5655710697174
0.005543371,182272,0.1584264636039734,1.7083851,89,1722.12,1.4229414,424,0.07260742,433.2082926400001,182272,9.570192e-05,433.4165925979614
0.007419721,184320,0.11907470226287842,1.7325144,90,1738.65,1.5040361,422,0.091992185,437.82813662,184320,-0.0049531097,438.24648809432983
0.0029254467,186368,0.1412663459777832,1.7529342,91,1757.02,1.5130608,422,0.03017578,442.97899964000004,186368,0.00021771376,443.0994658470154
0.004975343,188416,0.1472424864768982,1.769215,92,1776.13,1.5479248,414,0.05859375,448.4541458499999,188416,-0.000781293,447.94451355934143
0.004061123,190464,0.2025437355041504,1.780353,93,1793.99,1.5352,419,0.045556642,453.62588437,190464,-0.0004929852,452.8819704055786
0.005594558,192512,0.10517656803131104,1.7862126,94,1810.89,1.5927889,433,0.06538086,458.63244256999997,192512,-0.0012754544,457.7636413574219
0.007854695,194560,0.1292629837989807,1.8054768,95,1828.98,1.5142003,434,0.100292966,463.89691284,194560,-0.004245125,462.4880588054657
0.0062997392,196608,0.0374944806098938,1.8247197,96,1847.64,1.6145847,424,0.079394534,469.07244344,196608,-0.0020284352,467.20017290115356
0.0026629688,198656,0.19058644771575928,1.8370008,97,1865.57,1.4916688,430,0.027001953,474.30061105,198656,-0.0011634793,472.02865386009216
0.00393828,200704,0.1563233733177185,1.8427566,98,1879.9,1.6736603,431,0.042919923,478.61700195,200704,-0.00113665,476.7880470752716
0.0046659024,202752,0.12733864784240723,1.8447765,99,1893.8,1.5901076,434,0.055761717,482.75271475999995,202752,-0.00103281,481.53366804122925
0.0051318007,204800,0.15210771560668945,1.846253,100,1903.36,1.7275947,443,0.06352539,485.7290322399999,204800,-0.002614944,486.25242042541504
0.004076422,206848,0.21997135877609253,1.849794,101,1913.69,1.6614739,432,0.05180664,488.74434792999995,206848,-0.002819373,490.87130880355835
0.007448399,208896,0.19896680116653442,1.8590826,102,1929.83,1.7257992,423,0.09765625,493.81118102,208896,-0.0041422793,495.6029145717621
0.0049794195,210944,0.18280816078186035,1.8622214,103,1939.42,1.6990993,424,0.059912108,497.15555638999996,210944,-0.0047783745,500.44150018692017
0.002721121,212992,0.11082911491394043,1.8777361,104,1943.9,1.7123579,429,0.026611328,498.98378678,212992,-0.0007284655,505.2633125782013
0.004459884,215040,0.22774571180343628,1.8901256,105,1962.87,1.67893,437,0.051171876,504.84501258000006,215040,-0.0011335819,510.0336594581604
0.004338249,217088,0.29784727096557617,1.8877891,106,1981.92,1.7794044,426,0.04916992,510.80302177000004,217088,-0.0036395877,514.7115294933319
0.0037327514,219136,0.16809934377670288,1.888986,107,1990.97,1.8558483,422,0.04448242,514.84215268,219136,-0.00088911504,519.5104870796204
0.004629541,221184,0.23598676919937134,1.8873842,108,2006.4,2.242029,404,0.055029295,520.0688536600002,221184,-0.004081414,524.3561584949493
0.0051403185,223232,0.21174860000610352,1.8872175,109,2013.6,2.2099354,431,0.0625,524.1521510000001,223232,-0.0027120076,529.4201529026031
0.0040448722,225280,0.24633479118347168,1.8853832,110,2031.88,2.0895982,426,0.046142578,530.45532276,225280,-0.002059213,534.1720135211945
0.0023088036,227328,0.2856539487838745,1.8795111,111,2049.0,2.5936365,415,0.022021484,536.8149938099999,227328,-0.00087650504,538.9728207588196
0.004231192,229376,0.4046613574028015,1.8686094,112,2049.0,2.7909214,418,0.04863281,539.64353757,229376,-0.0006235255,543.9037108421326
