n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,ep_len_mean,clipfrac,explained_variance,ep_reward_mean,policy_entropy,fps
1,-0.0026403733,4.178941,2048,0.002357427,2048,2.1457672119140625e-06,455.25,0.024902344,0.039238810539245605,83.7816445,1.4340757,413
2,-0.0024028253,5.093835,4096,0.002740019,4096,4.948996067047119,774.0,0.021386718,0.14144372940063477,149.9494864,1.448015,473
3,-0.0025212832,6.733775,6144,0.003925219,6144,9.276760578155518,920.0,0.039697267,0.1591210961341858,191.0338875,1.4459321,477
4,-0.002169427,7.115026,8192,0.0037166409,8192,13.568576335906982,1081.2857142857142,0.030566406,-0.04566347599029541,235.2450585714286,1.4462619,432
5,-0.0020879935,5.935113,10240,0.0029766196,10240,18.30531930923462,1097.0,0.021484375,0.06797057390213013,243.30220822222222,1.4358995,426
6,-0.001205433,7.3409166,12288,0.0024666972,12288,23.110810041427612,1109.8181818181818,0.021533202,0.05010855197906494,251.91286181818185,1.430852,413
7,-0.0026072655,7.9385223,14336,0.004598814,14336,28.063679695129395,1073.4166666666667,0.05263672,0.16995805501937866,245.78584741666668,1.4297433,409
8,-0.0018500194,8.62583,16384,0.0016423028,16384,33.064942359924316,1053.9285714285713,0.013574218,0.17209649085998535,246.92817914285715,1.4354273,366
9,-0.0022610358,6.152797,18432,0.0021485458,18432,38.64798092842102,1062.1176470588234,0.018847656,0.16073822975158691,257.78991782352944,1.4459012,372
10,-0.0056478824,7.026409,20480,0.0029763675,20480,44.141989946365356,1075.8947368421052,0.030810546,0.20178812742233276,264.2852517368421,1.4486653,394
11,-0.002128285,2.6481957,22528,0.002827951,22528,49.33566331863403,772.1034482758621,0.026123047,0.13975310325622559,186.50174324137933,1.4382738,413
12,-0.0024153874,3.8673763,24576,0.0028141506,24576,54.28844118118286,663.3243243243244,0.027832031,0.4165864586830139,159.8115584054054,1.4388559,428
13,-0.0025154953,9.254724,26624,0.003673171,26624,59.06841850280762,677.0263157894736,0.037988283,0.16301429271697998,165.88334515789475,1.4426666,403
14,-0.005066635,6.757431,28672,0.0036783938,28672,64.14885640144348,712.2051282051282,0.035839844,-0.079567551612854,178.46606787179488,1.4331257,423
15,-0.00432361,4.5477424,30720,0.0048246994,30720,68.98098468780518,745.625,0.05908203,-0.11229598522186279,187.987183625,1.4347498,365
16,-0.00222518,4.60766,32768,0.0025514108,32768,74.59054899215698,777.4146341463414,0.02421875,-0.14063096046447754,196.20890363414634,1.4469632,441
17,-0.0025327434,3.849414,34816,0.002590355,34816,79.23213934898376,807.6904761904761,0.027294923,0.02707648277282715,204.8980351904762,1.4454441,441
18,-0.004331529,3.7696762,36864,0.0052892785,36864,83.87336921691895,836.5581395348837,0.066064455,-0.19459867477416992,212.77296669767443,1.4496195,450
19,-0.003435918,4.2540526,38912,0.004772774,38912,88.41497588157654,864.1136363636364,0.057617188,0.02658170461654663,220.59772006818184,1.460736,435
20,-0.0008423532,3.964559,40960,0.002322128,40960,93.12056374549866,890.4444444444445,0.016113281,0.10754591226577759,229.05098224444447,1.4575765,453
21,-0.002712892,3.5471294,43008,0.0031597007,43008,97.64019322395325,915.6304347826087,0.030957032,0.05531466007232666,236.44503380434782,1.450147,373
22,-0.0058301874,2.6063323,45056,0.0040574297,45056,103.11679697036743,939.7446808510638,0.04790039,0.03165006637573242,242.8598779787234,1.4583519,435
23,-0.006174676,2.5414472,47104,0.0045629395,47104,107.81511235237122,962.8541666666666,0.05,0.12291187047958374,248.62722252083336,1.4603717,407
24,0.00022428119,3.4181004,49152,0.0019685447,49152,112.83605098724365,985.0204081632653,0.01508789,0.07166445255279541,254.86895769387755,1.4497187,392
25,-0.0028766885,3.706466,51200,0.0039430046,51200,118.0575180053711,1006.3,0.040771484,0.21367263793945312,262.42012084000004,1.4483538,461
26,-0.0029552504,3.729885,53248,0.00306319,53248,122.50982236862183,1026.7450980392157,0.029443359,0.09886378049850464,268.6535332352941,1.4432518,437
