ep_len_mean,total_timesteps,approxkl,ep_reward_mean,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps
1299.9866666666667,98304,0.004707788,799.6013015333333,0.7764406651258469,0.055419922,2.4239094,48,425,16.034218,-0.0073218113,211.0943043231964,98304
1297.8831168831168,100352,0.005205271,796.6449176883117,0.774875670671463,0.06337891,2.4387784,49,394,16.226078,-0.0022375456,215.90756964683533,100352
1282.1645569620252,102400,0.0023749934,784.9312009746835,0.8110864460468292,0.024169922,2.4521906,50,443,14.958975,-0.0015835112,221.10068678855896,102400
1283.9876543209878,104448,0.0030911374,785.8676228641974,0.8126298934221268,0.03354492,2.449782,51,450,15.707644,-0.0008425472,225.72476863861084,104448
1293.3170731707316,106496,0.0044641546,791.5915523170731,0.7592547535896301,0.05605469,2.4507885,52,456,11.838793,-0.0017671284,230.27517437934875,106496
1279.6904761904761,108544,0.00385383,781.2612330000001,0.7610045373439789,0.04091797,2.4512553,53,439,15.325711,-0.0019482471,234.75993990898132,108544
1282.1511627906978,110592,0.0052013313,781.5841846046512,0.7532567381858826,0.054296874,2.4455197,54,462,16.280394,-0.0033187415,239.4171848297119,110592
1290.9655172413793,112640,0.004888674,787.109041632184,0.8042943030595779,0.060498048,2.443772,55,432,9.196488,-0.001961499,243.84742212295532,112640
1262.111111111111,114688,0.0053251833,766.708461211111,0.8025415688753128,0.06098633,2.453823,56,437,15.983583,-0.0043530953,248.5815567970276,114688
1270.7582417582419,116736,0.0041252836,772.2616589010987,0.7681731730699539,0.049316406,2.4656425,57,463,11.487981,-0.0044413856,253.2615737915039,116736
1279.2173913043478,118784,0.00595306,777.250509695652,0.7953663915395737,0.07099609,2.4573576,58,457,9.970547,-0.000625765,257.676983833313,118784
1279.840425531915,120832,0.005533115,777.5618675957445,0.8149194419384003,0.06967773,2.4596376,59,481,14.311632,-0.003777685,262.1581480503082,120832
1287.9368421052632,122880,0.004024716,783.5893972631577,0.8203579634428024,0.045898438,2.4580843,60,466,10.539669,-0.0020964148,266.4159038066864,122880
1287.5773195876288,124928,0.0056318473,783.386322701031,0.8395116329193115,0.06923828,2.4524686,61,473,12.824102,-0.005902094,270.80665254592896,124928
1271.878787878788,126976,0.0038583498,772.1834058080808,0.875370979309082,0.045214843,2.4743426,62,456,9.811241,-0.0016980689,275.1328692436218,126976
1272.39,129024,0.003612802,772.7490269099998,0.8207699209451675,0.043310545,2.4944394,63,453,18.651411,-0.0016163342,279.6239836215973,129024
