approxkl,n_updates,policy_loss,clipfrac,value_loss,explained_variance,time_elapsed,fps,policy_entropy,serial_timesteps,total_timesteps,ep_len_mean,ep_reward_mean
0.0031731413,1,-0.004245054,0.038671874,0.0019107116,0.924367144703865,2.1457672119140625e-06,399,7.591179,2048,2048,,
0.0041688345,2,-0.0050913943,0.04741211,2.3437636,0.017435789108276367,5.122969627380371,416,7.565103,4096,4096,2049.0,2034.137499
0.0018485499,3,-0.0028513186,0.017431641,4.4251084,0.00803607702255249,10.044050216674805,437,7.533222,6144,6144,2049.0,2034.186662
0.0019828356,4,-0.003417113,0.017626952,6.2468605,0.007873296737670898,14.72555923461914,414,7.4937577,8192,8192,2049.0,2035.1634013333332
0.00066636835,5,-0.0006831901,0.0025390624,7.908194,0.007198154926300049,19.66438865661621,425,7.467631,10240,10240,2049.0,2036.97615
0.004116419,6,-0.0043160315,0.050048828,9.416477,-0.00307464599609375,24.474363565444946,418,7.4583726,12288,12288,2049.0,2037.5596472000002
0.0061484613,7,-0.006617663,0.067675784,10.584478,0.007632017135620117,29.36865997314453,440,7.4329367,14336,14336,2049.0,2037.9472716666667
0.0039910367,8,-0.0035565384,0.046679687,11.751711,0.0032295584678649902,34.02160358428955,400,7.402686,16384,16384,2049.0,2038.773984
0.0019278821,9,-0.002748624,0.016992187,12.808046,0.001934349536895752,39.13989043235779,427,7.378045,18432,18432,2049.0,2039.3912002499999
0.0023787594,10,-0.0011352216,0.025683593,13.7485485,-0.0005117654800415039,43.93376350402832,411,7.3575563,20480,20480,2049.0,2039.8776138888888
0.0025459838,11,-0.002635809,0.026171874,14.5360775,-0.001835942268371582,48.90791702270508,383,7.337306,22528,22528,2049.0,2040.4840671000002
0.0031615323,12,-0.0027805227,0.03540039,15.129194,0.003196120262145996,54.24407887458801,400,7.305626,24576,24576,2049.0,2040.856625818182
0.0036359583,13,-0.0016153848,0.046679687,15.820848,-0.0026335716247558594,59.35801911354065,423,7.2839727,26624,26624,2049.0,2041.1915921666669
0.0036029152,14,-0.0019062993,0.022070313,26.62384,0.7653560638427734,64.19604635238647,378,7.283886,28672,28672,1781.4666666666667,1774.7584026666668
0.0013439204,15,-0.00057405076,0.012207031,20.381256,0.0005072951316833496,69.60137677192688,423,7.2978907,30720,30720,1798.1875,1791.6568375625
0.0016235737,16,-9.4131916e-05,0.017578125,20.306875,-0.002985358238220215,74.44032764434814,425,7.3125544,32768,32768,1812.9411764705883,1806.5736708235293
0.0022533569,17,-0.0016458906,0.028125,20.27553,-0.00042378902435302734,79.25075721740723,415,7.3154426,34816,34816,1826.0555555555557,1819.8377323888888
0.0011325403,18,-6.481027e-05,0.009375,20.157314,0.00033533573150634766,84.17474722862244,413,7.3226976,36864,36864,1837.7894736842106,1831.6446181578947
0.0062854863,19,-0.004126805,0.08730469,20.144737,0.003171265125274658,89.12771916389465,442,7.330934,38912,38912,1848.35,1842.0261225499999
0.0034981507,20,-0.0010558645,0.04135742,20.097393,0.006876111030578613,93.76154518127441,421,7.3244615,40960,40960,1857.904761904762,1851.7131145714284
0.0022600577,21,-0.0006136667,0.026513672,20.229458,-0.0008965730667114258,98.61889123916626,432,7.319945,43008,43008,1866.590909090909,1860.446293409091
0.0022089635,22,-0.00075997796,0.025927734,20.108036,-0.0025615692138671875,103.36014819145203,433,7.320348,45056,45056,1874.5217391304348,1868.3387867826086
0.0010804249,23,-1.3230951e-05,0.008154297,20.109606,-0.00305783748626709,108.08702445030212,424,7.3273873,47104,47104,1881.7916666666667,1875.5528402083335
0.003980891,24,-0.0011118882,0.04926758,20.129353,-0.003420233726501465,112.91411209106445,429,7.3276916,49152,49152,1888.48,1882.14295648
0.003059946,25,-0.002076764,0.041308593,20.051767,0.008947312831878662,117.683278799057,444,7.3331833,51200,51200,1894.6538461538462,1888.2341821153846
0.0054851985,26,-0.003876752,0.075488284,20.279459,-0.012240171432495117,122.30773138999939,437,7.343393,53248,53248,1900.3703703703704,1893.7719616666666
0.001104969,27,-0.00017202957,0.009716797,20.129673,0.000947415828704834,126.99258995056152,431,7.3520913,55296,55296,1905.6785714285713,1898.9505532142855
0.0018643405,28,-0.00113665,0.019482423,20.07432,0.004582464694976807,131.74385452270508,431,7.3536882,57344,57344,1910.6206896551723,1903.746040137931
0.00033009084,29,9.315449e-05,0.001171875,20.172592,-0.003118157386779785,136.49603533744812,410,7.351569,59392,59392,1915.2333333333333,1908.1473491333334
0.0017325135,30,-0.00028993905,0.016992187,20.093674,-0.001858353614807129,141.48919343948364,431,7.3647103,61440,61440,1919.5483870967741,1912.2781531935484
0.001174659,31,-0.0005229609,0.011865234,20.113995,0.0005121231079101562,146.23385524749756,408,7.380311,63488,63488,1923.59375,1916.1550395
0.00097238424,32,0.000619194,0.01015625,19.954128,0.01832813024520874,151.24917435646057,424,7.3815055,65536,65536,1927.3939393939395,1919.8460638181818
0.0026430443,33,-0.0022268689,0.030273438,20.105259,-0.007535099983215332,156.07989525794983,427,7.3816466,67584,67584,1930.9705882352941,1923.2216782647058
0.0020233074,34,-0.00087581965,0.024365235,20.025444,0.00687098503112793,160.86766648292542,427,7.382805,69632,69632,1934.3428571428572,1926.5281454571427
0.0008589729,35,-0.00035748794,0.0089355465,19.906805,0.013114213943481445,165.66204118728638,413,7.3858247,71680,71680,1937.5277777777778,1929.5453474166668
0.00077779073,36,-0.0011495807,0.0065429686,29.474548,0.4825184941291809,170.61969685554504,385,7.387619,73728,73728,1891.842105263158,1883.8943818684213
