policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.0032346747,1,2.86102294921875e-06,1.4263446,103.32587533333333,0.13058018684387207,0.027880859,2048,4.6620197,526.0,2048,544,0.0025681704
-0.003696469,2,3.761366128921509,1.4435428,165.1099044,0.15620869398117065,0.035742186,4096,5.417557,813.4,4096,535,0.0031572126
-0.00065085106,3,7.582859039306641,1.457936,219.37521166666667,-0.014458060264587402,0.010058594,6144,6.89564,1019.3333333333334,6144,542,0.0016189378
-0.002371223,4,11.361989498138428,1.4568918,250.5689872857143,0.08567291498184204,0.031884767,8192,5.1815696,1166.4285714285713,8192,477,0.0031738833
-0.005123128,5,15.6546630859375,1.4603237,279.711912,-0.5413888692855835,0.06430664,10240,6.11633,1276.75,10240,498,0.005085421
-0.0014540676,6,19.761209726333618,1.478596,302.97043666666667,-0.16039109230041504,0.024902344,12288,6.0702786,1362.5555555555557,12288,514,0.0026910026
-0.0034177043,7,23.73964214324951,1.4762747,315.86015469999995,-0.24475061893463135,0.030859375,14336,4.202763,1431.2,14336,541,0.0032983199
-0.0039733117,8,27.521028995513916,1.4722168,324.1417140909091,-0.006980299949645996,0.054003906,16384,3.330342,1487.3636363636363,16384,544,0.004426562
-0.0031725354,9,31.27955174446106,1.4820912,335.43426158333335,2.092123031616211e-05,0.03725586,18432,4.2664175,1534.1666666666667,18432,478,0.003460483
-0.005592072,10,35.55872869491577,1.4919561,302.48725871428576,-0.03753197193145752,0.042919923,20480,2.730301,1392.0714285714287,20480,382,0.0037061342
-0.00528271,11,40.91520714759827,1.5045952,276.5925777058824,0.18514811992645264,0.05605469,22528,2.0943177,1295.5294117647059,22528,343,0.004556344
-0.004711164,12,46.8710880279541,1.4968431,258.2927791000001,0.5097454488277435,0.04067383,24576,2.046419,1227.15,24576,360,0.0036686757
-0.004149935,13,52.55576276779175,1.488807,234.61337356521747,0.46737349033355713,0.046044923,26624,1.6509899,1121.608695652174,26624,456,0.004105547
-0.0056204954,14,57.04206347465515,1.4977329,241.63554925000003,0.19280225038528442,0.093652345,28672,2.121417,1160.25,28672,511,0.0069003575
-0.0056380522,15,61.04894971847534,1.5103394,236.23484496153847,0.627971887588501,0.050390624,30720,2.059259,1136.7307692307693,30720,494,0.004418325
-0.00530162,16,65.19133138656616,1.5185349,244.40575803703703,-0.03212475776672363,0.07333984,32768,2.1579227,1170.5185185185185,32768,484,0.005866814
-0.0041967193,17,69.4193856716156,1.5191098,252.01757828571428,0.13754189014434814,0.052099608,34816,2.3272612,1201.892857142857,34816,442,0.004611608
-0.0024723872,18,74.04518842697144,1.5232642,260.2686683793103,0.08606666326522827,0.029150391,36864,2.4429135,1231.103448275862,36864,488,0.0031157765
-0.0038021835,19,78.23495531082153,1.539221,268.1816397333333,-0.01698005199432373,0.06689453,38912,2.5206845,1258.3666666666666,38912,507,0.0056226933
-0.00035245265,20,82.2727484703064,1.5423304,276.06280570967743,-0.07671427726745605,0.02631836,40960,2.1529684,1283.8709677419354,40960,481,0.002919124
-0.00335363,21,86.52265930175781,1.5233152,279.29645121875,0.4053451418876648,0.041259766,43008,2.3416245,1294.78125,43008,519,0.0038856075
