serial_timesteps,n_updates,explained_variance,policy_entropy,total_timesteps,fps,value_loss,approxkl,clipfrac,time_elapsed,policy_loss,ep_reward_mean,ep_len_mean
278528,136,0.8648701459169388,4.09193,278528,497,21.436749,0.005273447,0.06889649,556.357497215271,-0.0060153115,915.8653415299999,1250.34
280576,137,0.879861630499363,4.087559,280576,492,20.921045,0.005273134,0.064257815,560.4721806049347,-0.0059365467,923.6625989,1255.61
282624,138,0.6752413511276245,4.0869617,282624,497,12.968651,0.0070750555,0.07670899,564.6350717544556,-0.004434602,917.8028632300001,1255.61
284672,139,0.808827131986618,4.089878,284672,527,18.819372,0.0016733048,0.014013672,568.7521917819977,-0.0045940964,889.1856102400001,1225.73
286720,140,0.6757231056690216,4.096651,286720,493,13.562172,0.004178318,0.044921875,572.6367840766907,-0.004448943,898.82939058,1241.14
288768,141,0.8266737014055252,4.1076365,288768,507,12.823547,0.0018352356,0.018017579,576.7873041629791,-0.0017511528,905.8065336200002,1251.87
290816,142,0.835313692688942,4.108124,290816,493,13.68898,0.005335656,0.06303711,580.824435710907,-0.006418218,887.0344181900003,1235.47
292864,143,0.8873397037386894,4.1034517,292864,496,17.557377,0.008442274,0.111132815,584.9729056358337,-0.0040566623,886.4990543800002,1235.47
294912,144,0.722154051065445,4.106132,294912,489,9.757246,0.004340679,0.05024414,589.0997154712677,-0.0039920798,881.1626759400002,1235.47
296960,145,0.6949826776981354,4.1108255,296960,503,13.080658,0.0018892707,0.016845703,593.2841708660126,-0.0024592243,875.7208851299999,1235.47
299008,146,0.6858175992965698,4.114768,299008,497,22.334608,0.0026243995,0.028564453,597.3484976291656,-0.0037988923,855.3672724799998,1220.11
301056,147,0.962810430675745,4.112319,301056,514,7.7149367,0.0027651105,0.029833984,601.4632213115692,-0.0045711244,842.34057429,1207.2
303104,148,0.8752401694655418,4.105956,303104,505,37.098892,0.0028137448,0.030078124,605.4462249279022,-0.00490303,838.7559398999999,1202.15
305152,149,0.7659039795398712,4.109852,305152,517,21.752544,0.0022981742,0.027197266,609.5021862983704,-0.002685309,838.3767015000001,1200.7
307200,150,0.8070045709609985,4.122112,307200,538,16.481861,0.0031116754,0.03564453,613.4596261978149,-0.003149182,812.87130781,1168.18
309248,151,0.8890984356403351,4.128715,309248,506,9.666343,0.0019425644,0.01875,617.2633948326111,-0.003637035,786.7334354,1135.54
311296,152,0.747728705406189,4.1375055,311296,488,22.174725,0.0021218262,0.022460938,621.308666229248,-0.0060769017,755.4172475599999,1100.47
313344,153,0.9623952582478523,4.141983,313344,509,8.8281555,0.0016177383,0.013183594,625.5011668205261,-0.0025101355,726.3956970499999,1070.54
315392,154,0.9148092865943909,4.1492414,315392,492,23.289978,0.0031554722,0.0359375,629.5210707187653,-0.0024375557,740.00224472,1083.7
317440,155,0.6968337297439575,4.1551924,317440,498,20.807499,0.0023935493,0.022607422,633.6814172267914,-0.0036068137,732.14839982,1077.99
319488,156,0.8934008777141571,4.1471677,319488,486,19.187593,0.005767878,0.06826172,637.7913162708282,-0.005302968,734.98932424,1077.99
321536,157,0.9671412296593189,4.154194,321536,508,9.613964,0.002065606,0.01826172,642.0045232772827,-0.0041244365,704.9172244,1048.1
323584,158,0.880062535405159,4.166436,323584,486,19.847002,0.0057433313,0.068115234,646.0334694385529,-0.0054694465,710.4527761200001,1048.1
325632,159,0.8708001971244812,4.172692,325632,511,27.362696,0.0023125303,0.02368164,650.2463009357452,-0.004531312,710.3265777199999,1048.92
327680,160,0.8880684673786163,4.173579,327680,502,12.286612,0.0026000454,0.028320312,654.2519669532776,-0.0026572042,718.76847983,1062.72
329728,161,0.8923967927694321,4.169969,329728,479,19.967304,0.0031356527,0.03461914,658.3297278881073,-0.0024867137,733.92873854,1078.14
331776,162,0.7851522862911224,4.173707,331776,490,15.821838,0.0038128651,0.043652344,662.6034822463989,-0.0054620793,741.4664482000001,1090.24
333824,163,0.7898586094379425,4.1716714,333824,500,16.157888,0.0013077556,0.012060547,666.7808022499084,-0.0017443292,745.73333576,1096.64
335872,164,0.8877615407109261,4.199478,335872,461,19.640326,0.00588605,0.07211914,670.8732154369354,-0.003006332,760.1776585500002,1111.02
