n_updates,fps,clipfrac,explained_variance,total_timesteps,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean,ep_len_mean
1,496,0.043017577,0.9977958749514073,2048,0.3018875,2.1457672119140625e-06,-0.0060230414,0.004798128,2048,6.84131,,
2,500,0.030859375,0.9660297557711601,4096,5.6466036,4.126895427703857,-0.0045554405,0.0031822715,4096,6.8151693,1790.182707,2049.0
3,503,0.0076660155,0.9647258631885052,6144,9.232027,8.215373992919922,-0.002156964,0.000878054,6144,6.7964845,1265.0248163333333,1588.0
4,514,0.017529298,0.8799144625663757,8192,30.251286,12.284829378128052,-0.0011603304,0.002604026,8192,6.790723,1180.1753532,1494.0
5,493,0.016552735,0.877425879240036,10240,21.239305,16.262917041778564,-0.0018616071,0.0021603596,10240,6.7778397,1282.7646745,1586.5
6,512,0.029101562,0.9878379302099347,12288,1.7651876,20.412647485733032,-0.002042011,0.0029707784,12288,6.757245,1162.4687554285715,1463.2857142857142
7,498,0.034326173,0.9451893977820873,14336,8.343406,24.406840562820435,-0.0028218306,0.0035253745,14336,6.752019,1242.8952072499999,1536.5
8,496,0.04873047,0.9343578368425369,16384,9.196893,28.512903213500977,-0.004098218,0.004351438,16384,6.7468767,1302.333117111111,1593.4444444444443
9,503,0.04506836,0.9339165464043617,18432,10.448945,32.63644766807556,-0.0041965046,0.0042416016,18432,6.719706,1353.1660521,1639.0
10,367,0.07138672,0.9251347705721855,20480,11.840246,36.70074796676636,-0.003432212,0.0054350374,20480,6.7040725,1394.930944,1676.2727272727273
11,506,0.033740234,0.9072052761912346,22528,14.555013,42.27073621749878,-0.0030062238,0.0031420316,22528,6.6991744,1428.6642935833333,1707.3333333333333
12,522,0.027539063,0.9056502804160118,24576,13.724704,46.31480097770691,-0.004285639,0.0029027795,24576,6.688586,1444.0407873076922,1733.6153846153845
13,503,0.036474608,0.8957860991358757,26624,14.50334,50.23309636116028,-0.0030249897,0.0038208063,26624,6.6653976,1469.8436864999999,1756.142857142857
14,523,0.029492188,0.9044788107275963,28672,15.144064,54.30265188217163,-0.0020177795,0.002717149,28672,6.6466246,1494.5203433999998,1775.6666666666667
15,524,0.044140626,0.8971782997250557,30720,15.6110735,58.214746952056885,-0.002596385,0.00442578,30720,6.6295457,1514.055942625,1792.75
16,525,0.038427733,0.8951922208070755,32768,16.56232,62.12181544303894,-0.004096231,0.0038915197,32768,6.607849,1530.5446042352942,1807.8235294117646
17,530,0.026416015,0.8921210318803787,34816,17.216806,66.01648736000061,-0.003081862,0.003312321,34816,6.594368,1544.3267432777777,1821.2222222222222
18,522,0.1065918,0.8906147330999374,36864,17.162561,69.87494158744812,-0.0049368427,0.008261638,36864,6.57631,1555.9760520526315,1833.2105263157894
19,536,0.031103516,0.913427084684372,38912,23.777893,73.79407143592834,-0.002918005,0.0029433426,38912,6.5728707,1508.1831954285713,1784.5714285714287
20,521,0.093652345,0.8498292118310928,40960,20.364206,77.60944199562073,-0.0044438783,0.006987042,40960,6.5761833,1521.8282303181818,1796.590909090909
