value_loss,approxkl,explained_variance,serial_timesteps,time_elapsed,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
0.6112083,0.00501284,0.9798520877957344,2048,2.384185791015625e-06,419,2048,1,-0.0072407937,0.061621092,2.7730212,,
1.849468,0.0047019804,0.9454012550413609,4096,4.886620759963989,457,4096,2,-0.005760788,0.04902344,2.7587762,1348.036088,2049.0
2.9561696,0.004976367,0.9225408434867859,6144,9.367002248764038,435,6144,3,-0.005242723,0.055859376,2.7458622,1363.7169675,2049.0
4.10244,0.004662807,0.8881843909621239,8192,14.065423250198364,486,8192,4,-0.0032350298,0.054541014,2.7441688,1369.4837863333332,2049.0
19.420355,0.005267578,0.7575270533561707,10240,18.279363870620728,473,10240,5,-0.0063516996,0.061572265,2.744132,992.4297323333334,1533.0
10.382318,0.0043775113,0.8107021003961563,12288,22.607307195663452,459,12288,6,-0.0033769775,0.05263672,2.7560596,1050.9308794285714,1606.7142857142858
26.396973,0.004000623,0.744218647480011,14336,27.066643953323364,456,14336,7,-0.0050841863,0.045556642,2.7561493,920.1536057999999,1417.2
15.227284,0.0050401725,0.8196554183959961,16384,31.55420184135437,448,16384,8,-0.0049932394,0.050927736,2.7435317,812.75034675,1268.5
9.615504,0.007385148,0.8187094926834106,18432,36.11679005622864,453,18432,9,2.9677361e-05,0.0887207,2.7430418,859.4790163076922,1328.5384615384614
9.05548,0.0040270924,0.8210073262453079,20480,40.63073801994324,473,20480,10,-0.0022096739,0.043945312,2.7484019,905.9044668571427,1380.0
13.729541,0.005140868,0.6939058005809784,22528,44.96121144294739,467,22528,11,-0.0054820483,0.06044922,2.7422566,939.8473935333332,1424.6
13.219655,0.004372054,0.8731750696897507,24576,49.34166622161865,470,24576,12,-0.0042380323,0.053125,2.7453997,917.408019882353,1397.1176470588234
22.95715,0.009779552,0.7323314249515533,26624,53.69725966453552,454,26624,13,-0.0031423154,0.09379883,2.7646642,860.5680150999999,1325.95
31.45081,0.003841071,0.531642496585846,28672,58.201327323913574,490,28672,14,-0.004511285,0.03769531,2.7917037,719.1232783199999,1129.8
17.450184,0.0057437997,0.7385173738002777,30720,62.379371881484985,469,30720,15,-0.0030649607,0.06748047,2.808206,718.6124002592592,1135.037037037037
11.269699,0.00230347,0.8697816133499146,32768,66.74538111686707,480,32768,16,-0.0010198292,0.023291016,2.8249059,684.9209385172412,1088.0344827586207
14.595108,0.0027814936,0.8223081678152084,34816,71.00979971885681,476,34816,17,-0.0034494791,0.032470703,2.8310175,690.613101580645,1095.2903225806451
15.605843,0.0032957736,0.8536336421966553,36864,75.30846047401428,468,36864,18,-0.0039787507,0.036474608,2.8365629,691.9601738484847,1098.3939393939395
16.970757,0.0037568056,0.8454245328903198,38912,79.68405675888062,474,38912,19,-0.004174298,0.04321289,2.8439214,696.487264542857,1102.5428571428572
28.415417,0.006047826,0.3616589903831482,40960,84.00364184379578,489,40960,20,-0.0037698213,0.06430664,2.8485072,614.9764409512195,991.1951219512196
19.60182,0.0036823205,0.7716631293296814,43008,88.19174671173096,487,43008,21,-0.001105163,0.038916014,2.8563929,557.3623110212766,912.468085106383
8.815966,0.0048636147,0.7732821255922318,45056,92.39362120628357,463,45056,22,-0.0024893747,0.05986328,2.8585303,571.6824300833333,936.1458333333334
12.745862,0.0040212898,0.7853153198957443,47104,96.81138563156128,454,47104,23,-0.00055639667,0.046972655,2.8573956,589.7093144285714,958.8571428571429
8.65135,0.0053120432,0.8315667361021042,49152,101.31892514228821,474,49152,24,-0.0044860495,0.06010742,2.8613727,606.2077955199999,980.66
11.644102,0.0041073086,0.8109437078237534,51200,105.63364267349243,482,51200,25,-0.0012850404,0.046972655,2.8707032,622.3524679215685,1001.6078431372549
14.694392,0.0036085038,0.8578490316867828,53248,109.89406871795654,467,53248,26,-0.0031294539,0.04057617,2.8815992,596.3245531851851,966.3888888888889
8.877977,0.0038626413,0.7378693521022797,55296,114.27628540992737,474,55296,27,-0.00052282325,0.042382814,2.902054,609.0607382909091,986.0727272727273
23.372686,0.0034802754,0.7977866679430008,57344,118.59067249298096,487,57344,28,-0.0028601638,0.034570314,2.923865,598.2991668305085,971.728813559322
8.965436,0.0036758962,0.9116915836930275,59392,122.79388236999512,486,59392,29,-0.0051830476,0.0359375,2.932703,582.461599852459,949.8360655737705
31.612406,0.0049028425,0.6795417070388794,61440,127.00069403648376,465,61440,30,-0.001233343,0.05239258,2.9274814,565.4938455151514,927.5454545454545
8.74627,0.0043344526,0.8576921075582504,63488,131.39680099487305,489,63488,31,-0.004970006,0.05131836,2.9279346,559.9308977462684,919.9701492537314
26.326954,0.0034369584,0.7325786054134369,65536,135.58195447921753,483,65536,32,-0.0030249641,0.038623046,2.9274504,547.1888732777777,901.5694444444445
15.348193,0.0049632792,0.8201547712087631,67584,139.82108974456787,478,67584,33,-0.004028372,0.05732422,2.9182706,552.3584242162161,908.3918918918919
4.0975184,0.002729011,0.9321766644716263,69632,144.09987115859985,486,69632,34,-0.0039061296,0.02861328,2.9113574,547.6696937333332,902.16
19.866604,0.0031046474,0.83172906935215,71680,148.31369137763977,486,71680,35,-0.0018161305,0.03378906,2.9108586,547.3238076538461,902.4358974358975
14.273633,0.0024441227,0.8703456223011017,73728,152.52807307243347,473,73728,36,-0.0012298295,0.026513672,2.9181657,545.220625654321,899.716049382716
8.52712,0.003478901,0.9144521579146385,75776,156.85463190078735,464,75776,37,-0.0055858796,0.037744142,2.924254,547.9104770843373,903.8072289156627
12.324972,0.0072749397,0.8726115226745605,77824,161.26860189437866,480,77824,38,-0.0068455944,0.088330075,2.931165,551.5823617294118,910.435294117647
13.072065,0.005688075,0.7987987697124481,79872,165.53430247306824,488,79872,39,-0.0055561727,0.06318359,2.9449267,561.7573421860466,923.6744186046511
19.159092,0.005009952,0.8476700633764267,81920,169.7314600944519,484,81920,40,-0.006826448,0.054785155,2.9433777,557.8685509775281,918.8202247191011
11.154714,0.0040936414,0.7742747962474823,83968,173.95827078819275,471,83968,41,-0.002196341,0.045556642,2.9423528,566.1192205,931.3777777777777
6.115771,0.0020901463,0.9152984917163849,86016,178.3000898361206,467,86016,42,-0.002459479,0.017773438,2.9373457,562.1686558901098,926.1098901098901
36.889618,0.0052158935,0.678869217634201,88064,182.68025946617126,492,88064,43,-0.006401024,0.06357422,2.9287744,548.719709773196,907.6288659793814
4.665625,0.006360884,0.943881269544363,90112,186.83820915222168,479,90112,44,-0.0028468114,0.06948242,2.9249005,543.9875394591837,900.8673469387755
28.919964,0.00442862,0.58784219622612,92160,191.1122760772705,504,92160,45,-0.0013998713,0.04116211,2.9413142,494.40064972,832.51
13.037514,0.00320424,0.7446214556694031,94208,195.1728754043579,448,94208,46,-0.0012770928,0.03237305,2.9464784,503.55712888999994,847.46
18.36214,0.0049979286,0.8755153939127922,96256,199.73678302764893,484,96256,47,-0.006708988,0.056152344,2.9539819,474.45487446999994,808.78
15.0963545,0.0026692878,0.8770383149385452,98304,203.96392369270325,484,98304,48,-0.0018770782,0.029492188,2.9588344,456.81530480999993,787.18
16.808558,0.00283077,0.8860961943864822,100352,208.19318079948425,489,100352,49,-0.0011840806,0.029199218,2.9624684,419.24091755999996,734.25
16.077929,0.004146349,0.8272292912006378,102400,212.37433075904846,463,102400,50,-0.0058989516,0.047265626,2.9561362,433.2073422099999,755.75
11.783066,0.006203654,0.7865384817123413,104448,216.7966923713684,431,104448,51,-0.0033982159,0.06044922,2.9572115,444.13687773,773.55
13.516806,0.00247628,0.8819747343659401,106496,221.5445613861084,464,106496,52,-0.003172803,0.02475586,2.9688106,441.79948922999995,770.45
23.670221,0.0032500946,0.8425761610269547,108544,225.95606398582458,475,108544,53,-0.002698715,0.03466797,2.9798818,439.33505011999995,766.66
11.776001,0.0040634787,0.9254081323742867,110592,230.26086926460266,480,110592,54,-0.0036887333,0.043798827,2.9836748,414.57231814999994,732.56
20.497677,0.004190729,0.8637116253376007,112640,234.5250883102417,492,112640,55,-0.004540333,0.045898438,2.9938931,411.0998471499999,729.22
17.851826,0.0041620824,0.7077396214008331,114688,238.67981266975403,487,114688,56,-0.004212885,0.048828125,3.000971,409.52970853999994,727.52
14.466883,0.004023091,0.8556370884180069,116736,242.88063597679138,490,116736,57,-0.0036541733,0.039013673,3.006347,383.98137139,691.85
11.426909,0.0033540302,0.7826741933822632,118784,247.0546519756317,464,118784,58,-0.004514833,0.04145508,3.0120482,382.76713213999994,691.85
8.801236,0.004114588,0.8025965541601181,120832,251.467689037323,490,120832,59,-0.0042183246,0.050097656,3.0112777,380.8880065799999,691.85
15.550375,0.0037558458,0.8800757080316544,122880,255.64479684829712,483,122880,60,-0.0031910848,0.039208986,3.006554,393.12796435999996,708.82
16.609713,0.0033990853,0.8369498401880264,124928,259.8825829029083,491,124928,61,-0.005370132,0.03828125,3.002007,372.15429859999995,679.36
11.434303,0.0039488627,0.8873086646199226,126976,264.0502665042877,476,126976,62,-0.003246025,0.04550781,3.007071,382.15641066999996,695.11
11.936975,0.0031506396,0.7887894660234451,129024,268.34480690956116,468,129024,63,-0.0021746082,0.034179688,3.0115428,394.44001348000006,712.93
21.532888,0.0018227374,0.5439571142196655,131072,272.71255898475647,470,131072,64,-0.002230168,0.017236328,3.0158002,384.5909938799999,699.04
16.74114,0.003890019,0.8410538733005524,133120,277.0645649433136,443,133120,65,-0.0015942527,0.046679687,3.028935,387.5688807499999,704.36
14.248787,0.0032817791,0.8688190579414368,135168,281.68227648735046,443,135168,66,-0.0024586113,0.038134765,3.0400627,387.9060654999999,704.85
11.846049,0.006541697,0.8771718889474869,137216,286.29831767082214,483,137216,67,-0.0063698627,0.0769043,3.0447128,401.6357001199999,724.83
10.486295,0.0036111777,0.8021304756402969,139264,290.5385572910309,464,139264,68,-0.0021633185,0.041308593,3.0535502,414.65353672,742.99
9.829041,0.00266025,0.7955462485551834,141312,294.9499752521515,492,141312,69,-0.0028227507,0.026220703,3.054751,414.1771128600001,742.99
9.334333,0.0070680254,0.8021049052476883,143360,299.1081848144531,469,143360,70,-0.004983473,0.08891602,3.0523732,425.94032082999996,760.89
9.723978,0.0046442547,0.8524642586708069,145408,303.4732551574707,462,145408,71,-0.0046268716,0.055859376,3.0492902,437.5116036,776.97
