policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.007825407,1,2.384185791015625e-06,4.349477,315.0191375,0.9252235591411591,0.035595704,2048,9.255258,585.5,2048,463,0.0034030941
-0.0038102188,2,4.423418760299683,4.3465204,564.63467625,0.8436483442783356,0.041796874,4096,12.290723,962.0,4096,467,0.0035284553
-0.007252897,3,8.804526329040527,4.3419867,505.47374060000004,0.9630787037312984,0.04550781,6144,5.972869,876.0,6144,468,0.004530882
-0.0026278654,4,13.179474115371704,4.3404374,581.871449625,0.8141415864229202,0.014257813,8192,21.111769,944.875,8192,486,0.0016835959
-0.0027677678,5,17.386348485946655,4.3471136,607.5249504999999,0.8140274584293365,0.04838867,10240,12.078675,1000.3,10240,460,0.0039196736
-0.0052531105,6,21.83578133583069,4.3515744,600.7013994166667,0.9257776066660881,0.03652344,12288,13.468753,969.9166666666666,12288,479,0.003925588
-0.0028521789,7,26.110272884368896,4.347487,600.2296148461538,0.8575143814086914,0.031298827,14336,6.307672,975.6923076923077,14336,461,0.0027495213
-0.004204377,8,30.55161166191101,4.345439,640.7459,0.8925136029720306,0.02109375,16384,13.489095,1044.0666666666666,16384,472,0.0020243207
-0.0023127352,9,34.88470721244812,4.347966,676.8352636249999,0.7556643038988113,0.036572266,18432,11.159578,1106.875,18432,482,0.0035737795
-0.0049989135,10,39.12659025192261,4.3641977,644.810984736842,0.7773214429616928,0.048046876,20480,19.83856,1066.157894736842,20480,467,0.004154903
-0.0059132553,11,43.5084023475647,4.3715744,679.9717125999998,0.8849633038043976,0.05722656,22528,10.048262,1115.3,22528,480,0.004603957
-0.005263106,12,47.76960468292236,4.380524,658.4764375238094,0.9563243836164474,0.026806641,24576,6.5996637,1086.4761904761904,24576,468,0.0026834516
-0.0038520317,13,52.14035201072693,4.399417,646.89767144,0.6906241476535797,0.019042969,26624,29.930126,1056.28,26624,500,0.0018381967
-0.0033410427,14,56.23076295852661,4.4066553,597.0180290357142,0.9162872955203056,0.021875,28672,12.704039,987.4285714285714,28672,505,0.0022135063
-0.007981514,15,60.27945399284363,4.4126406,602.4403415172414,0.9768908880650997,0.035791017,30720,4.552425,991.6551724137931,30720,464,0.0032533468
-0.0074128225,16,64.6865930557251,4.4212766,640.4845681333334,0.682545930147171,0.040380858,32768,15.216458,1026.9,32768,475,0.0036501575
-0.004004712,17,68.99400019645691,4.421621,670.71516821875,0.9076021611690521,0.016308594,34816,17.00436,1068.125,34816,453,0.0017143711
-0.002506739,18,73.51491045951843,4.412958,639.7692708857144,0.7919734418392181,0.0125,36864,18.129982,1027.5428571428572,36864,479,0.0012579659
-0.0035715904,19,77.78226923942566,4.4148407,656.9649146944445,0.7934546619653702,0.05214844,38912,9.100523,1055.9166666666667,38912,442,0.004720692
-0.006729436,20,82.41080808639526,4.4250307,661.7176515263159,0.8554467111825943,0.055371094,40960,11.395246,1067.3684210526317,40960,481,0.004553424
-0.0037032184,21,86.66415619850159,4.4330635,643.1825208292682,0.9064885601401329,0.02368164,43008,11.84466,1044.341463414634,43008,475,0.0023772093
-0.0018071148,22,90.96797060966492,4.433501,621.2140755681818,0.8606917858123779,0.010058594,45056,15.180967,1014.5681818181819,45056,488,0.0011773587
-0.0021481253,23,95.16059756278992,4.429821,646.8617462222222,0.8822972327470779,0.09584961,47104,18.218693,1037.5555555555557,47104,423,0.0072082565
-0.0042787655,24,100.00176739692688,4.432926,665.8646095652174,0.8455846607685089,0.022802735,49152,18.672245,1059.5434782608695,49152,458,0.0023844792
-0.004554563,25,104.47008514404297,4.4407206,668.1160126875,0.9161278381943703,0.024072265,51200,11.776019,1064.3125,51200,475,0.002516133
-0.006528904,26,108.7945020198822,4.453072,618.537872,0.6331712305545807,0.029833984,53248,22.213545,996.8679245283018,53248,472,0.0027523478
-0.005219461,27,113.13016605377197,4.4556093,591.7182898596491,0.8528620153665543,0.022705078,55296,19.476847,961.4561403508771,55296,483,0.0022578067
