ep_reward_mean,serial_timesteps,n_updates,explained_variance,policy_entropy,total_timesteps,fps,value_loss,approxkl,clipfrac,time_elapsed,ep_len_mean,policy_loss
633.365328,2048,1,0.9190652444958687,6.2974977,2048,514,16.462421,0.0038864308,0.050195314,2.384185791015625e-06,911.0,-0.0045048194
1166.4366805,4096,2,0.8831396624445915,6.3211613,4096,511,19.180275,0.003899761,0.04824219,3.978471040725708,1480.0,-0.0038963642
1360.332201,6144,3,0.8948809131979942,6.3318863,6144,517,18.49596,0.003711516,0.042236328,7.9835309982299805,1669.6666666666667,-0.0041971216
1454.31873125,8192,4,0.8710118979215622,6.330144,8192,539,20.782917,0.00318328,0.035058595,11.938402652740479,1764.5,-0.0047904034
1451.1316932,10240,5,0.8526710122823715,6.3321376,10240,530,21.151035,0.0008898509,0.009082031,15.737689018249512,1821.4,-0.0025500036
1344.9892131428571,12288,6,0.8871348276734352,6.328537,12288,522,24.531437,0.0018873692,0.019970704,19.598620176315308,1725.142857142857,-0.0030382937
1389.9379776249998,14336,7,0.8878018781542778,6.331481,14336,517,18.703632,0.0021894607,0.02470703,23.521367073059082,1765.625,-0.004801888
1268.4251773333333,16384,8,0.9422758296132088,6.330532,16384,535,10.0743885,0.0013865698,0.012792969,27.478312730789185,1629.4444444444443,-0.0024707972
1272.7028984545452,18432,9,0.861990362405777,6.3319564,18432,514,31.16542,0.0015306806,0.015527343,31.300614595413208,1623.1818181818182,-0.0021897168
1308.6823543333333,20480,10,0.8982129022479057,6.333256,20480,508,18.256758,0.0030203802,0.027929688,35.28438925743103,1658.6666666666667,-0.005233821
1236.1064646923076,22528,11,0.9562244117259979,6.3193803,22528,530,7.6129165,0.0017042698,0.013720703,39.30876040458679,1585.3076923076924,-0.002794179
1269.689995142857,24576,12,0.7275958061218262,6.3177795,24576,560,21.224314,0.0019609644,0.020214844,43.17294454574585,1618.4285714285713,-0.0043706493
1109.170775333333,26624,13,0.7016808390617371,6.319787,26624,556,31.954914,0.0018017609,0.018603515,46.82934617996216,1471.4444444444443,-0.004232479
1085.7195342631576,28672,14,0.8238253742456436,6.3240843,28672,556,10.499844,0.0034679733,0.0375,50.50831985473633,1454.2631578947369,-0.00511803
1109.2094571999999,30720,15,0.8796062991023064,6.329253,30720,514,20.237766,0.0032193747,0.03803711,54.188117027282715,1484.0,-0.002422046
1139.9569764285714,32768,16,0.8795675709843636,6.3318453,32768,517,20.436571,0.003026663,0.032958984,58.17294359207153,1510.904761904762,-0.004537386
1125.5447304347824,34816,17,0.9146519973874092,6.3313684,34816,539,23.014149,0.0026266547,0.031347655,62.12991523742676,1489.608695652174,-0.0043470687
1097.139137625,36864,18,0.9333283081650734,6.3354263,36864,511,12.127665,0.0015866607,0.014453125,65.92513728141785,1456.9583333333333,-0.0038825546
1122.68124512,38912,19,0.8751500174403191,6.3513746,38912,514,19.680618,0.0016962925,0.01303711,69.92825174331665,1480.64,-0.0013866499
1147.8828850384616,40960,20,0.8784383609890938,6.359782,40960,510,20.039001,0.0040183906,0.0496582,73.90983319282532,1502.5,-0.0037726178
1142.7829000714287,43008,21,0.8800790309906006,6.3647738,43008,537,28.894068,0.0011985336,0.010986328,77.9192886352539,1494.0357142857142,-0.0022987812
1164.8651629310343,45056,22,0.8746238052845001,6.3691435,45056,518,20.229372,0.0011958291,0.0126953125,81.73350310325623,1513.1724137931035,-0.0028034258
1089.751553090909,47104,23,0.8931533917784691,6.375487,47104,529,37.87573,0.0018741498,0.01928711,85.68337774276733,1424.5757575757575,-0.0048198914
1108.3603838529411,49152,24,0.8937286138534546,6.3912416,49152,520,19.719303,0.0020062407,0.018994141,89.55042266845703,1442.9411764705883,-0.002720361
1084.0725745428572,51200,25,0.9798864908516407,6.405159,51200,490,4.9973917,0.0019091105,0.021435548,93.48502612113953,1417.4285714285713,-0.0059683584
1103.044090638889,53248,26,0.8898605555295944,6.4006577,53248,516,19.377438,0.002134422,0.018798828,97.67079067230225,1434.9722222222222,-0.0033922656
1120.9546811621622,55296,27,0.8746708184480667,6.377881,55296,510,20.28127,0.0018956944,0.014453125,101.63429188728333,1451.5675675675675,-0.0022458
1092.26869175,57344,28,0.8896176367998123,6.3596754,57344,548,33.34402,0.0023478172,0.024658203,105.64326667785645,1416.1,-0.004460719
1090.098010547619,59392,29,0.8908933848142624,6.371064,59392,517,27.28812,0.00236925,0.028466797,109.37592196464539,1411.7857142857142,-0.0019041086
1106.1636189767441,61440,30,0.8861089125275612,6.3848734,61440,514,19.951746,0.003091983,0.037841797,113.33043098449707,1426.6046511627908,-0.0027271083
1033.5363369787235,63488,31,0.8424263745546341,6.387601,63488,567,21.265732,0.0011198095,0.010546875,117.31512475013733,1348.936170212766,-0.0032908446
983.72444552,65536,32,0.917452797293663,6.394239,65536,554,19.43197,0.0020924981,0.02055664,120.92611718177795,1294.0,-0.000105989675
983.4103550576923,67584,33,0.9079344645142555,6.390245,67584,527,26.75877,0.0029474127,0.02451172,124.62175011634827,1291.423076923077,-0.0031760738
955.5401352037037,69632,34,0.9625673443078995,6.3816233,69632,532,10.7476425,0.000996019,0.008984375,128.50130152702332,1262.0,-0.0010358362
969.6733324181819,71680,35,0.8906983882188797,6.388618,71680,527,20.234133,0.0024102472,0.025683593,132.34696006774902,1276.3090909090909,-0.0012688142
969.9928336491229,73728,36,0.9240752831101418,6.3926945,73728,537,23.272661,0.002805451,0.03022461,136.22896313667297,1276.017543859649,-0.002524218
982.5783734827587,75776,37,0.8857650384306908,6.399819,75776,500,20.837704,0.0041337986,0.05239258,140.04033875465393,1289.344827586207,-0.00640497
995.5941566101695,77824,38,0.8871099799871445,6.40366,77824,503,19.932367,0.00098366,0.0051757814,144.13392186164856,1302.2203389830509,-0.0007747555
995.9597231147542,79872,39,0.908737912774086,6.4027596,79872,526,30.004654,0.0012105589,0.008056641,148.20276021957397,1301.5573770491803,-0.002183897
959.87915715625,81920,40,0.9504672922194004,6.4076667,81920,546,12.447966,0.0024148892,0.0234375,152.09614610671997,1264.125,-0.005520466
961.9242323484849,83968,41,0.9146464616060257,6.406897,83968,501,28.315586,0.0016139264,0.017529298,155.84395051002502,1266.5454545454545,-0.0024507826
939.9015385882353,86016,42,0.9721277598291636,6.4040756,86016,521,7.6503916,0.00235197,0.020996094,159.93142414093018,1243.2794117647059,-0.0033746753
951.5569837246378,88064,43,0.8995451778173447,6.3988094,88064,506,20.13099,0.0062281666,0.08691406,163.86144638061523,1254.9565217391305,-0.0045736567
945.2728702083334,90112,44,0.8968505039811134,6.398877,90112,561,29.101145,0.0017235533,0.017578125,167.9074146747589,1249.0833333333333,-0.002643638
956.255744150685,92160,45,0.8970860615372658,6.3953304,92160,506,19.696918,0.0037275285,0.040966798,171.5569190979004,1260.041095890411,-0.0026571087
946.4867932837839,94208,46,0.9735292326658964,6.386503,94208,535,5.7014933,0.0040328093,0.044628907,175.59937357902527,1249.662162162162,-0.0050431
946.1517832236844,96256,47,0.9210819974541664,6.390094,96256,529,23.495659,0.0038999356,0.04584961,179.4243791103363,1249.6973684210527,-0.0036498408
946.6095535641027,98304,48,0.9184628427028656,6.3955674,98304,528,23.708424,0.0027178784,0.029785156,183.29440426826477,1248.948717948718,-0.0031489301
950.0926086625001,100352,49,0.9163030609488487,6.399821,100352,530,24.549038,0.0029967683,0.033203125,187.1672444343567,1253.4125,-0.004065226
938.8348780617284,102400,50,0.9870023000985384,6.3989396,102400,517,3.2391934,0.0025483451,0.023876954,191.02883505821228,1239.679012345679,-0.0047877114
930.2261713095239,104448,51,0.9019197002053261,6.3956137,104448,540,28.31489,0.0014753538,0.014013672,194.98706150054932,1228.9285714285713,-0.0024870257
930.4939249883721,106496,52,0.9197370111942291,6.4015074,106496,530,23.422464,0.002580645,0.032177735,198.7788906097412,1228.5348837209303,-0.005621846
939.694917275862,108544,53,0.9013005644083023,6.3991327,108544,514,20.051035,0.0025718948,0.028857421,202.6387574672699,1237.9655172413793,-0.0024870199
940.6340502921348,110592,54,0.915926143527031,6.3939295,110592,516,27.039627,0.002335935,0.015380859,206.61951422691345,1238.9325842696628,-0.0032118536
946.2112976111111,112640,55,0.9528183713555336,6.396558,112640,512,9.879541,0.0012460373,0.012402344,210.58237719535828,1245.1888888888889,-0.0027932278
941.9510414891305,114688,56,0.8015190213918686,6.3958216,114688,517,19.78113,0.0020533693,0.020019531,214.57686161994934,1246.0,-0.002826
934.7900920430108,116736,57,0.9705640152096748,6.393107,116736,530,7.022664,0.0017271839,0.0146484375,218.53797721862793,1238.4623655913979,-0.0014641056
942.6241623404255,118784,58,0.8454630523920059,6.3836484,118784,544,23.031239,0.0022075889,0.022998046,222.3990979194641,1247.0851063829787,-0.0043439036
923.5754500408163,120832,59,0.825192928314209,6.374699,120832,558,32.276768,0.0014286523,0.0126953125,226.1608543395996,1229.2857142857142,-0.0028041094
931.1173763838385,122880,60,0.887176401913166,6.3702574,122880,519,19.279345,0.0033566975,0.038720705,229.8283839225769,1237.5656565656566,-0.003046948
934.3380898600002,124928,61,0.7290630340576172,6.380306,124928,556,14.220683,0.0020745585,0.020751953,233.76849579811096,1245.68,-0.0030056837
887.8576729500002,126976,62,0.8207207918167114,6.38084,126976,557,23.69748,0.0017441834,0.017236328,237.44728994369507,1197.54,-0.0027722316
890.93551522,129024,63,0.8986860439181328,6.3633733,129024,507,19.322088,0.0035375692,0.03237305,241.11888647079468,1197.54,-0.0045325523
855.9805358900002,131072,64,0.8909302428364754,6.355449,131072,563,10.635551,0.0014035881,0.014013672,245.15531873703003,1156.03,-0.0024474117
867.2236230200001,133120,65,0.8738408237695694,6.353282,133120,525,20.801714,0.0044519613,0.05356445,248.78836917877197,1171.12,-0.004579803
867.60652808,135168,66,0.8799455314874649,6.3355503,135168,529,20.47833,0.0029771698,0.033447266,252.6830780506134,1171.12,-0.0039296956
861.55196053,137216,67,0.880425326526165,6.3256574,137216,535,28.61391,0.001503533,0.012597656,256.5504467487335,1164.56,-0.0031883433
856.0024456099999,139264,68,0.7904050052165985,6.32614,139264,560,16.017773,0.004252674,0.039453126,260.3742959499359,1162.5,-0.006811054
861.45533058,141312,69,0.8919167369604111,6.3315225,141312,503,17.345419,0.0023570375,0.022802735,264.0315730571747,1162.95,-0.002045898
859.3019864399998,143360,70,0.956033393740654,6.3298182,143360,530,11.270917,0.0013535386,0.0108886715,268.0979759693146,1159.6,-0.0020622613
874.58853685,145408,71,0.8830641061067581,6.3220534,145408,519,20.01957,0.002753727,0.030078124,271.9599509239197,1174.86,-0.0030477848
884.43488847,147456,72,0.8881001323461533,6.317103,147456,507,18.642113,0.0028186417,0.027929688,275.90551352500916,1183.9,-0.0026612207
871.29090066,149504,73,0.8859283849596977,6.3168473,149504,527,27.74815,0.0022924165,0.02216797,279.9422171115875,1168.36,-0.004075848
869.1039934600001,151552,74,0.9082984775304794,6.327543,151552,524,29.646671,0.002229958,0.015136719,283.82833194732666,1164.64,-0.0032107506
869.3075006200002,153600,75,0.8886589854955673,6.3325033,153600,508,19.108482,0.00452847,0.05571289,287.73157596588135,1164.64,-0.0019191885
869.2873167600003,155648,76,0.8747430741786957,6.3220644,155648,503,22.269428,0.0036416848,0.042626955,291.76326751708984,1164.64,-0.0014356871
855.2432556900002,157696,77,0.967046245932579,6.318616,157696,526,6.63436,0.002066378,0.017822266,295.8340504169464,1150.62,-0.0032169856
868.9094379200002,159744,78,0.8819295391440392,6.3217154,159744,521,21.19003,0.0018340278,0.019921875,299.7209711074829,1163.92,-0.0022757426
868.8249484600002,161792,79,0.8701823949813843,6.3169775,161792,483,20.32986,0.0015631479,0.01225586,303.6450517177582,1163.92,-0.0015621104
870.0203532400001,163840,80,0.8672494292259216,6.316256,163840,497,20.093597,0.0024099476,0.028515626,307.88221311569214,1163.92,-0.004123956
885.54360042,165888,81,0.8755976483225822,6.3141327,165888,483,20.080202,0.005259897,0.061767578,311.99570751190186,1179.29,-0.0036753863
888.8339076600001,167936,82,0.8739639520645142,6.306809,167936,523,31.256882,0.0019601495,0.014208985,316.22990226745605,1183.07,-0.00263506
844.11765161,169984,83,0.8268264532089233,6.303741,169984,552,21.603052,0.0018170184,0.019824218,320.14473152160645,1137.78,-0.0040049143
829.9068819900001,172032,84,0.9425484761595726,6.311038,172032,531,13.743139,0.0017459734,0.020117188,323.85380029678345,1123.14,-0.0068044476
824.3541419899999,174080,85,0.805873230099678,6.3223176,174080,561,29.235418,0.0017215485,0.016308594,327.707643032074,1118.25,-0.0039634737
830.7262450899999,176128,86,0.9637942649424076,6.327487,176128,532,9.60594,0.0028935387,0.03354492,331.3558442592621,1123.18,-0.0069753686
