approxkl,policy_loss,time_elapsed,fps,total_timesteps,policy_entropy,clipfrac,explained_variance,n_updates,serial_timesteps,value_loss,ep_len_mean,ep_reward_mean
0.0031453115,-0.007616029,1.6689300537109375e-06,529,2048,4.911702,0.030908203,0.9965604264289141,1,2048,0.4356099,,
0.0041523227,-0.007593411,3.8703129291534424,549,4096,4.8720894,0.039697267,0.9744779504835606,2,4096,2.68392,2049.0,1766.57524
0.004357406,-0.0061327545,7.595597505569458,557,6144,4.843689,0.04506836,0.9512683525681496,3,6144,5.166227,2049.0,1812.6421435
0.004218306,-0.0038665738,11.272269248962402,551,8192,4.825525,0.039697267,0.9120285585522652,4,8192,6.6775336,2049.0,1818.1893356666667
0.003929045,-0.007108038,14.98593783378601,550,10240,4.802312,0.04350586,0.9042711704969406,5,10240,8.579209,2049.0,1838.9018557499999
0.0027004578,-0.0035406935,18.70760488510132,564,12288,4.792566,0.0265625,0.9026824235916138,6,12288,18.290363,1750.3333333333333,1555.2159106666668
0.0029716017,-0.003947405,22.33922553062439,565,14336,4.8031244,0.033203125,0.8527050018310547,7,14336,28.814209,1607.5,1409.290764625
0.006082719,-0.0031225146,25.958618640899658,553,16384,4.7977967,0.08110352,0.779166653752327,8,16384,20.194057,1656.5555555555557,1456.9987664444443
0.003258427,-0.002753619,29.656479597091675,563,18432,4.7851057,0.034570314,0.8775599151849747,9,18432,25.228916,1565.0,1374.688879909091
0.0039196056,-0.002716302,33.28867030143738,540,20480,4.7736616,0.04116211,0.7635688632726669,10,20480,20.100569,1605.3333333333333,1418.4317560833333
0.0043108286,-0.0020890697,37.078715324401855,553,22528,4.753755,0.05307617,0.8056434541940689,11,22528,20.11166,1639.4615384615386,1456.9548452307693
0.0018944314,-0.0022280603,40.77652931213379,573,24576,4.755565,0.019384766,0.8364560753107071,12,24576,27.746456,1592.6666666666667,1409.9445774666667
0.0022178565,-0.0006362402,44.34959411621094,555,26624,4.7536488,0.021044921,0.8572641462087631,13,26624,25.688095,1541.1764705882354,1365.0611718235295
0.0035428605,-0.0011907103,48.03767228126526,533,28672,4.7416887,0.035791017,0.7793905735015869,14,28672,20.034163,1569.388888888889,1393.4537992777778
0.007738719,-0.005984028,51.876479387283325,542,30720,4.733338,0.084228516,0.8019895255565643,15,30720,20.218159,1594.6315789473683,1419.230822631579
0.003410989,-0.003959375,55.65007758140564,558,32768,4.735751,0.03769531,0.8478308916091919,16,32768,33.255215,1484.9545454545455,1311.7046388636363
0.0019700353,-0.0011381231,59.32076144218445,550,34816,4.733289,0.019580077,0.7901899367570877,17,34816,19.54066,1509.4782608695652,1335.8067395652174
0.004775283,-0.0026471708,63.0444221496582,555,36864,4.737076,0.04448242,0.9734007865190506,18,36864,3.789021,1457.7916666666667,1285.518948125
0.0034325912,-0.002535481,66.73473358154297,560,38912,4.743057,0.036621094,0.8889893740415573,19,38912,28.720327,1382.8148148148148,1217.980279777778
0.0028956474,-0.0008611859,70.389817237854,552,40960,4.746808,0.03017578,0.8409516364336014,20,40960,21.630976,1406.607142857143,1240.013564357143
0.003669538,-0.0020428768,74.09993720054626,559,43008,4.7551327,0.039794922,0.8070176839828491,21,43008,20.111073,1428.7586206896551,1259.0261769655174
0.003814331,-0.0016067603,77.76221179962158,543,45056,4.7524405,0.04765625,0.8088039755821228,22,45056,19.621294,1449.4333333333334,1277.3633999000003
0.0032361536,-0.0073324842,81.52748227119446,580,47104,4.754521,0.02861328,0.8243558406829834,23,47104,45.392345,1333.1142857142856,1165.0004026571428
0.0047284225,-0.005045555,85.05295300483704,541,49152,4.7696123,0.05673828,0.8572099804878235,24,49152,29.004395,1284.842105263158,1123.970101736842
0.007257972,-0.0049437466,88.83273386955261,579,51200,4.7859297,0.09697266,0.8550158441066742,25,51200,20.112782,1304.4358974358975,1139.2737613846155
0.002600801,-0.005061572,92.37921905517578,615,53248,4.7857766,0.029443359,0.6103732287883759,26,53248,40.03883,1264.452380952381,1093.644893857143
0.004459028,-0.002354801,95.70581698417664,554,55296,4.785129,0.05756836,0.7724512219429016,27,55296,19.608757,1282.6976744186047,1112.0522940232559
0.0026653684,-0.00571358,99.40303611755371,560,57344,4.79416,0.02709961,0.9664811417460442,28,57344,5.061154,1259.25,1089.1355596590909
0.0024237104,-0.0021313722,103.0605685710907,556,59392,4.80819,0.022021484,0.8479198515415192,29,59392,24.29961,1251.1521739130435,1082.469578195652
0.0031034553,-0.004053548,106.73962450027466,591,61440,4.814718,0.034472656,0.7602647244930267,30,61440,28.75588,1222.7755102040817,1056.8824870408162
0.004323696,-0.0039962176,110.2046320438385,568,63488,4.8050084,0.049072266,0.8273387849330902,31,63488,20.079332,1239.3,1063.6717933399998
0.0029296833,-0.0041133673,113.80913305282593,550,65536,4.808589,0.0340332,0.7902431190013885,32,65536,19.58375,1255.1764705882354,1077.6205111960783
0.003462759,-0.004814302,117.53298354148865,594,67584,4.8126745,0.04248047,0.8716991245746613,33,67584,38.18274,1198.482142857143,1023.5799050892858
0.0027419815,-0.00080837216,120.97670650482178,544,69632,4.8093767,0.027197266,0.7910154759883881,34,69632,19.642773,1213.4035087719299,1038.1423670526317
0.0048424234,-0.0030176581,124.73966670036316,539,71680,4.8072705,0.059179686,0.8011620938777924,35,71680,19.495464,1227.8103448275863,1052.4051060172415
0.004791768,-0.0022227147,128.53411293029785,555,73728,4.8004184,0.053759765,0.9160791411995888,36,73728,23.290792,1225.2333333333333,1049.9086623833334
0.0046622865,-0.0070498427,132.22239661216736,555,75776,4.7957296,0.044970702,0.984171012416482,37,75776,1.8911436,1209.1639344262296,1034.2763312622951
0.0016745353,-0.0020164656,135.909836769104,538,77824,4.7983575,0.019238282,0.90811787545681,38,77824,24.314415,1193.609375,1019.985129578125
0.00361215,-0.0034003514,139.71619248390198,514,79872,4.8109274,0.0340332,0.8071081936359406,39,79872,23.086014,1206.7692307692307,1032.086842753846
0.0034865786,-0.0017611932,143.6948115825653,494,81920,4.8077073,0.03261719,0.7562792599201202,40,81920,20.027033,1219.530303030303,1044.1615387727272
0.002732887,-0.0023411526,147.83443570137024,477,83968,4.8013334,0.03100586,0.7520254999399185,41,83968,19.836885,1231.910447761194,1057.0939500447762
0.0047928724,-0.0030543483,152.1219494342804,532,86016,4.8007307,0.057128906,0.7837007492780685,42,86016,19.893688,1243.9264705882354,1069.5122555441176
0.0022073456,-0.002867768,155.9673376083374,525,88064,4.810506,0.019580077,0.8978889808058739,43,88064,29.197165,1227.0422535211267,1053.7068410845072
0.0027678641,-0.0041020443,159.86566495895386,547,90112,4.813325,0.025927734,0.8979004696011543,44,90112,34.68068,1197.84,1026.7539177333333
0.0020481572,-0.002179467,163.6089460849762,532,92160,4.80994,0.016992187,0.8821100741624832,45,92160,23.462334,1196.6103896103896,1025.8583335064934
0.0025369562,-0.0060626613,167.45318627357483,534,94208,4.8193645,0.021972656,0.9758131112903357,46,94208,4.3342624,1184.7307692307693,1014.2964697820513
0.0056797885,-0.0024896213,171.28558015823364,517,96256,4.8153,0.07426758,0.8957172408699989,47,96256,22.401428,1184.15,1014.7109029875
0.0019272517,-0.0019203831,175.2403688430786,525,98304,4.8134923,0.01669922,0.9066713824868202,48,98304,24.75177,1183.280487804878,1014.0291647317073
0.0044304198,-0.0026908326,179.13765835762024,520,100352,4.81931,0.055566408,0.7595269083976746,49,100352,20.056297,1193.710843373494,1023.7228557831326
0.0059907865,-0.006124679,183.07149744033813,543,102400,4.8184237,0.07583008,0.9003131091594696,50,102400,24.716377,1194.2588235294118,1024.5045920941177
0.006942097,-0.0037461729,186.84422779083252,535,104448,4.820538,0.09448242,0.8143499046564102,51,104448,21.351597,1204.1976744186047,1033.8973480581396
0.0035922322,-0.0037560258,190.66649079322815,538,106496,4.81934,0.042578124,0.7459262311458588,52,106496,20.3584,1213.9080459770114,1042.1002229195403
0.004541224,-0.005078728,194.47249746322632,531,108544,4.8034515,0.040380858,0.9014719426631927,53,108544,22.14563,1212.4606741573034,1040.9231905393258
0.0047063297,-0.0036697492,198.32634162902832,535,110592,4.788877,0.053857423,0.8911520317196846,54,110592,21.96743,1210.2637362637363,1039.8144490219781
0.0020865547,-0.0026119235,202.1542773246765,535,112640,4.788845,0.021923829,0.8005037307739258,55,112640,20.001015,1219.3804347826087,1048.8576482391304
0.0033618168,-0.0008051234,205.97887349128723,521,114688,4.7962027,0.037060548,0.7442309260368347,56,114688,19.858788,1228.3010752688172,1057.5934621827957
0.0041494253,-0.002523298,209.90743231773376,520,116736,4.7985125,0.040039062,0.9008385092020035,57,116736,22.468832,1228.0315789473684,1057.4965579263157
0.006334701,-0.0046193316,213.83960103988647,543,118784,4.8020144,0.082128905,0.8140448033809662,58,118784,20.56888,1236.5833333333333,1065.68707940625
0.0020472675,-0.00542038,217.60661697387695,562,120832,4.81224,0.019189453,0.9817015044391155,59,120832,3.5868058,1228.8144329896907,1057.415423628866
0.0027994185,-0.005255006,221.24674606323242,598,122880,4.821267,0.029589843,0.8554064780473709,60,122880,39.54459,1182.36,1013.85632035
0.0021906253,-0.0019751075,224.6702675819397,531,124928,4.8274393,0.022802735,0.9005171954631805,61,124928,22.152832,1164.41,995.69390888
0.0037483622,-0.0073793135,228.52677154541016,518,126976,4.8394156,0.039355468,0.9794550985097885,62,126976,3.7118154,1151.25,981.3183417800002
0.003947138,-0.0051863627,232.47717690467834,495,129024,4.8432345,0.04799805,0.7977266758680344,63,129024,20.59727,1169.17,999.07595971
0.0036105134,-0.0034157452,236.61035442352295,476,131072,4.835744,0.04086914,0.8187878876924515,64,131072,22.015553,1169.17,999.40774957
0.002703881,-0.0026495247,240.9058289527893,506,133120,4.832571,0.025195312,0.9132559150457382,65,133120,22.184721,1169.46,998.91618303
0.0015139108,-0.0024890162,244.94964814186096,611,135168,4.837056,0.015478516,0.8890640437602997,66,135168,18.21391,1117.67,943.73939043
