policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,ep_len_mean,approxkl,ep_reward_mean,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps
-0.0028344016,1.2449063,0.013845324516296387,159.72380423545837,0.06352539,664.12,0.0049014487,133.1038962,1.4010041,523,39,79872,79872
-0.00027363922,1.1331306,0.0112687349319458,163.64021801948547,0.03793945,682.85,0.0034522302,138.00585574000002,1.3997523,489,40,81920,81920
-0.0016953645,0.95427835,0.20473796129226685,167.82163786888123,0.044287108,701.94,0.0039518317,143.0320449,1.4064144,488,41,83968,83968
-0.0034151585,1.097176,0.072640061378479,172.01259446144104,0.062353514,720.7,0.005013353,147.83465411,1.4055614,504,42,86016,86016
-0.00071674364,1.0997616,0.0490226149559021,176.0697886943817,0.04902344,739.54,0.0041649328,152.8119592,1.4142282,495,43,88064,88064
-0.0021656924,1.0086889,0.08784812688827515,180.20762586593628,0.050732423,757.81,0.0045504165,157.53722474000003,1.4175248,516,44,90112,90112
-0.0030310252,1.0682343,0.0028510689735412598,184.1756443977356,0.05620117,776.4,0.0048097176,162.09186628999998,1.4161301,496,45,92160,92160
-0.0035218403,0.98281205,0.06946486234664917,188.30044078826904,0.060302734,795.58,0.0045894934,166.88450546999997,1.4270506,510,46,94208,94208
-0.0009578358,1.0146768,0.17344361543655396,192.31281661987305,0.048876952,814.25,0.004099019,171.41013622999998,1.4429944,491,47,96256,96256
-0.002217431,1.0469449,0.09897422790527344,196.47896337509155,0.07836914,833.35,0.0058666607,176.04228511000002,1.4518244,491,48,98304,98304
-0.0011180856,1.0982242,0.13534539937973022,200.6440646648407,0.035742186,852.05,0.0033345427,180.69142105,1.452843,505,49,100352,100352
-0.001274776,0.9630912,0.10665774345397949,204.69898295402527,0.056152344,870.31,0.0047909785,185.19795823999996,1.4513549,494,50,102400,102400
-0.00097057817,1.0712985,0.10140156745910645,208.84219527244568,0.053369142,888.79,0.004544144,189.58619222999997,1.4439372,495,51,104448,104448
-0.0010689661,0.9964306,0.06658732891082764,212.97503471374512,0.06435547,906.31,0.0055102604,194.14932888999996,1.4479339,505,52,106496,106496
-0.0018048382,1.0476744,0.03717041015625,217.0256061553955,0.072265625,924.57,0.005645955,198.58897431999998,1.4593756,499,53,108544,108544
-0.0006673719,1.037646,0.07437390089035034,221.12418603897095,0.062304687,942.86,0.00526156,203.24937548999998,1.4704525,491,54,110592,110592
-0.0029731924,1.0387022,0.08249634504318237,225.29199051856995,0.04482422,961.86,0.003964638,208.15411320999996,1.484782,506,55,112640,112640
-0.0031505902,1.1951303,0.047199547290802,229.33278846740723,0.06870117,980.25,0.0055209124,212.98217685,1.4912559,489,56,114688,114688
-0.0038969934,1.1627917,0.09124213457107544,233.52002024650574,0.06201172,999.15,0.004908094,218.14941434999997,1.4969757,492,57,116736,116736
-0.0013035948,1.1689335,0.04636317491531372,237.67735648155212,0.04067383,1017.26,0.003814516,223.03099622,1.5102035,487,58,118784,118784
