approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,value_loss,policy_loss,n_updates,explained_variance,ep_reward_mean,ep_len_mean
0.0039791698,327.3925106525421,0.04736328,1.5157704,153600,153600,460,3.24684,-0.0019232424,75,0.14537841081619263,511.5222596867471,1845.0361445783133
0.0036859598,331.8456039428711,0.035253905,1.5248011,155648,155648,431,3.5835483,-0.0037955437,76,0.1394088864326477,515.1672519404763,1847.4642857142858
0.002936932,336.58905124664307,0.027929688,1.5260904,157696,157696,462,2.7261581,-0.0023364252,77,0.2220902442932129,518.2405061058826,1849.835294117647
0.0027040266,341.0160927772522,0.025244141,1.5215104,159744,159744,474,3.773975,-0.0017877858,78,0.20591473579406738,521.6714292209305,1852.1511627906978
0.0030866007,345.33331871032715,0.032080077,1.5240282,161792,161792,469,4.3761106,-0.0022609401,79,0.29537564516067505,525.7736521839082,1854.4137931034484
0.0034608138,349.6922950744629,0.039160155,1.5376813,163840,163840,452,3.9320195,-0.0025236695,80,0.24239319562911987,529.1742679204546,1856.625
0.0022903304,354.21450686454773,0.017724609,1.532997,165888,165888,425,2.906516,-0.000549056,81,0.2787492275238037,531.834744,1858.7865168539327
0.0056904857,359.02729201316833,0.07338867,1.5349106,167936,167936,416,2.6415699,-0.0054370714,82,0.38323110342025757,534.2679412444445,1860.9
0.004618802,363.94774198532104,0.054248046,1.5371311,169984,169984,425,3.5424328,-0.0034142113,83,0.36976730823516846,537.3423353406594,1862.967032967033
0.0033307418,368.7665009498596,0.031933594,1.5325882,172032,172032,488,4.8396273,-0.0019198442,84,0.31501567363739014,540.9314466304348,1864.9891304347825
0.0036857598,372.95592164993286,0.044287108,1.5419171,174080,174080,495,3.182581,-0.0033625762,85,0.28926265239715576,543.4594412688173,1866.967741935484
0.004334531,377.0931017398834,0.05288086,1.5449957,176128,176128,486,3.159121,-0.0032913522,86,0.3800439238548279,546.4470082553192,1868.904255319149
0.0052374597,381.3065416812897,0.06635742,1.5582669,178176,178176,446,3.88247,-0.004845512,87,0.303894579410553,549.5793412736842,1870.8
0.0047915014,385.88919162750244,0.05732422,1.579088,180224,180224,457,4.4262056,-0.004461798,88,0.21915745735168457,552.96322040625,1872.65625
0.0030529706,390.3680202960968,0.029541016,1.5775212,182272,182272,433,5.0620337,-0.0023161594,89,0.41069042682647705,556.841035742268,1874.4742268041236
0.0030878077,395.0920009613037,0.032421876,1.5680258,184320,184320,440,5.1706257,-0.0012750188,90,0.40025389194488525,559.2804263979591,1872.9897959183672
0.005693659,399.7395715713501,0.06894531,1.5569402,186368,186368,479,7.62677,-0.007950461,91,0.3477718234062195,559.53322104,1860.64
0.0034427862,404.01290678977966,0.03652344,1.5457942,188416,188416,486,5.03634,-0.0021399783,92,0.35203343629837036,564.87905092,1860.64
0.0026807531,408.2193624973297,0.022900391,1.5290868,190464,190464,494,5.083787,-0.0008439616,93,0.40903031826019287,574.01813542,1879.66
0.0044604205,412.3612205982208,0.05214844,1.521543,192512,192512,471,5.2217627,-0.004318967,94,0.4849868416786194,583.0353714600001,1896.9
0.004494207,416.70937395095825,0.05444336,1.5262647,194560,194560,488,4.811623,-0.0028835996,95,0.4251220226287842,589.15615875,1906.42
0.004410656,420.9039409160614,0.051171876,1.5249174,196608,196608,492,4.5135818,-0.004743381,96,0.5641098916530609,597.43202211,1920.35
0.0047627147,425.0628538131714,0.051611327,1.510166,198656,198656,476,4.7431307,-0.004195342,97,0.5246545970439911,605.82276131,1936.99
0.0037575918,429.36357593536377,0.038769532,1.4864172,200704,200704,364,4.0256143,-0.0021673623,98,0.5373941361904144,613.33434919,1949.54
0.0031791583,434.981810092926,0.03276367,1.4702168,202752,202752,343,5.456999,-0.00312404,99,0.4281098246574402,617.9327942100001,1949.54
0.0036346582,440.9365885257721,0.032568358,1.4531176,204800,204800,386,4.468934,-0.002296478,100,0.4522801637649536,626.9093095100001,1967.74
0.0033676322,446.2340304851532,0.03569336,1.4404477,206848,206848,453,6.3523602,-0.0023713156,101,0.3518056273460388,634.69496541,1978.7
0.003526802,450.746089220047,0.039160155,1.4453508,208896,208896,470,4.834016,-0.00016606008,102,0.4997789263725281,635.25396513,1971.81
0.0029288991,455.0956287384033,0.03261719,1.4463537,210944,210944,410,4.958075,-0.0022969034,103,0.5164499580860138,643.41357145,1984.73
0.0026208973,460.08303213119507,0.024414062,1.4394372,212992,212992,452,4.7948556,-1.070777e-05,104,0.5781452655792236,652.67066913,2002.21
0.0021446715,464.612251996994,0.018115234,1.431628,215040,215040,478,5.7633305,-0.0009421869,105,0.5011983215808868,660.43263516,2013.93
0.0049564308,468.893306016922,0.0578125,1.4347501,217088,217088,487,6.6234217,-0.002626264,106,0.5468292832374573,665.16049302,2005.92
0.0026352904,473.09617710113525,0.022705078,1.4408258,219136,219136,495,3.9532788,-0.0014761549,107,0.5385947227478027,669.0166735700001,2005.92
0.0048395004,477.22609758377075,0.054492187,1.4305304,221184,221184,407,4.2819777,-0.0024007638,108,0.4401189088821411,673.8681541300002,2005.92
0.002587968,482.24762320518494,0.024560547,1.4149662,223232,223232,448,4.982737,-0.00138839,109,0.5756939351558685,678.9232019300001,2005.92
0.0036366526,486.81865191459656,0.041064452,1.4068099,225280,225280,428,3.4959488,-0.0014331163,110,0.6566480398178101,680.2814203099998,1998.96
0.0041612172,491.59470319747925,0.047851562,1.3977834,227328,227328,428,4.861918,-0.0040127756,111,0.4650532603263855,682.71138149,1995.73
0.008109778,496.3695938587189,0.059423827,1.398113,229376,229376,405,6.5005965,0.0018693388,112,0.5233074128627777,687.4842119,1994.76
0.008531818,501.4211616516113,0.1003418,1.4149604,231424,231424,434,2.9583316,0.000105069135,113,0.5669500529766083,692.5487223300001,1992.19
0.0050973604,506.13218665122986,0.06347656,1.4313735,233472,233472,406,4.273254,-0.0024171805,114,0.5944227278232574,696.2857387700001,1992.19
0.00514508,511.17587208747864,0.057666015,1.4466255,235520,235520,417,4.4991956,-0.0024643312,115,0.5814383029937744,701.15756191,1992.19
0.0028520043,516.0833787918091,0.029443359,1.456248,237568,237568,426,9.659362,-0.0022622163,116,0.46535801887512207,703.1460546600001,1965.51
0.0042583495,520.8856663703918,0.04638672,1.4625899,239616,239616,439,7.8699074,-0.0018862176,117,0.5370129942893982,705.13429374,1949.85
0.0037303246,525.545923948288,0.03984375,1.4669693,241664,241664,425,3.5670216,-0.0015343732,118,0.592355877161026,708.64474451,1949.16
0.004387983,530.3541488647461,0.055322267,1.4610007,243712,243712,395,4.618704,-0.00077523326,119,0.4788229465484619,710.6516083999999,1943.24
0.0043540285,535.533807516098,0.047949217,1.4586989,245760,245760,465,3.8491454,-0.0031888657,120,0.7083189487457275,710.7139379299999,1935.09
0.0029711542,539.9361588954926,0.028027344,1.4561841,247808,247808,447,6.8618493,-0.0020878694,121,0.5523620843887329,715.3441386899999,1926.9
