ep_reward_mean,n_updates,serial_timesteps,ep_len_mean,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed
644.345741,1,2048,673.5,2.753217,0.987586522474885,396,0.0031307552,2048,-0.0046662637,3.694657,0.030664062,2.1457672119140625e-06
856.4650406666666,2,4096,893.3333333333334,2.362225,0.9851201353594661,386,0.0031589847,4096,-0.0045529758,3.692798,0.027929688,5.15955114364624
996.0166158,3,6144,1036.0,6.382837,0.9742047656327486,433,0.0022173102,6144,-0.0040734634,3.6797135,0.019189453,10.453907251358032
1112.1272667142857,4,8192,1155.857142857143,14.011559,0.9083836227655411,399,0.0005269529,8192,-0.0007272876,3.6720886,0.0015136718,15.175844669342041
1088.3954396666666,5,10240,1131.7777777777778,4.440161,0.9819647204130888,403,0.003006169,10240,-0.003630973,3.6688747,0.033496093,20.299269676208496
1121.9239423,6,12288,1164.7,1.02083,0.9911469547078013,384,0.002591409,12288,-0.006947241,3.6713073,0.029492188,25.37926697731018
1202.3318976363635,7,14336,1245.090909090909,12.401341,0.6644762456417084,356,0.003956226,14336,-0.0031004078,3.6749463,0.046777345,30.701526880264282
1269.2957321666665,8,16384,1312.0833333333333,12.468267,0.5792919099330902,414,0.0058338856,16384,-0.006304973,3.6622143,0.07329102,36.45364570617676
1161.8851610666666,9,18432,1198.0666666666666,23.96102,0.8295638710260391,369,0.0018260019,18432,-0.0010723916,3.6546123,0.015771484,41.39416480064392
1093.4636315294115,10,20480,1128.4705882352941,9.732894,0.9274723157286644,397,0.0019285033,20480,-0.0019048254,3.6536598,0.015283203,46.93082618713379
1017.7636044761904,11,22528,1051.6190476190477,15.650841,0.9337315261363983,371,0.0015841996,22528,-0.0016812036,3.649076,0.013818359,52.07732009887695
1062.693881681818,12,24576,1096.9545454545455,10.706288,0.8111594766378403,389,0.0026555331,24576,-0.0061659305,3.640747,0.029052734,57.59328484535217
1059.7839981666666,13,26624,1095.1666666666667,11.667252,0.8937976583838463,354,0.002522902,26624,-0.0008523014,3.6259186,0.023291016,62.84636950492859
1098.24323372,14,28672,1133.32,19.555363,0.03963899612426758,420,0.0059616053,28672,-0.0027064402,3.618219,0.07382812,68.62876319885254
1096.0435044814815,15,30720,1130.888888888889,13.305873,0.8761352226138115,359,0.0012727376,30720,-0.0019975116,3.623225,0.009570313,73.4974308013916
1128.6181454642858,16,32768,1163.6785714285713,14.064613,0.5790486931800842,453,0.0039718905,32768,-0.0018399076,3.6244416,0.042578124,79.18872284889221
1159.8938678965517,17,34816,1194.2068965517242,20.215784,0.0006469488143920898,374,0.0042907484,34816,-0.0026189156,3.6146178,0.05239258,83.7055013179779
1187.7225452333332,18,36864,1222.7,14.3558,0.5705395340919495,350,0.0011506217,36864,-0.0011858857,3.605611,0.007958984,89.17840695381165
1213.8824934193547,19,38912,1249.3548387096773,13.05058,0.6398201286792755,379,0.0036007105,38912,-0.002373811,3.5924697,0.03696289,95.02919292449951
1238.6824171875,20,40960,1274.34375,15.966118,0.41010159254074097,336,0.0018438116,40960,1.22555475e-05,3.587386,0.012646484,100.4323091506958
1225.4441933529413,21,43008,1261.1470588235295,17.789505,0.7795085459947586,415,0.0012819513,43008,-0.0020473918,3.5923202,0.0065429686,106.5118944644928
1214.1498208333333,22,45056,1249.0555555555557,28.039433,0.4574381709098816,449,0.0028812932,45056,-0.0067517376,3.6010888,0.021923829,111.43872880935669
1235.0299466756758,23,47104,1270.6756756756756,17.403786,0.6684491038322449,410,0.0023639638,47104,-0.001333229,3.6061413,0.021044921,115.99573969841003
1177.4604241282052,24,49152,1211.5384615384614,3.3853524,0.9598120450973511,386,0.001485014,49152,-0.0009810913,3.6113331,0.01225586,120.98768782615662
1198.05752785,25,51200,1232.475,14.748617,0.48446953296661377,409,0.0033235312,51200,-0.0035477069,3.6236165,0.036328126,126.29081392288208
1217.7704675121952,26,53248,1252.3902439024391,14.648409,0.45895957946777344,385,0.0033572137,53248,-0.0021208632,3.6248965,0.03339844,131.30110621452332
1237.2180568809522,27,55296,1271.357142857143,20.159824,0.014085054397583008,399,0.0048812693,55296,-0.0028662689,3.6375854,0.06088867,136.6099488735199
1255.9238703720928,28,57344,1289.4418604651162,20.302925,0.08433854579925537,397,0.002639119,57344,-0.0008975719,3.658406,0.02602539,141.7342255115509
1247.8384732888887,29,59392,1281.0,16.830208,0.8429657518863678,298,0.0022181286,59392,-0.0017390156,3.653571,0.020117188,146.88781070709229
1264.9119561304346,30,61440,1297.695652173913,20.16697,0.0035243630409240723,383,0.0028175875,61440,-0.0016412704,3.651733,0.027880859,153.73860454559326
1281.3707314893616,31,63488,1313.6808510638298,20.288574,0.07756125926971436,377,0.0062453225,63488,-0.0028350907,3.662646,0.07836914,159.0737702846527
1292.6319243333332,32,65536,1325.4166666666667,1.4471277,0.9886131836101413,432,0.0036576441,65536,-0.00482942,3.6697688,0.03730469,164.49358081817627
1282.6884559399998,33,67584,1314.48,25.94996,0.6674650013446808,417,0.003404472,67584,-0.00242646,3.6879826,0.031884767,169.23076343536377
1297.5581704509802,34,69632,1328.8823529411766,20.3139,-0.016069412231445312,431,0.0013276063,69632,-4.9667444e-05,3.7010403,0.0105957035,174.1363399028778
1311.6358235384614,35,71680,1342.7307692307693,20.025051,0.018453478813171387,408,0.0018580407,71680,-0.00034706548,3.702557,0.015478516,178.88476657867432
1325.3417126792453,36,73728,1356.0566037735848,20.19247,0.007833480834960938,433,0.0016835496,73728,-0.00048386725,3.7064164,0.013232422,183.89788126945496
