serial_timesteps,total_timesteps,time_elapsed,fps,value_loss,policy_entropy,policy_loss,clipfrac,n_updates,ep_reward_mean,explained_variance,approxkl,ep_len_mean
2048,2048,2.1457672119140625e-06,428,19.743994,4.0322814,-0.0042089163,0.035595704,1,246.90597766666667,0.7327294945716858,0.0033532507,542.0
4096,4096,4.781341075897217,447,5.4581747,4.024516,-0.0036085292,0.04321289,2,228.523284,0.9029026851058006,0.0038525616,527.25
6144,6144,9.361845970153809,458,16.646955,4.0344,-0.0036797181,0.040722657,3,407.74866849999995,0.8263498246669769,0.0038310804,750.1666666666666
8192,8192,13.825683116912842,489,13.376661,4.045813,-0.0038103126,0.04838867,4,469.09740025,0.847024068236351,0.004138859,861.75
10240,10240,18.009557723999023,437,15.981186,4.05007,-0.0021039862,0.019384766,5,472.5373751818182,0.8367718011140823,0.0020964723,861.0
12288,12288,22.69093608856201,462,18.554546,4.051252,-0.0036963006,0.042089842,6,394.95263888235297,0.8922018557786942,0.005114362,715.7058823529412
14336,14336,27.120006561279297,447,8.900095,4.0541778,-0.004850042,0.031884767,7,345.65120425000003,0.9256281927227974,0.0029183992,635.25
16384,16384,31.692506313323975,429,19.163578,4.051462,-0.004821525,0.035986327,8,381.33116250000006,0.7929315567016602,0.0030833674,695.6363636363636
18432,18432,36.46015453338623,435,13.226565,4.0555835,-0.0025821063,0.026611328,9,403.316278,0.7728195488452911,0.002685234,724.3333333333334
20480,20480,41.16205859184265,451,4.319461,4.0621033,-0.0042630592,0.044677734,10,435.08686532,0.9317348524928093,0.003998601,765.04
22528,22528,45.70268368721008,428,14.83828,4.0542917,-0.0038301,0.025292968,11,450.0844397407407,0.8451471328735352,0.0024994235,785.9629629629629
24576,24576,50.480563163757324,445,15.598373,4.061268,-0.0024166682,0.042871095,12,486.6063992413793,0.8052995055913925,0.0038762118,840.3103448275862
26624,26624,55.07995629310608,431,11.075493,4.066108,-0.0045973137,0.0746582,13,518.0380103,0.8019866645336151,0.006140894,880.6
28672,28672,59.825655698776245,460,3.821109,4.076888,-0.0025025818,0.02626953,14,519.2347036129032,0.9456292763352394,0.0024396046,881.4516129032259
30720,30720,64.27094864845276,439,11.515844,4.0874224,-0.0028327042,0.024951171,15,539.178172625,0.8164735585451126,0.0024583878,917.9375
32768,32768,68.92935061454773,455,10.172721,4.086428,-0.004831873,0.03286133,16,543.2496414117646,0.9099809601902962,0.0032714363,921.7058823529412
34816,34816,73.42943668365479,443,15.528003,4.093478,-0.0025726254,0.026855469,17,548.2653670277778,0.8165113031864166,0.0025244073,928.4166666666666
36864,36864,78.04518723487854,414,15.576044,4.1069555,-0.005031866,0.022021484,18,539.5110964102564,0.8911032751202583,0.0023515169,913.7948717948718
38912,38912,82.98721528053284,383,10.544165,4.125957,-0.0030177238,0.051513672,19,559.7998916,0.8529224544763565,0.004583248,942.175
40960,40960,88.33417105674744,454,12.263978,4.130271,-0.0008823039,0.011962891,20,576.7608351219512,0.8296735137701035,0.0014168946,969.170731707317
43008,43008,92.84458208084106,422,20.738924,4.130727,-0.001091249,0.009033203,21,585.8523230465115,0.7998710572719574,0.0012980116,980.3953488372093
45056,45056,97.69387078285217,404,13.503125,4.13955,-0.005382633,0.047851562,22,582.0914463695651,0.8849898055195808,0.003943951,970.2391304347826
47104,47104,102.75818037986755,415,11.335871,4.151503,-0.002953723,0.042041015,23,598.5283965957445,0.8724086135625839,0.0036861133,993.1914893617021
49152,49152,107.6927797794342,444,10.145868,4.1520505,-0.0006915078,0.01977539,24,612.2256531458333,0.8689542263746262,0.0020919745,1015.1875
51200,51200,112.30156540870667,387,13.633481,4.1573534,-0.004576371,0.045947265,25,614.5706342000001,0.883325420320034,0.004170716,1017.02
53248,53248,117.60106062889099,370,11.85174,4.1612735,-0.0019622878,0.035498045,26,629.1096231568628,0.8137745261192322,0.003153434,1037.2549019607843
55296,55296,123.1290967464447,387,13.717667,4.1655498,-0.0045909868,0.019628907,27,617.25287,0.844832181930542,0.0019150672,1018.9433962264151
57344,57344,128.41813588142395,395,9.816502,4.1727815,-0.002269552,0.05654297,28,629.1450446481482,0.8628969043493271,0.005113371,1038.0185185185185
59392,59392,133.59863471984863,386,10.64984,4.1705976,-0.0018627343,0.045703124,29,641.1068546545455,0.8668308258056641,0.004185588,1056.4
61440,61440,138.8999888896942,350,19.082836,4.167631,-0.0051866323,0.062402345,30,623.9558388474577,0.8781662434339523,0.0049075913,1032.915254237288
63488,63488,144.7367503643036,351,10.957369,4.1678805,-0.0023641917,0.025537109,31,634.1973277000001,0.817883238196373,0.0024846664,1049.85
65536,65536,150.56336045265198,370,4.351668,4.1630545,-0.0025501982,0.027880859,32,640.2590256065574,0.9455817341804504,0.002548887,1058.7377049180327
67584,67584,156.0972776412964,414,16.216639,4.154931,-0.0009298952,0.010839844,33,632.762900515625,0.8740123361349106,0.0015056616,1042.265625
69632,69632,161.04087018966675,457,7.732286,4.1452684,-0.0041105314,0.044140626,34,632.9403227384615,0.887967050075531,0.004042666,1044.5692307692307
71680,71680,165.5198884010315,424,15.077864,4.1443295,-0.0019979607,0.029101562,35,633.2288806865672,0.8423367589712143,0.0028398496,1047.686567164179
73728,73728,170.34030294418335,434,20.27206,4.142038,-0.0024779374,0.013916016,36,631.7878201285715,0.8216199427843094,0.00151594,1047.7714285714285
75776,75776,175.05457258224487,395,8.776315,4.146116,-0.0017525727,0.03413086,37,626.2827894225353,0.872244194149971,0.003204265,1040.5352112676057
77824,77824,180.23710584640503,418,19.699347,4.146355,-0.0042121788,0.032910157,38,614.9285829600001,0.7811708152294159,0.0029675323,1027.7066666666667
79872,79872,185.12973546981812,386,12.81769,4.1407933,-0.003370123,0.040234376,39,618.2770923376623,0.8558057695627213,0.0038009577,1034.974025974026
81920,81920,190.42337894439697,404,4.349294,4.1341395,-0.0048281443,0.0328125,40,611.9949176923077,0.9505916945636272,0.0030970157,1025.9358974358975
83968,83968,195.4892818927765,362,24.404125,4.1161337,-0.0018548894,0.018994141,41,607.7503911951221,0.8185951709747314,0.0020438654,1018.5487804878048
86016,86016,201.1420874595642,410,9.870272,4.117921,-0.0036419085,0.050878905,42,614.7154141566266,0.7660038322210312,0.0042134426,1030.9638554216867
88064,88064,206.1323323249817,465,8.176768,4.1327715,-0.0032182753,0.040039062,43,609.5423596117649,0.8837253749370575,0.0034466714,1023.4235294117647
90112,90112,210.53662014007568,419,3.7039528,4.1414013,-0.003492808,0.01484375,44,617.9756653837211,0.9512258246541023,0.0016526269,1034.9767441860465
92160,92160,215.4163589477539,420,15.238806,4.1328297,-0.0024750966,0.031152343,45,620.9122255340909,0.8472163677215576,0.0031545118,1040.4318181818182
94208,94208,220.28762936592102,406,8.683312,4.123884,-0.0022509308,0.066748045,46,628.5845221910112,0.8447044193744659,0.0058368756,1051.7640449438202
96256,96256,225.33122062683105,415,9.774359,4.1211853,-0.0027614445,0.07060547,47,635.2873248999999,0.8074404448270798,0.0056100804,1062.8444444444444
98304,98304,230.26188778877258,383,11.096059,4.1169324,-0.002977103,0.057861328,48,641.7990302747253,0.8286666721105576,0.0051187947,1073.6813186813188
100352,100352,235.59818959236145,427,12.457771,4.1228704,-0.0042161862,0.049316406,49,647.6687097608695,0.7398356199264526,0.004039357,1084.2826086956522
102400,102400,240.39115929603577,453,7.953953,4.134695,-0.0012829894,0.021484375,50,651.1266827096774,0.766724169254303,0.002043898,1094.6559139784947
104448,104448,244.91191005706787,396,9.33426,4.142682,-0.0020272066,0.06694336,51,657.8261051808511,0.738949716091156,0.005387134,1104.8085106382978
106496,106496,250.08221173286438,369,18.21704,4.1619387,-0.0043627406,0.071777344,52,652.2575556804123,0.8080019652843475,0.0067035817,1097.6701030927834
108544,108544,255.63131976127625,415,8.134,4.1673975,-0.0053228205,0.042236328,53,648.8201266632652,0.8627880811691284,0.0038428511,1093.2448979591836
