policy_loss,serial_timesteps,fps,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy,ep_reward_mean,ep_len_mean
-0.002270813,169984,514,6.822507,0.9663998931646347,83,169984,0.0024498443,0.023046875,327.80291295051575,5.665556,957.4119990000003,1260.58
-0.0016160425,172032,518,26.627804,0.896728940308094,84,172032,0.0017310923,0.014550781,331.78726148605347,5.65709,973.67438567,1277.48
-0.0022141072,174080,535,26.4838,0.8844248428940773,85,174080,0.0013716861,0.012988281,335.739107131958,5.6570497,990.80034531,1295.26
-0.0050134915,176128,510,20.504559,0.8734052926301956,86,176128,0.004617472,0.06015625,339.5639617443085,5.657701,1007.20108445,1312.89
-0.0019044012,178176,509,19.367073,0.8934365287423134,87,178176,0.004064194,0.051171876,343.57339429855347,5.6625957,1021.8628201899999,1328.36
-0.0012951803,180224,509,19.149464,0.8734523206949234,88,180224,0.0027884725,0.03100586,347.59530782699585,5.670804,1038.62484163,1346.33
-0.0037935297,182272,458,19.48427,0.8598452061414719,89,182272,0.0045053484,0.057519533,351.6141164302826,5.67858,1038.7245197700001,1346.33
-0.004720861,184320,506,6.869689,0.9624425433576107,90,184320,0.0026995256,0.02451172,356.085679769516,5.6790195,1037.25355407,1345.34
-0.0025303438,186368,517,28.195444,0.8898187801241875,91,186368,0.001658561,0.0140625,360.1268529891968,5.6711736,1051.59648506,1360.72
-0.0074034296,188416,500,19.115654,0.8665731102228165,92,188416,0.006186567,0.0828125,364.0818247795105,5.664225,1068.2687838699999,1378.76
-0.0013471447,190464,514,20.898413,0.8627372235059738,93,190464,0.0027967023,0.022753906,368.1779248714447,5.661983,1081.6181560999999,1393.64
-0.007849434,192512,511,7.507266,0.9533643238246441,94,192512,0.003991047,0.03666992,372.15540742874146,5.6542215,1066.02697445,1377.29
-0.006112301,194560,542,47.469707,0.488983154296875,95,194560,0.0024182447,0.029101562,376.16162848472595,5.660428,1048.98108183,1357.88
-0.0018058385,196608,562,21.576826,0.7942437678575516,96,196608,0.0007980395,0.005859375,379.9359414577484,5.6785707,1055.6362171300002,1368.23
-0.0023296645,198656,546,7.918199,0.9679623693227768,97,198656,0.001297232,0.012792969,383.5786666870117,5.678315,1040.7098644500002,1352.65
-0.0044179736,200704,519,20.07387,0.8732254505157471,98,200704,0.0046514417,0.05654297,387.32682156562805,5.668994,1040.43443727,1352.65
-0.0008026257,202752,539,23.182407,0.9180675521492958,99,202752,0.0025508157,0.026953125,391.2672004699707,5.667875,1039.6291999300001,1351.48
-0.0054684533,204800,522,28.47171,0.9124253392219543,100,204800,0.002649465,0.025732422,395.06379795074463,5.680272,1040.33696003,1350.12
-0.0048017376,206848,520,21.15749,0.8627670258283615,101,206848,0.00339811,0.035546876,398.987450838089,5.684464,1038.21441378,1350.12
-0.0008636795,208896,482,19.800438,0.8824903443455696,102,208896,0.001328786,0.011572266,402.9262065887451,5.6765585,1038.07382874,1350.12
