n_updates,fps,explained_variance,approxkl,policy_entropy,clipfrac,policy_loss,time_elapsed,serial_timesteps,total_timesteps,value_loss,ep_len_mean,ep_reward_mean
1,424,0.8253524303436279,0.0115940375,5.423686,0.16865234,-0.015629822,2.1457672119140625e-06,2048,2048,0.002006835,,
2,397,0.010424494743347168,0.009349945,5.4008546,0.13017578,-0.010712111,4.825145959854126,4096,4096,2.357298,2049.0,2045.252684
3,453,0.002113044261932373,0.008530078,5.382239,0.11787109,-0.009136432,9.980341911315918,6144,6144,4.4809465,2049.0,2045.6505285
4,435,0.0006410479545593262,0.0021937075,5.3668766,0.013867187,-0.0056874044,14.49840259552002,8192,8192,6.3336773,2049.0,2045.4954559999999
5,421,0.0018568038940429688,0.0023964322,5.3455915,0.019189453,-0.0016852813,19.200805187225342,10240,10240,7.964864,2049.0,2044.95141025
6,460,-0.0006889104843139648,0.0019816007,5.314817,0.011914062,-0.0006922509,24.055615186691284,12288,12288,9.446465,2049.0,2044.795444
7,449,0.0006772279739379883,0.0023215099,5.304863,0.016455078,-0.00014361177,28.50559139251709,14336,14336,10.721975,2049.0,2044.7423093333334
8,390,-0.0010231733322143555,0.0043741385,5.2977,0.042871095,-0.0011777346,33.0600049495697,16384,16384,11.856079,2049.0,2044.7572412857141
9,416,-0.001726388931274414,0.010185102,5.2828684,0.14326172,-0.011603678,38.304967164993286,18432,18432,12.852705,2049.0,2044.6719267500002
10,451,0.006177186965942383,0.008862,5.2650084,0.12822266,-0.004591402,43.22131323814392,20480,20480,13.65331,2049.0,2044.4689406666669
11,451,0.0019365549087524414,0.009019838,5.2464623,0.13583985,-0.009067356,47.7548143863678,22528,22528,14.526421,2049.0,2044.5270185000002
12,444,0.0034053921699523926,0.006390401,5.234306,0.08413086,-0.004811383,52.289008140563965,24576,24576,15.242496,2049.0,2044.7267462727273
13,470,0.004573702812194824,0.00881944,5.216712,0.12084961,-0.0077887364,56.90022945404053,26624,26624,15.854787,2049.0,2044.9574340833333
14,433,0.7375580668449402,0.0013937856,5.2167726,0.014453125,0.00058352656,61.25039267539978,28672,28672,17.858776,1904.642857142857,1900.9770162857144
15,438,-0.010815620422363281,0.0042229844,5.229676,0.043701172,-0.0014257671,65.97891497612,30720,30720,20.610348,1914.2666666666667,1910.4927458
16,470,-0.0008138418197631836,0.0025328314,5.235574,0.021484375,0.00087988994,70.64664506912231,32768,32768,20.503628,1922.6875,1918.9768278125
17,409,0.002629697322845459,0.0036706876,5.2356296,0.039160155,0.00035656517,75.00129795074463,34816,34816,20.431862,1930.1176470588234,1926.3910467058824
18,430,0.000217437744140625,0.0018771092,5.235949,0.015380859,-0.0006888391,80.00416779518127,36864,36864,20.449707,1936.7222222222222,1932.9829461666668
19,464,-0.007339596748352051,0.0022174283,5.233616,0.019628907,-0.00079548324,84.76385283470154,38912,38912,20.421825,1942.6315789473683,1938.8656091578948
20,468,0.004173696041107178,0.004446566,5.2398934,0.05292969,-0.0024664192,89.17253613471985,40960,40960,20.241886,1947.95,1944.20334745
21,415,-0.0004489421844482422,0.008052369,5.246396,0.11533203,-0.0038652096,93.54183864593506,43008,43008,20.389233,1952.7619047619048,1949.0290580476192
22,334,0.009394586086273193,0.006772218,5.25997,0.08496094,-0.0027664248,98.47184181213379,45056,45056,20.204891,1957.1363636363637,1953.4458795909093
23,378,0.005253314971923828,0.005107408,5.2811112,0.06611328,-0.002648563,104.60080790519714,47104,47104,20.337845,1961.1304347826087,1957.502825608696
24,412,0.002565443515777588,0.0044017467,5.287485,0.05,-0.0012328217,110.01841163635254,49152,49152,20.428928,1964.7916666666667,1961.2120461666666
25,422,-0.007013201713562012,0.007929934,5.297791,0.10771485,-0.0025678694,114.97822999954224,51200,51200,20.563435,1968.16,1964.62260076
26,380,0.0018616318702697754,0.0030394117,5.30527,0.03178711,0.0003912546,119.83487796783447,53248,53248,20.417387,1971.2692307692307,1967.752669423077
27,312,-0.001881241798400879,0.0052532023,5.303969,0.06074219,-0.0016233304,125.22092866897583,55296,55296,20.467297,1974.148148148148,1970.604023851852
28,323,-0.003286004066467285,0.007439432,5.3043313,0.102832034,-0.0034439985,131.77796363830566,57344,57344,20.411896,1976.8214285714287,1973.2386386428573
29,369,-0.0020531415939331055,0.0018305888,5.3064814,0.013085937,0.00021920109,138.10639905929565,59392,59392,20.348461,1979.3103448275863,1975.6672396206898
30,368,-0.002719283103942871,0.0036965758,5.305645,0.040625,-0.0024591472,143.65333247184753,61440,61440,20.267466,1981.6333333333334,1977.9637919666668
31,427,0.000432431697845459,0.0029516038,5.316149,0.02626953,-0.00019035081,149.21294975280762,63488,63488,20.191385,1983.8064516129032,1980.067605516129
32,364,-0.005138993263244629,0.0052324953,5.323783,0.06665039,-0.00072680553,153.99970841407776,65536,65536,20.15752,1985.84375,1982.0729695312502
33,409,-0.002897500991821289,0.0029939108,5.3306613,0.031640626,-0.0009383223,159.61932754516602,67584,67584,20.178074,1987.7575757575758,1983.930548757576
34,413,0.001943051815032959,0.004319091,5.332586,0.047949217,-0.0026127566,164.6156964302063,69632,69632,20.036547,1989.5588235294117,1985.6622465588239
35,419,-0.005267500877380371,0.0041353228,5.3381414,0.04790039,-0.0011531087,169.56790328025818,71680,71680,20.0622,1991.2571428571428,1987.3328379428576
36,379,0.01034390926361084,0.0061713927,5.347929,0.0815918,-0.0034624678,174.45073127746582,73728,73728,19.830929,1992.861111111111,1988.8529859722225
37,369,0.6973950862884521,0.0064825886,5.3636966,0.088085935,-0.0027350201,179.853413105011,75776,75776,21.514484,1942.6315789473683,1938.700153526316
38,387,0.008975982666015625,0.0067895865,5.3760767,0.09667969,-0.0025073972,185.40367650985718,77824,77824,19.8658,1945.3589743589744,1941.3708911025642
39,372,0.011799395084381104,0.0063530854,5.381459,0.08295898,-0.0026817159,190.68479919433594,79872,79872,19.98341,1947.95,1943.94456995
40,388,0.01689016819000244,0.0020619892,5.3904095,0.01796875,2.19943e-05,196.18906664848328,81920,81920,20.124317,1950.4146341463415,1946.4227032195124
41,416,0.014281928539276123,0.007152057,5.400202,0.095703125,-0.0031318492,201.46181178092957,83968,83968,20.419271,1952.7619047619048,1948.811307071429
42,379,0.0008577108383178711,0.0020913668,5.417836,0.020019531,0.0009756518,206.37496304512024,86016,86016,20.776545,1955.0,1951.081672255814
43,372,-0.021603703498840332,0.006179186,5.446366,0.07553711,-0.0044734934,211.77285385131836,88064,88064,20.711927,1957.1363636363637,1953.2061961363638
44,384,0.0014750361442565918,0.0021594572,5.464824,0.019824218,-0.0001985218,217.27544450759888,90112,90112,20.620218,1959.1777777777777,1955.2672504222223
45,382,-0.0022312402725219727,0.0050479034,5.473081,0.06547852,-0.0032600958,222.6045310497284,92160,92160,20.590845,1961.1304347826087,1957.180080434783
