fps,serial_timesteps,ep_len_mean,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,ep_reward_mean,value_loss,time_elapsed
567,2048,466.5,1.4233118,0.02241211,-0.1227715015411377,0.002345211,1,-0.0036432787,2048,92.13938525,4.821165,1.9073486328125e-06
595,4096,492.625,1.4347161,0.032128908,0.03663349151611328,0.0029161372,2,-0.0030469305,4096,96.805748625,4.472234,3.607351303100586
568,6144,398.8666666666667,1.4364092,0.021972656,0.11669313907623291,0.0024191025,3,-0.0017663715,6144,79.2384888,4.4044127,7.046734094619751
533,8192,340.3333333333333,1.4383821,0.03100586,0.27470195293426514,0.002902569,4,-0.003105925,8192,67.012024,3.5341594,10.64994740486145
511,10240,338.1,1.4529318,0.01850586,0.354214072227478,0.0024348143,5,-0.0029033576,10240,66.8215503,3.8903465,14.48831295967102
449,12288,338.52777777777777,1.4660563,0.010498047,0.19361764192581177,0.0015693537,6,-0.0012979226,12288,67.00126902777778,3.6435418,18.491447925567627
475,14336,366.43589743589746,1.4688452,0.04575195,0.3010641932487488,0.0039904304,7,-0.0044052294,14336,73.79157587179488,4.7939315,23.04941201210022
456,16384,376.95348837209303,1.4579375,0.031640626,0.5235933065414429,0.0029492206,8,-0.0026241895,16384,76.27795539534883,3.7767537,27.352980375289917
442,18432,379.55555555555554,1.4646157,0.042382814,0.5840665400028229,0.0037327781,9,-0.0044521964,18432,77.01494095555555,4.2522383,31.838809490203857
413,20480,407.9791666666667,1.4746397,0.056347657,0.596224457025528,0.0044481307,10,-0.0050216415,20480,83.29871916666666,3.4168923,36.468305349349976
455,22528,421.18,1.4809958,0.068847656,0.5772278904914856,0.005364724,11,-0.005974649,22528,86.31071653999999,3.7441258,41.42132496833801
456,24576,453.0980392156863,1.483589,0.05126953,0.5851824283599854,0.004418494,12,-0.0033382992,24576,93.1498744117647,3.6871104,45.92199373245239
459,26624,483.78846153846155,1.4756653,0.035351563,0.5176241993904114,0.0036811524,13,-0.002496595,26624,100.45419219230767,3.7223186,50.41219472885132
448,28672,513.3207547169811,1.4762119,0.042382814,0.43516266345977783,0.0036388044,14,-0.0029423607,28672,107.2851880188679,3.4147103,54.87101125717163
412,30720,541.7592592592592,1.4811118,0.039697267,0.3322566747665405,0.0035661918,15,-0.0029762618,30720,114.04764531481479,3.0133526,59.43915557861328
471,32768,569.1636363636363,1.4821968,0.04135742,0.5142931938171387,0.0037319115,16,-0.0032088715,32768,120.51556469090906,2.9133513,64.40946173667908
448,34816,595.5892857142857,1.4833571,0.05263672,0.12352460622787476,0.004514684,17,-0.0020926849,34816,126.78052473214287,3.2337346,68.75154781341553
486,36864,621.0877192982456,1.499965,0.02578125,0.30034297704696655,0.0028018125,18,-0.0028056693,36864,133.50617392982457,3.080333,73.31886076927185
477,38912,645.7068965517242,1.5101053,0.07167969,0.14602094888687134,0.005887945,19,-0.0059626005,38912,139.94572987931033,2.8366575,77.5271155834198
430,40960,669.4915254237288,1.5172123,0.02890625,0.17072749137878418,0.0030044685,20,-0.0010865803,40960,146.24282542372882,2.6796167,81.81969475746155
403,43008,692.4833333333333,1.5289276,0.021044921,0.2052067518234253,0.0021279391,21,-0.00078809465,43008,152.43902513333333,2.918579,86.5791265964508
334,45056,714.7213114754098,1.5375637,0.038183592,0.25588905811309814,0.0034224696,22,-0.001475795,45056,158.95601485245902,3.0175755,91.65623211860657
370,47104,736.241935483871,1.535849,0.033154298,-0.020624279975891113,0.0032520783,23,-0.0015877147,47104,165.1704675,3.023974,97.78015327453613
376,49152,757.0793650793651,1.5350745,0.05605469,0.11940574645996094,0.004576118,24,-0.0030743415,49152,171.44991126984127,3.062498,103.31584596633911
369,51200,777.265625,1.5461286,0.057861328,0.28581899404525757,0.004691928,25,-0.0039072162,51200,177.652666703125,2.6977344,108.76284575462341
375,53248,796.8307692307692,1.5514252,0.021289062,0.10964035987854004,0.0025094792,26,-0.0010218298,53248,183.23744627692307,2.2452633,114.32699370384216
372,55296,815.8030303030303,1.551668,0.015185547,-0.060523033142089844,0.0017694529,27,-0.00094527827,55296,188.398317,2.311015,119.77551126480103
362,57344,834.2089552238806,1.5595549,0.072460935,0.039717018604278564,0.005865482,28,-0.0042144554,57344,193.75792840298507,2.0341215,125.26712799072266
359,59392,852.0735294117648,1.5742081,0.034277342,0.1905180811882019,0.0031079068,29,-0.0031871304,59392,198.7293921617647,1.944673,130.91974878311157
342,61440,869.4202898550725,1.5907499,0.035009764,0.14812922477722168,0.0032166843,30,-0.0025905885,61440,203.65127065217393,2.1324492,136.6151180267334
381,63488,886.2714285714286,1.5994141,0.03359375,0.16636288166046143,0.003333516,31,-0.001969135,63488,208.73362217142858,2.0193796,142.6019823551178
374,65536,902.6478873239437,1.5919226,0.023486327,0.0014132857322692871,0.0027942806,32,-0.0024152712,65536,213.4400578028169,1.5624542,147.96917366981506
372,67584,918.5694444444445,1.5883421,0.0519043,0.02487945556640625,0.0044468427,33,-0.0029083537,67584,217.7326502361111,1.6947578,153.4379849433899
377,69632,934.054794520548,1.5878866,0.042382814,0.2207319140434265,0.0038372397,34,-0.0031171585,69632,222.3144154931507,1.6665647,158.93033409118652
383,71680,949.1216216216217,1.5852181,0.030615235,0.1562235951423645,0.002953701,35,-0.0017997079,71680,226.43504608108108,2.7884002,164.35459852218628
354,73728,963.7866666666666,1.5818928,0.019726563,0.08534914255142212,0.002495739,36,-0.0007943958,73728,231.79411762666666,1.7165792,169.68884348869324
375,75776,978.0657894736842,1.5732199,0.035986327,0.13373082876205444,0.0036078817,37,-0.0017401272,75776,235.67413836842107,1.6831255,175.47178840637207
358,77824,969.2911392405064,1.5897187,0.05654297,-0.09288334846496582,0.0046598273,38,-0.005490274,77824,234.3341199493671,3.323176,180.92889642715454
354,79872,982.7875,1.6030321,0.049462892,0.22193139791488647,0.004238649,39,-0.00292279,79872,238.928193125,1.870841,186.6447901725769
360,81920,985.1341463414634,1.6021013,0.032128908,0.0010960102081298828,0.003119927,40,-0.0017388656,81920,240.35833748780487,2.1775613,192.4263436794281
362,83968,997.9518072289156,1.5962322,0.05332031,0.02541118860244751,0.0044496534,41,-0.0044951173,83968,244.0186399879518,1.5761197,198.10750031471252
344,86016,1010.4642857142857,1.5919282,0.026611328,-0.005110263824462891,0.0028176089,42,-0.0014833566,86016,248.00388333333333,1.7890638,203.7569842338562
353,88064,1022.6823529411764,1.6033434,0.05180664,0.012173891067504883,0.0044752215,43,-0.002298702,88064,251.9143624470588,1.5830718,209.704528093338
356,90112,1034.6162790697674,1.6096361,0.060009766,0.07784217596054077,0.005098209,44,-0.002948653,90112,255.7183400465116,1.4426242,215.50249648094177
364,92160,1046.2758620689656,1.6039677,0.06069336,0.027200162410736084,0.0048380294,45,-0.0028644113,92160,259.09251637931027,1.3151196,221.2558298110962
