serial_timesteps,ep_len_mean,value_loss,fps,approxkl,clipfrac,ep_reward_mean,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed
2048,1813.0,4.5769377,474,0.003356515,0.028808594,341.489751,1,-0.0025987625,2048,1.4161103,-0.04424703121185303,2.86102294921875e-06
4096,954.75,4.50829,492,0.0027341638,0.025878906,181.81078675,2,-0.0029372093,4096,1.4127678,0.08297169208526611,4.313603401184082
6144,953.1666666666666,4.8055797,519,0.00347821,0.03793945,183.92818866666667,3,-0.0043740533,6144,1.4216967,0.1327279806137085,8.472596168518066
8192,852.2222222222222,6.0227327,516,0.0025344563,0.025195312,172.5052624444444,4,-0.0036143407,8192,1.4255205,0.06494468450546265,12.417876958847046
10240,676.7333333333333,5.1491823,536,0.0026154474,0.019970704,140.6664599333333,5,-0.0017736868,10240,1.4171631,-0.06312060356140137,16.381840467453003
12288,626.0526315789474,6.5076423,551,0.002239755,0.013525391,133.3677427368421,6,-0.0018806413,12288,1.3983151,0.022584974765777588,20.19960379600525
14336,665.047619047619,8.45124,443,0.0037716136,0.035449218,148.94005128571428,7,-0.003582257,14336,1.382618,0.003163754940032959,23.915226936340332
16384,589.6153846153846,5.7421384,389,0.002315227,0.01953125,132.01233261538462,8,-0.00076177757,16384,1.3780818,0.1361163854598999,28.53532123565674
18432,580.5806451612904,5.343462,336,0.002990296,0.030615235,132.65725751612902,9,-0.0035805255,18432,1.383715,0.2749389410018921,33.793161392211914
20480,626.46875,8.372647,338,0.0015910417,0.010253906,147.21049703125,10,-0.0007038564,20480,1.3783195,-0.05567371845245361,39.88831949234009
22528,617.4722222222222,4.7247424,457,0.0029306407,0.029541016,146.17632074999997,11,-0.001384397,22528,1.3773824,0.38944828510284424,45.93856477737427
24576,621.5897435897435,4.4076915,493,0.0034605085,0.039111327,147.45370943589742,12,-0.0026851888,24576,1.3845237,0.5633239448070526,50.41186451911926
26624,657.275,4.042732,508,0.003238409,0.029443359,156.67829139999998,13,-0.0031778596,26624,1.382786,0.4514862895011902,54.56130123138428
28672,691.219512195122,3.3721542,469,0.0031315938,0.034179688,164.98444024390244,14,-0.0032179244,28672,1.3847945,0.14884096384048462,58.592578411102295
30720,723.547619047619,4.788772,453,0.0034384218,0.032324217,174.5294620952381,15,-0.0018268379,30720,1.3844119,0.09531891345977783,62.95195436477661
32768,754.3720930232558,4.10314,490,0.005668997,0.075,183.56737588372093,16,-0.005972388,32768,1.3898818,-0.22938835620880127,67.4638683795929
34816,783.7954545454545,4.206713,480,0.0030951025,0.030566406,192.41240486363634,17,-0.0021868132,34816,1.398228,-0.021588444709777832,71.636394739151
36864,811.9111111111112,4.6696024,499,0.0035223092,0.033447266,201.68089404444444,18,-0.0017602744,36864,1.3891244,-0.10823965072631836,75.90069246292114
38912,838.804347826087,3.9026108,521,0.0039972304,0.038134765,209.82131495652175,19,-0.0022874451,38912,1.3749077,0.006527304649353027,80.00210547447205
40960,864.5531914893617,7.8318925,486,0.0040088343,0.04145508,220.47074793617023,20,-0.002079665,40960,1.3667254,-0.10557973384857178,83.93142414093018
43008,889.2291666666666,3.437471,498,0.0036040961,0.039453126,227.8952236875,21,-0.0030628305,43008,1.3765118,0.0075348615646362305,88.14421701431274
