ep_reward_mean,n_updates,serial_timesteps,ep_len_mean,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed
487.823508,1,2048,798.5,17.020397,0.9717115554958582,360,0.0020191777,2048,-0.0039333478,4.906085,0.02060547,1.9073486328125e-06
510.89198825000005,2,4096,1021.0,9.947781,0.980639610439539,390,0.0017765245,4096,-0.004830366,4.907634,0.019482423,5.674893856048584
504.44499740000003,3,6144,1072.4,5.81492,0.9921632595360279,356,0.0023553523,6144,-0.0033499307,4.9159355,0.02470703,10.916346549987793
582.4767413333333,4,8192,1235.1666666666667,5.2753425,0.9891306143254042,352,0.002526728,8192,-0.0046699876,4.9158144,0.023339843,16.65783405303955
617.216058,5,10240,1351.4285714285713,1.0391873,0.9990063746226951,351,0.0022006128,10240,-0.0038611528,4.9125504,0.020751953,22.462034225463867
714.497304,6,12288,1346.2222222222222,6.5826583,0.9912391789257526,332,0.0005382459,12288,-0.0010543365,4.907773,0.0020507812,28.2869553565979
845.9329109999999,7,14336,1416.5,20.335714,-0.0016984939575195312,421,0.0010603454,14336,-0.00017059405,4.909798,0.00859375,34.44702506065369
954.1906386363636,8,16384,1474.0,20.042202,0.024172663688659668,444,0.002935565,16384,-0.0019932599,4.9081693,0.030517578,39.309356451034546
940.36758675,9,18432,1423.4166666666667,2.072394,0.9896134100854397,462,0.0009252401,18432,-0.0027529593,4.917464,0.006201172,43.91501760482788
983.9309653571428,10,20480,1400.7857142857142,29.122463,0.858701765537262,431,0.0013772864,20480,-0.0037656906,4.927947,0.012597656,48.34529900550842
1053.2790744666665,11,22528,1444.0,19.44987,0.10293006896972656,424,0.002050039,22528,-0.0032980633,4.940316,0.02055664,53.09416627883911
1078.8329659375,12,24576,1447.875,2.786394,0.9725904352962971,439,0.0009018189,24576,-0.0022189561,4.950535,0.005859375,57.92038059234619
1135.3686049411763,13,26624,1483.235294117647,20.306683,-0.0009119510650634766,380,0.0013879016,26624,-0.0007184581,4.948918,0.00913086,62.58380365371704
1185.2809657777775,14,28672,1514.6666666666667,20.230564,0.004223883152008057,339,0.0010984669,28672,-0.0022808267,4.949805,0.005761719,67.96420669555664
1229.5113531578945,15,30720,1542.7894736842106,20.195562,0.003581702709197998,326,0.0036666263,30720,-0.0018827558,4.948566,0.04736328,73.99925541877747
1269.6738874999999,16,32768,1568.1,19.954111,0.02510666847229004,351,0.0018168524,32768,-0.00042500455,4.943833,0.013671875,80.28035593032837
1306.434368190476,17,34816,1591.0,20.407867,-0.0005023479461669922,339,0.0014804074,34816,-0.00087893277,4.9428897,0.011669922,86.10670471191406
1339.6375108636364,18,36864,1611.8181818181818,20.46983,-0.012283086776733398,342,0.0008509054,36864,-3.7206995e-05,4.942821,0.0067382813,92.13602876663208
1370.1350391304347,19,38912,1630.8260869565217,20.247591,0.005664408206939697,356,0.0032756466,38912,-0.0023319842,4.9295373,0.03852539,98.12117528915405
