policy_entropy,fps,ep_reward_mean,ep_len_mean,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac
1.4239836,409,242.05690825,424.0,0.0023275218,-0.10417234897613525,1,2048,2048,-0.0013422476,46.259636,1.9073486328125e-06,0.02607422
1.4328406,407,316.03562566666665,599.8333333333334,0.0022658382,0.0005497336387634277,2,4096,4096,-0.0018891266,32.268383,5.005340814590454,0.022460938
1.4324518,397,342.0249056666667,672.6666666666666,0.0022781277,-0.012607932090759277,3,6144,6144,-0.002829473,31.426517,10.030861377716064,0.019824218
1.4251544,418,320.8509677692308,613.4615384615385,0.0014323809,0.14293497800827026,4,8192,8192,-0.0007156371,41.35274,15.178841590881348,0.009423828
1.4360112,443,319.26315818750004,615.0625,0.004772067,0.15121036767959595,5,10240,10240,-0.0048581995,33.102108,20.072112798690796,0.059326172
1.449586,438,317.37854515000004,604.45,0.0026454232,0.1285502314567566,6,12288,12288,-0.0013001113,40.450325,24.695897102355957,0.023339843
1.4446862,448,326.58470021739134,620.5652173913044,0.002233437,0.19031888246536255,7,14336,14336,-0.001622376,32.829937,29.36919903755188,0.015722657
1.437776,451,329.33745153846155,622.0769230769231,0.0021496334,0.2058544158935547,8,16384,16384,-0.0034636378,36.058613,33.93506383895874,0.018798828
1.4249098,455,325.59471907407413,612.6666666666666,0.0034335505,0.14173167943954468,9,18432,18432,-0.002241585,25.018843,38.4693169593811,0.033740234
1.4109889,466,332.65621375,630.59375,0.0034606152,0.1642996072769165,10,20480,20480,-0.0033268176,39.85775,42.96712565422058,0.03251953
1.411036,453,312.33271289473686,582.421052631579,0.0019901325,0.23330551385879517,11,22528,22528,-0.0010226514,41.84053,47.35637831687927,0.016796876
1.4168556,434,314.8049141463415,586.9268292682926,0.0019925097,0.27626514434814453,12,24576,24576,-0.0017844504,31.785267,51.868632316589355,0.014160156
1.4281619,459,315.3407824222222,591.1111111111111,0.0020382316,0.30848485231399536,13,26624,26624,-0.0021354428,25.892538,56.57924032211304,0.018115234
1.4330335,463,310.16081659183675,581.1020408163265,0.0027549316,0.3719063997268677,14,28672,28672,-0.0029980058,30.203999,61.03498697280884,0.029541016
1.4281528,444,306.62747594339623,575.433962264151,0.002168845,0.4893527626991272,15,30720,30720,-0.003300377,25.761866,65.45663833618164,0.017626952
1.4318867,463,305.4437404736842,571.6140350877193,0.0017746264,0.5429365336894989,16,32768,32768,-0.00069499563,27.630743,70.05987238883972,0.011669922
1.4405215,435,299.1167873225806,556.9677419354839,0.0010393396,0.5694676041603088,17,34816,34816,-0.0014602875,28.772198,74.4802017211914,0.0058105467
1.4348824,459,303.57056182539674,580.6507936507936,0.0042394465,0.5655967593193054,18,36864,36864,-0.005081721,6.8960023,79.18597769737244,0.04482422
1.4198124,453,296.29450410144926,562.7971014492754,0.0019163096,0.5762527883052826,19,38912,38912,-0.0010187811,27.819494,83.64686632156372,0.013964844
1.4154705,444,298.9925923521127,571.3521126760563,0.0020610231,0.652813047170639,20,40960,40960,-0.0012701716,16.84074,88.16512417793274,0.017675782
1.4112618,443,298.63453893243246,569.0405405405405,0.0020698889,0.6876391172409058,21,43008,43008,-0.00056450337,19.453129,92.77603363990784,0.017919922
1.4114248,460,304.1374018701299,581.5974025974026,0.0030136593,0.719155877828598,22,45056,45056,-0.00050415786,21.818209,97.39541029930115,0.029248048
1.4130294,425,304.8722687777778,581.1975308641976,0.0021833389,0.6693949401378632,23,47104,47104,-0.0023897574,19.968363,101.84408640861511,0.0203125
1.4233873,437,310.9426322682927,599.0975609756098,0.0038225513,0.5009763836860657,24,49152,49152,-0.0020011861,10.576045,106.65347814559937,0.04399414
1.4121717,455,315.77047190361446,616.566265060241,0.0030478244,0.5307800769805908,25,51200,51200,-0.0035573593,6.742925,111.33808040618896,0.026171874
1.3782457,439,319.5251062857143,633.6190476190476,0.0026161405,0.09506380558013916,26,53248,53248,-0.0030442986,4.9628325,115.85227680206299,0.020263672
1.3435428,491,322.8017978352941,650.2705882352941,0.0029325662,0.4558032751083374,27,55296,55296,-0.0029927348,3.6403337,120.51199460029602,0.026855469
1.3338442,468,325.92912147674417,666.5348837209302,0.0025875685,0.38105833530426025,28,57344,57344,-0.0023635407,3.5549645,124.67795062065125,0.022949219
1.3338743,449,329.23829242528734,682.4252873563219,0.003197043,0.49682098627090454,29,59392,59392,-0.0027812496,4.0696106,129.04619336128235,0.028710937
1.3412216,482,332.4900369204546,697.9545454545455,0.005957299,0.5231153666973114,30,61440,61440,-0.0027367105,3.9283822,133.6002335548401,0.076660156
1.340989,447,335.5056906067416,713.1348314606741,0.00230762,0.5750075578689575,31,63488,63488,-0.0014272342,3.9414387,137.84863424301147,0.020019531
1.3272724,465,338.57817008888895,727.9777777777778,0.0016810276,0.6446864604949951,32,65536,65536,-0.0009527239,3.8720813,142.42430210113525,0.009814453
1.307458,482,341.86657349450553,742.4945054945055,0.0025378028,0.6610729992389679,33,67584,67584,-0.0040625883,4.270709,146.82555055618286,0.025976563
1.3037598,478,345.05411525000005,756.695652173913,0.0016335158,0.6891372203826904,34,69632,69632,-0.0016370963,3.7252014,151.06864070892334,0.012597656
1.3086308,476,347.56994373118283,770.5913978494624,0.0038453348,0.711411714553833,35,71680,71680,-0.0027032625,2.7366915,155.3464231491089,0.040039062
1.3014493,444,350.1084574787235,784.1914893617021,0.0063416697,0.7191095054149628,36,73728,73728,-0.004714626,3.5784793,159.64072561264038,0.08564453
