#{"t_start": 1747761278.480032, "env_id": null}
r,l,t
304.236091,560,1.737007
193.158149,350,2.468589
234.648232,391,3.324154
236.185161,395,4.239215
348.476045,634,6.230808
579.510076,1269,9.182015
359.61078,666,11.131907
633.17082,1489,14.542162
189.228797,300,15.152873
303.322947,548,17.050848
193.11136,312,17.622889
329.239193,584,18.873452
267.16493,477,19.921819
337.135178,768,21.959363
312.903607,569,23.069876
287.109165,529,24.104064
416.931498,843,26.524836
230.339092,362,27.197147
413.327567,748,28.690096
178.762215,295,29.253501
251.732116,372,30.386607
491.741204,965,32.469429
420.403882,847,34.09449
344.075125,648,35.878116
187.293105,297,36.452175
519.957405,956,38.336869
228.283675,368,39.414605
888.709886,2049,43.91194
192.621365,300,44.640668
286.675225,483,45.614009
247.583531,404,46.354568
238.351418,401,47.116652
199.605251,310,47.983361
187.853258,300,48.739611
278.355381,485,49.728464
178.248353,283,50.261208
202.967375,310,50.830636
176.614632,265,51.351385
378.219053,719,53.352017
217.708445,347,54.089757
442.430892,866,55.818332
476.113167,1075,58.451974
141.510056,191,58.801528
357.102095,701,60.127296
308.608411,569,61.265452
191.54035,310,62.428638
207.77462,329,63.079363
205.062687,325,63.657102
403.167147,910,65.373
267.414102,520,66.941602
345.281487,686,68.297598
254.76491,512,69.262896
185.915713,306,69.86237
346.50736,690,71.85094
264.576975,438,72.625115
303.02567,544,73.631264
244.926977,412,74.387553
201.795328,361,75.58704
217.436336,372,76.405789
298.993647,555,77.56916
225.416494,355,78.240534
191.305802,307,78.910727
579.704581,2049,83.415053
257.577491,508,84.835621
269.378321,444,85.892129
199.033719,309,86.493894
215.634971,377,87.226031
188.712831,300,87.745357
189.038055,314,88.314263
548.470279,1341,91.550145
235.682995,392,92.290632
287.681225,531,93.77611
312.249142,567,95.054059
270.551457,445,95.875673
514.906372,1262,98.802586
393.043735,657,100.132768
411.673956,755,101.623925
256.771475,416,102.787095
322.503477,570,104.04161
269.282886,530,105.128611
427.515989,778,106.820873
802.642075,2049,111.47654
711.653322,2049,116.040925
631.15976,2049,120.702124
598.043888,2049,124.832759
591.751631,2049,129.20234
613.826994,2049,133.776284
615.391808,2049,138.022687
600.883215,2049,142.602372
612.028844,2049,147.018268
637.82288,2049,151.295852
635.120415,2049,155.571463
579.026164,2049,159.887975
586.190236,2049,164.485269
607.428657,2049,169.078557
468.63733,1332,171.964876
648.859277,2049,176.150753
692.795966,2049,180.484099
685.245161,2049,184.712948
717.402652,2049,189.148092
558.760244,1458,192.298146
796.72885,2049,196.970336
805.856558,1921,201.333097
485.220307,1001,203.310536
374.283952,707,205.037095
955.629791,2049,209.658928
670.380617,1268,212.288352
930.99353,2049,216.75311
857.41454,2049,221.148591
879.511311,2049,225.698539
856.922311,1849,229.559529
868.566415,2049,233.920199
702.051558,1563,237.388916
943.131615,2049,241.777333
781.932601,1659,245.263374
893.888726,2049,249.824506
970.476852,2049,254.343239
1015.699971,2049,258.610591
900.316766,2049,262.928315
560.958965,1154,265.223649
840.980498,2049,269.645415
866.333729,2049,274.016006
888.260401,2049,278.302479
961.627791,2049,282.764926
975.968979,2049,287.222898
944.547865,2049,291.600127
1028.65453,2049,296.080201
1046.241381,2049,300.375142
1007.236056,2049,304.820021
1035.766073,2049,309.168618
1080.445234,2049,313.416185
1125.408837,2049,317.590503
1163.304099,2049,321.652137
515.92337,858,323.652248
152.03483,219,324.013028
374.374682,591,324.977313
132.509703,183,325.322695
179.834275,276,325.744052
205.233673,299,326.372131
171.825816,247,327.258951
758.450334,1262,329.341814
534.273131,872,331.360512
169.375192,266,331.843109
179.236505,278,332.299139
355.307448,505,333.07705
457.688887,689,334.233665
152.192253,219,335.090673
150.628636,221,335.502744
181.859617,276,335.964966
180.282833,269,336.46002
188.853592,281,336.921412
149.284717,214,337.264395
171.380666,259,337.751899
143.460175,205,338.073248
179.566006,270,338.985797
238.30474,349,339.721395
145.107904,206,340.077868
245.789141,358,340.70394
144.004573,209,341.107403
116.116504,163,341.365266
233.680612,347,341.940552
144.977176,206,342.316149
146.261617,207,343.048259
141.234891,196,343.464914
138.077708,197,343.951292
169.05065,236,344.325649
158.288905,225,344.675197
152.779162,216,345.054162
136.742123,196,345.376465
105.555446,150,345.638135
179.828522,274,346.111468
107.060703,151,346.343438
156.328651,225,347.069257
114.420746,161,347.382881
108.510776,153,347.735679
172.865584,244,348.327259
119.856455,169,348.644128
129.829787,177,348.963753
101.853065,144,349.210071
149.695899,210,349.557328
164.208637,235,350.022678
89.593301,132,350.268986
179.602375,272,351.039296
157.730362,220,351.462743
135.232472,190,351.788167
175.420885,243,352.284904
156.525404,221,352.795977
189.657192,268,353.27051
153.052519,221,353.646753
92.39725,136,353.915742
96.269193,140,354.134816
245.259034,356,354.685482
144.645764,200,355.392642
97.628361,141,355.687628
188.451287,286,356.204176
165.350298,234,356.707212
244.912528,350,357.406919
97.92507,141,357.631653
122.167326,170,357.905371
89.931554,132,358.146542
149.87164,209,358.520301
116.303457,161,358.811397
160.951392,226,359.501168
227.036896,334,360.060359
249.680793,373,360.718682
150.247933,218,361.21362
167.554097,233,361.704411
152.708993,219,362.100472
249.111843,356,362.705231
149.254445,212,363.365564
178.442381,270,363.868841
154.590934,222,364.220625
140.290041,202,364.582214
314.596311,461,365.556991
151.860976,216,365.911871
225.668482,295,366.530618
182.17296,261,366.932622
144.710965,205,367.574266
128.847496,185,367.92613
141.756456,202,368.311654
243.222761,348,368.952405
129.163222,183,369.292271
129.969924,189,369.713766
102.559779,147,369.943122
141.716961,202,370.341893
133.280132,192,370.796795
157.212875,227,371.210793
132.401584,187,371.820535
152.329087,219,372.177385
139.614889,202,372.582638
129.563769,186,372.910122
137.136625,198,373.30908
131.19074,192,373.657372
127.217012,188,374.099038
136.885421,197,374.471997
