value_loss,clipfrac,total_timesteps,serial_timesteps,fps,policy_loss,explained_variance,approxkl,time_elapsed,policy_entropy,n_updates,ep_reward_mean,ep_len_mean
0.6220728,0.06738281,2048,2048,446,-0.0069747074,0.9787329286336899,0.0060299714,1.9073486328125e-06,4.9760113,1,,
1.9566002,0.066503905,4096,4096,455,-0.005294689,0.9879440665245056,0.005632538,4.585050344467163,4.9416375,2,1215.903008,2049.0
5.4494715,0.064257815,6144,6144,459,-0.006502056,0.8355517685413361,0.004762321,9.083356857299805,4.924316,3,1480.762058,2049.0
11.857818,0.021044921,8192,8192,503,-0.0031956867,0.8492578119039536,0.0022399456,13.537143468856812,4.9220886,4,952.2520963999998,1457.6
8.756857,0.04868164,10240,10240,420,-0.006361409,0.7513189166784286,0.0038945794,17.604950189590454,4.9183116,5,975.1417634999998,1523.1666666666667
7.536908,0.072265625,12288,12288,367,-0.0053851814,0.7648181170225143,0.0059074415,22.473140954971313,4.922127,6,1003.3095442857141,1598.2857142857142
8.370092,0.06845703,14336,14336,422,-0.005953447,0.7512696981430054,0.0057752426,28.04276132583618,4.930381,7,1025.617656375,1654.625
21.991116,0.020947266,16384,16384,456,-0.0036085725,0.6407166123390198,0.0021009736,32.89289045333862,4.9378996,8,987.8728776,1611.0
9.6112,0.05805664,18432,18432,464,-0.003997298,0.7110046446323395,0.0047697457,37.37928295135498,4.95023,9,1008.4965674545455,1650.8181818181818
4.7550497,0.039697267,20480,20480,482,-0.0051063653,0.9124050661921501,0.0031489655,41.79181456565857,4.950274,10,950.9280354166666,1565.25
9.105002,0.064501956,22528,22528,428,-0.008636534,0.9466122463345528,0.0061338353,46.03387188911438,4.9406085,11,975.4628777692307,1602.4615384615386
18.890472,0.04345703,24576,24576,451,-0.0032480434,0.8752717822790146,0.003760517,50.81483817100525,4.934352,12,1032.977739,1634.357142857143
18.912382,0.10078125,26624,26624,452,-0.0057968693,0.8791470006108284,0.007756862,55.34959149360657,4.9297156,13,1081.7303816666667,1662.0
28.481531,0.019628907,28672,28672,472,-0.0023816347,0.8178653419017792,0.0018767745,59.87686467170715,4.9344606,14,1071.7047675294116,1611.2941176470588
21.861773,0.020117188,30720,30720,456,-0.003472474,0.8187977373600006,0.0018798856,64.21571016311646,4.933068,15,1086.348341,1635.611111111111
1.2520491,0.03354492,32768,32768,442,-0.0084312055,0.9918828960508108,0.0031326283,68.70408058166504,4.930056,16,1076.1358898421051,1617.2631578947369
19.034994,0.027441407,34816,34816,430,-0.0012340702,0.9123243317008018,0.0024506603,73.32912635803223,4.929163,17,1081.1954065714285,1608.1904761904761
22.588047,0.026123047,36864,36864,427,-0.0024437725,0.9107058346271515,0.0026238293,78.08316826820374,4.924288,18,1078.1210326086955,1582.8260869565217
10.649272,0.019091796,38912,38912,489,-0.0025916912,0.901779979467392,0.0019805345,82.87359881401062,4.920927,19,1026.9507542,1518.64
20.875488,0.06850586,40960,40960,449,-0.008183929,0.8914621025323868,0.0053322082,87.0604796409607,4.9166307,20,1050.5820007692307,1539.0384615384614
1.6915859,0.07675781,43008,43008,459,-0.0060685272,0.9906603181734681,0.005911503,91.618807554245,4.9213076,21,1033.6425087777777,1518.111111111111
19.55923,0.066503905,45056,45056,465,-0.0034363992,0.8835954442620277,0.0054992745,96.08117270469666,4.9219313,22,1060.9429586071426,1537.0714285714287
22.856619,0.019433593,47104,47104,478,-0.0022185384,0.8759410008788109,0.0018661426,100.47769260406494,4.914625,23,1059.9533072666666,1523.3666666666666
