approxkl,n_updates,policy_loss,clipfrac,value_loss,explained_variance,time_elapsed,fps,ep_len_mean,serial_timesteps,policy_entropy,total_timesteps,ep_reward_mean
0.0031807586,1,-0.0019892775,0.029541016,37.8484,-0.005628705024719238,1.9073486328125e-06,453,912.5,2048,1.4167382,2048,433.2616385
0.0024896641,2,-0.0015216194,0.022021484,38.818386,-0.010586261749267578,4.520244121551514,412,743.6,4096,1.411267,4096,377.3145402
0.0029602365,3,-0.002790365,0.028564453,36.24196,0.021785438060760498,9.484544277191162,417,752.625,6144,1.406973,6144,387.98896287499997
0.0024631158,4,-0.002374024,0.022460938,16.592766,-0.003568887710571289,14.396093606948853,406,896.6666666666666,8192,1.4075907,8192,421.54455399999995
0.0021016768,5,-0.0005721672,0.013427734,22.658943,0.07074201107025146,19.433841705322266,438,1011.9,10240,1.4065316,10240,459.50551419999994
0.0018579751,6,-0.0016225757,0.015820313,18.02187,0.002007722854614258,24.10328507423401,429,937.5454545454545,12288,1.4022853,12288,431.69023472727264
0.002034629,7,-0.0017341552,0.016455078,30.324697,0.07450801134109497,28.874468088150024,443,1007.8461538461538,14336,1.4045477,14336,452.6417746153845
0.0025407248,8,-0.0026173398,0.023046875,23.654865,0.05701756477355957,33.488059997558594,469,1025.4,16384,1.4049969,16384,453.3397875999999
0.0032160003,9,-0.0019849692,0.03725586,23.723274,0.12062042951583862,37.848835468292236,466,1036.2941176470588,18432,1.4009786,18432,455.943003
0.004277981,10,-0.0038316816,0.047070313,19.371515,0.1429368257522583,42.2354953289032,458,1092.5555555555557,20480,1.399585,20480,476.24219650000003
0.0028463074,11,-0.002383822,0.029150391,29.421408,0.15276432037353516,46.70010852813721,464,1013.8636363636364,22528,1.3837142,22528,445.52164149999993
0.0037924286,12,-0.002425142,0.043115236,35.7129,0.2643139958381653,51.1053569316864,469,959.52,24576,1.3748429,24576,432.30992016000005
0.0026892084,13,-0.002454425,0.02758789,18.832848,0.2521015405654907,55.465906620025635,456,946.1923076923077,26624,1.3757344,26624,429.77601646153846
0.0030262298,14,-0.0033190195,0.030810546,24.509832,0.288809597492218,59.952446699142456,447,987.0370370370371,28672,1.3608186,28672,444.98804603703707
0.0016748356,15,-0.0012588921,0.010351563,31.122284,0.24683266878128052,64.53116607666016,460,974.8,30720,1.3451859,30720,445.9960803000001
0.0023483522,16,-0.0012847697,0.02055664,28.470007,0.3359832763671875,68.97831702232361,462,994.0,32768,1.3533721,32768,460.39528515625005
0.0030906808,17,-0.0008184336,0.034814455,27.165823,0.3237975239753723,73.40887784957886,460,960.6111111111111,34816,1.3664901,34816,450.5126725000001
0.00280613,18,-0.002181518,0.024316406,15.1265135,0.2239360213279724,77.85563135147095,437,969.5,36864,1.3599006,36864,452.1294445263159
0.002522776,19,-0.0021174373,0.025927734,15.762522,0.23658591508865356,82.53225922584534,451,997.1794871794872,38912,1.3550014,38912,463.7663585641027
0.002536031,20,-0.0022231718,0.0234375,24.827332,0.3608042597770691,87.0657548904419,446,967.8780487804878,40960,1.352804,40960,453.06082165853667
0.0030253727,21,-0.0021225489,0.02734375,25.2773,0.353998601436615,91.65015530586243,443,949.0888888888888,43008,1.3452791,43008,448.8259896222223
0.004550742,22,-0.0035314201,0.05253906,23.60904,0.5079286396503448,96.27176594734192,470,949.304347826087,45056,1.3437239,45056,450.45768736956535
0.0033150013,23,-0.0020438046,0.03261719,22.070007,0.359374463558197,100.6243155002594,459,972.7021276595744,47104,1.3403318,47104,464.20938693617035
0.0025035155,24,-0.0020782885,0.02607422,25.070604,0.29070115089416504,105.07895064353943,452,946.0196078431372,49152,1.3384837,49152,456.42018605882356
0.0027016422,25,1.7665967e-05,0.025488282,20.10255,0.23727881908416748,109.60747814178467,451,951.8679245283018,51200,1.3316194,51200,460.1259869245283
0.003916678,26,-0.0032318295,0.045410156,25.395918,0.30995994806289673,114.16454720497131,436,931.2631578947369,53248,1.3233198,53248,454.0398805438597
0.0023008736,27,-0.0020589356,0.024316406,45.959015,0.36009931564331055,118.86061263084412,461,800.7391304347826,55296,1.3228024,55296,399.64117373913047
0.0038913277,28,-0.0013903346,0.046191406,24.67199,0.39858943223953247,123.29740238189697,469,782.056338028169,57344,1.3198106,57344,391.301001056338
0.0048588286,29,-0.0018355232,0.05356445,22.932976,0.2869744896888733,127.66201448440552,473,790.5890410958904,59392,1.3151188,59392,397.99002534246574
0.002257144,30,-0.0013898765,0.021923829,31.643112,0.3504525423049927,131.98655605316162,475,757.9875,61440,1.317281,61440,386.05807855
0.002046048,31,-0.002316272,0.019238282,29.12698,0.3806948661804199,136.2986102104187,465,745.5294117647059,63488,1.3189547,63488,383.2862738588236
0.002232901,32,-0.0005925461,0.024316406,45.655357,0.41942137479782104,140.6979537010193,448,668.7142857142857,65536,1.3234464,65536,350.03296768367346
0.0044498425,33,4.1587045e-06,0.054394532,19.767435,0.502193957567215,145.26352763175964,461,663.8484848484849,67584,1.3241894,67584,348.09311976767674
0.0018586579,34,-0.00065057195,0.015136719,34.06659,0.5269041955471039,149.7067894935608,451,636.54,69632,1.3285794,69632,337.5373615699999
0.0030076492,35,-0.00038379116,0.030029297,21.321098,0.48422884941101074,154.24360585212708,451,612.33,71680,1.3336148,71680,332.25440774
0.004160823,36,-0.0012953045,0.048291016,15.275946,0.3733817934989929,158.7816767692566,464,611.96,73728,1.3350314,73728,334.60717730000005
0.0013369488,37,-0.0017456046,0.011572266,37.237896,0.5452786386013031,163.1935384273529,455,530.89,75776,1.3345084,75776,305.83778834000003
0.0046502454,38,0.00080244493,0.05517578,19.36551,0.5197981297969818,167.68662071228027,419,538.3,77824,1.3452002,77824,310.3979366
0.0014616747,39,-0.0018192489,0.012939453,36.629353,0.6122687757015228,172.57113456726074,453,451.94,79872,1.3506583,79872,271.50482737
0.005319829,40,-0.0020361259,0.06171875,17.933971,0.5169650614261627,177.08662605285645,463,451.99,81920,1.3468482,81920,275.27753612
0.0024325706,41,-0.0018382166,0.023974609,30.031235,0.5618241131305695,181.50236868858337,475,410.37,83968,1.3284252,83968,257.25780708
0.003074191,42,-0.0027843227,0.03261719,30.094784,0.6005564332008362,185.81310319900513,479,354.25,86016,1.3284471,86016,230.33599113
0.0051260134,43,0.0012069305,0.061621092,13.0726185,0.5655275583267212,190.0840573310852,457,335.74,88064,1.329553,88064,221.56105605000002
0.0050635785,44,-0.0025017986,0.061035156,14.796819,0.4515756368637085,194.56480431556702,450,354.41,90112,1.3267289,90112,231.19787189000002
0.004552006,45,-0.0024720472,0.053613283,10.8451185,0.26970213651657104,199.1149778366089,454,373.03,92160,1.3345854,92160,239.67192990000004
0.0024471781,46,-0.0010881483,0.026757812,12.479447,0.4242079257965088,203.6218764781952,461,392.22,94208,1.3545898,94208,248.26146620000006
0.0025471481,47,-0.0036340356,0.026855469,22.80104,0.4857751131057739,208.05869817733765,452,416.06,96256,1.3553421,96256,260.11486334
0.004577243,48,-0.0015306955,0.04824219,10.005014,0.4432823657989502,212.58122730255127,480,416.09,98304,1.3425752,98304,260.130227
0.0028079138,49,9.18404e-05,0.026660156,31.908365,0.5182074010372162,216.83974480628967,485,403.61,100352,1.3293061,100352,253.00448447
0.0054246318,50,-0.004402835,0.07197265,11.87912,0.6160182654857635,221.05690741539001,469,405.59,102400,1.3335991,102400,254.47357128
0.0052035856,51,-0.001721308,0.05883789,8.9523945,0.36245352029800415,225.42314791679382,455,424.67,104448,1.3279337,104448,263.72565531
0.002903726,52,-0.003208433,0.029150391,23.238043,0.46727317571640015,229.9202105998993,479,430.73,106496,1.3163012,106496,265.97346307000004
0.0037576961,53,-0.0015550656,0.043408204,8.267703,0.39533406496047974,234.193861246109,480,449.67,108544,1.3284353,108544,275.29105563
0.004926234,54,-0.0017868014,0.059521485,7.898323,0.36282533407211304,238.45918011665344,470,468.9,110592,1.3387501,110592,284.70395956
0.002728582,55,-0.0014720332,0.022900391,5.452224,0.8047556579113007,242.81686997413635,460,487.79,112640,1.3418783,112640,290.98482458
0.003685968,56,-0.001550798,0.04272461,4.3150105,0.8414658606052399,247.26694774627686,474,506.67,114688,1.3321924,114688,297.13125359000003
0.005339804,57,-0.006225757,0.06533203,3.6431096,0.868298664689064,251.5855357646942,458,525.36,116736,1.3315771,116736,302.6375938599999
0.0023193103,58,-0.0024957347,0.019238282,15.258497,0.29388290643692017,256.04914712905884,491,529.38,118784,1.3269508,118784,303.87075022
0.0031875328,59,-0.0035158354,0.035351563,4.7499704,0.8383232206106186,260.21366930007935,476,547.95,120832,1.3265078,120832,310.68483100000003
0.0029500262,60,-0.0009766477,0.029882813,6.296279,0.41243553161621094,264.5147969722748,475,566.77,122880,1.3220726,122880,319.34263868
0.002354031,61,-0.0005181726,0.02236328,5.0091214,0.49081951379776,268.8260705471039,479,585.81,124928,1.3253998,124928,328.60332381
0.005025262,62,-0.0049273307,0.062304687,3.9614952,0.8815493211150169,273.1024901866913,475,604.77,126976,1.3219603,126976,335.2502936199999
0.0019229527,63,-0.0016677266,0.014941406,12.387943,0.3118444085121155,277.4134964942932,479,607.05,129024,1.3153868,129024,336.34982518
0.0024539467,64,-0.0010338384,0.021923829,13.886679,0.34014248847961426,281.68874859809875,444,627.77,131072,1.3126942,131072,347.30581972999994
0.0051048766,65,-0.0019378846,0.06367187,18.694778,0.3934447169303894,286.2984719276428,463,613.19,133120,1.3146567,133120,339.87273679000015
0.0050633857,66,-0.0002991631,0.058886718,9.87059,0.501395970582962,290.71395802497864,488,634.69,135168,1.3158729,135168,351.74649157000005
0.0057606115,67,-0.0037450804,0.06743164,22.91645,0.3489018678665161,294.9043028354645,467,622.98,137216,1.3181067,137216,346.95756852
0.0028325266,68,-0.0014312055,0.026757812,6.101495,0.3675615191459656,299.2811505794525,470,641.71,139264,1.323226,139264,356.28281155999997
0.0036868465,69,-0.001674895,0.036572266,5.0167227,0.4351276159286499,303.63836312294006,492,660.11,141312,1.3335644,141312,364.69916751
0.0029380866,70,-0.0010014952,0.02890625,5.2658157,0.44886666536331177,307.796993970871,472,679.08,143360,1.3441525,143360,373.5475093999999
0.0058946135,71,-0.0038177639,0.0734375,13.529312,0.3683502674102783,312.13424706459045,481,699.05,145408,1.347154,145408,383.34854573000007
0.007151615,72,-0.0064661354,0.0836914,6.413986,0.553102433681488,316.3915579319,469,700.55,147456,1.3518742,147456,384.1774607800001
0.00518396,73,-0.0022533108,0.061816406,6.10635,0.5156618058681488,320.75452637672424,496,700.55,149504,1.3536896,149504,383.17379705
0.0021793575,74,-0.00092927634,0.021337891,14.501399,0.36588984727859497,324.883136510849,494,722.01,151552,1.3554304,151552,393.90854122999997
0.0055843526,75,-0.0027968674,0.07148437,4.4354463,0.6776660084724426,329.0280351638794,480,740.8,153600,1.3563403,153600,402.34747786
0.0050095534,76,-0.0005528224,0.057958983,3.4261174,0.9221126213669777,333.2953736782074,491,759.35,155648,1.3630235,155648,408.8236268199999
0.003843546,77,-0.0010172313,0.042578124,6.4797845,0.4428659677505493,337.46323919296265,509,778.35,157696,1.3663547,157696,418.38886686
0.0061709443,78,-0.0062282747,0.06918945,11.603467,0.3856068253517151,341.481486082077,477,793.18,159744,1.3836458,159744,426.62499669000005
0.0018683797,79,-0.0017887118,0.016992187,16.72067,0.371645987033844,345.7726094722748,480,815.13,161792,1.3972255,161792,438.39119626
0.003921027,80,-0.0022739442,0.043164063,5.556002,0.4446977376937866,350.0394399166107,441,834.0,163840,1.394168,163840,448.58946917000003
0.004587576,81,-0.0014505831,0.055322267,11.150953,0.5300489664077759,354.67519307136536,456,835.38,165888,1.3879911,165888,448.23466636999996
0.0045515425,82,-0.0023481478,0.055761717,2.9050822,0.8703502267599106,359.1633288860321,476,853.99,167936,1.3851984,167936,456.33539988000007
0.0067713126,83,-0.003826452,0.086035155,3.0386872,0.9450361542403698,363.4620292186737,470,872.51,169984,1.3951243,169984,462.13793514
0.007453475,84,-0.0052809087,0.08881836,4.8228703,0.7709473669528961,367.8122777938843,474,890.2,172032,1.4149889,172032,470.1202264400001
0.003378721,85,-0.0029001893,0.037890624,10.828767,0.44423699378967285,372.12779235839844,462,900.55,174080,1.4186108,174080,476.05843864
0.004920754,86,-0.0019205728,0.06328125,5.791135,0.44207465648651123,376.55209136009216,477,918.22,176128,1.4355081,176128,485.55086665000005
0.003027078,87,-0.0037818167,0.031347655,24.00498,0.3999398946762085,380.8448622226715,483,937.65,178176,1.441684,178176,496.54036746
0.0038965563,88,-0.0027808254,0.044189453,37.16231,0.46345770359039307,385.0780506134033,492,938.9,180224,1.447229,180224,498.44992417000003
0.0024649247,89,-0.0013180627,0.024023438,40.367023,0.40710264444351196,389.2388210296631,488,868.37,182272,1.4528307,182272,465.77978841
0.004321068,90,-0.0008997321,0.05444336,48.28692,0.4757039546966553,393.4280905723572,464,847.31,184320,1.4570198,184320,456.19722179999997
0.001681176,91,-0.0009907348,0.01225586,32.87516,0.44006168842315674,397.8414993286133,480,856.05,186368,1.4588612,186368,461.34864476999996
0.003056667,92,-0.0011318271,0.031542968,24.701923,0.4779300093650818,402.1050601005554,474,825.2,188416,1.4574904,188416,448.09049196999985
