serial_timesteps,total_timesteps,time_elapsed,fps,value_loss,policy_entropy,policy_loss,clipfrac,n_updates,ep_reward_mean,explained_variance,approxkl,ep_len_mean
2048,2048,1.9073486328125e-06,433,4.7318683,1.4164175,-0.0036330645,0.026708985,1,148.8689425,0.03163611888885498,0.0027425862,754.0
4096,4096,4.728266716003418,470,4.487061,1.4214438,-0.003079428,0.03769531,2,103.88680771428572,0.15053212642669678,0.0034237462,536.4285714285714
6144,6144,9.085673332214355,437,10.568175,1.4419297,-0.0020268066,0.018066406,3,142.2272502222222,0.04589563608169556,0.001815586,633.4444444444445
8192,8192,13.763800621032715,369,11.051998,1.4560082,-0.004301537,0.03388672,4,176.7823638181818,-0.18046140670776367,0.0032213447,724.7272727272727
10240,10240,19.300337314605713,405,14.531805,1.4620125,-0.0018453477,0.016015625,5,165.73433266666666,-0.02151167392730713,0.002097066,683.1666666666666
12288,12288,24.349475383758545,433,13.814618,1.461006,-0.0033974636,0.031396486,6,226.69698907142856,-0.015524506568908691,0.0031162826,830.5
14336,14336,29.078099727630615,425,16.888096,1.4585891,-0.0012213768,0.0107421875,7,252.5287620625,0.041716933250427246,0.0018341582,873.4375
16384,16384,33.892614126205444,391,17.960201,1.4718766,-0.0015537366,0.026513672,8,284.3647734705882,0.0705379843711853,0.002717262,942.5882352941177
18432,18432,39.12985873222351,392,17.03363,1.4820998,-0.0010225602,0.0078125,9,312.05719766666664,-0.07773375511169434,0.0012362151,1004.0555555555555
20480,20480,44.34959387779236,435,14.506857,1.4786731,-0.001416276,0.012402344,10,331.36634499999997,0.0014333724975585938,0.0019388873,1044.157894736842
22528,22528,49.05023169517517,442,9.651075,1.4719822,-0.004068653,0.025927734,11,349.24892725,0.018302857875823975,0.002705435,1094.4
24576,24576,53.67418313026428,450,7.547857,1.4570979,-0.0015846447,0.021191407,12,360.72620404761904,-0.08541345596313477,0.0025004807,1139.857142857143
26624,26624,58.22367882728577,431,7.8580613,1.4556005,-0.0016726758,0.020947266,13,374.0843367727273,0.018361210823059082,0.0022972813,1181.1818181818182
28672,28672,62.96960496902466,363,7.6995783,1.4520737,-0.002712989,0.03491211,14,384.95258121739136,0.04999822378158569,0.0033420785,1218.9130434782608
30720,30720,68.60560345649719,329,6.7823553,1.4406497,-0.0011363039,0.024316406,15,395.5806425,0.002712249755859375,0.0025396121,1253.5
32768,32768,74.8279881477356,358,7.0258226,1.4400879,-0.0014784003,0.032666016,16,405.75835836,0.12378346920013428,0.0035048951,1285.32
34816,34816,80.54543352127075,358,6.623329,1.4478257,-0.0013861114,0.017480468,17,414.3444028076923,-0.0016143321990966797,0.001941815,1314.6923076923076
36864,36864,86.26642274856567,349,7.4259443,1.4467119,-0.0032242383,0.042773437,18,424.32314096296295,0.0034747719764709473,0.0036915354,1341.888888888889
38912,38912,92.12127089500427,343,7.9512777,1.4268221,-0.0017837283,0.018554688,19,433.683607,0.05623847246170044,0.0024885836,1367.142857142857
40960,40960,98.086754322052,343,6.819314,1.4228133,-0.0032269459,0.041064452,20,442.64709737931037,0.06424599885940552,0.0035112016,1390.655172413793
43008,43008,104.05271244049072,350,5.611396,1.4377061,-0.0021655322,0.044970702,21,448.9997408666667,-0.007537961006164551,0.003984361,1412.6
45056,45056,109.901118516922,325,7.7139077,1.4459958,-0.0024085015,0.028808594,22,457.3666246451613,-0.06768035888671875,0.0030045165,1433.1290322580646
47104,47104,116.18799638748169,332,6.346636,1.4519006,-0.0026254097,0.04008789,23,464.74300012500004,0.08683758974075317,0.003714493,1452.375
49152,49152,122.34846663475037,360,10.679197,1.4520983,-0.0021709674,0.042822264,24,474.54488509090913,-0.23856306076049805,0.0037953511,1470.4545454545455
51200,51200,128.0313458442688,345,10.7524395,1.4591197,-0.0020151814,0.023876954,25,484.02770785294115,0.05034136772155762,0.0024586418,1487.4705882352941
53248,53248,133.97628092765808,355,8.00239,1.4699576,-0.0036933408,0.039941408,26,492.11848491428566,0.04303818941116333,0.003569388,1503.5142857142857
55296,55296,139.73596811294556,360,11.409494,1.4626317,-0.0037896675,0.03564453,27,502.9470110555555,0.10553759336471558,0.003487467,1518.6666666666667
57344,57344,145.4175374507904,354,11.584251,1.4492908,-0.0029259196,0.03149414,28,512.5900449999999,-0.002451181411743164,0.0030626897,1533.0
59392,59392,151.19211268424988,361,14.13555,1.468628,-0.0035617012,0.038378906,29,523.5683365526315,0.06108295917510986,0.0035778072,1546.578947368421
