policy_loss,n_updates,time_elapsed,policy_entropy,clipfrac,explained_variance,total_timesteps,value_loss,serial_timesteps,fps,approxkl,ep_len_mean,ep_reward_mean
-0.0071955165,1,2.384185791015625e-06,2.5078058,0.0609375,0.9812687877565622,2048,0.76431906,2048,438,0.005540598,,
-0.0025826038,2,4.669684648513794,2.4928427,0.028173828,0.8894407451152802,4096,9.428196,4096,424,0.0027200955,1190.0,750.5656395
-0.0018078346,3,9.490593671798706,2.4870636,0.025732422,0.7940752059221268,6144,11.533167,6144,445,0.0025689697,1476.3333333333333,953.9092963333333
-0.0021371893,4,14.091477870941162,2.4897032,0.045996092,0.79996258020401,8192,17.207151,8192,479,0.0038877695,1361.2,860.7910511999999
-0.0024477837,5,18.359580993652344,2.4992929,0.043554686,0.8221899271011353,10240,16.595715,10240,410,0.0041324273,1386.4285714285713,873.6897628571427
-0.0025993378,6,23.343549013137817,2.5034292,0.037353516,0.9233579337596893,12288,5.608821,12288,441,0.0036359516,1306.625,807.754719625
-0.0050635757,7,27.9867742061615,2.49494,0.06669922,0.8476840555667877,14336,11.475636,14336,484,0.0051353564,1389.111111111111,864.7064574444444
-0.0020459672,8,32.216331243515015,2.487226,0.04423828,0.8469573855400085,16384,10.588655,16384,455,0.003940097,1455.1,910.3540624
-0.0008646675,9,36.71811580657959,2.4706764,0.06293945,0.8501282781362534,18432,9.061926,18432,472,0.0053599076,1509.090909090909,949.6707839090908
-0.0033528744,10,41.05480241775513,2.4776146,0.054980468,0.7948758751153946,20480,12.095884,20480,473,0.0048217215,1554.0833333333333,985.4960987499999
-0.007785066,11,45.37680101394653,2.49431,0.07607422,0.7114278972148895,22528,21.540943,22528,479,0.0067614242,1458.4666666666667,913.3433339333334
-0.0014576095,12,49.64631748199463,2.5120997,0.05859375,0.8430054038763046,24576,19.989658,24576,464,0.0056470884,1362.0,844.7997428333333
-0.008140216,13,54.05488872528076,2.5149906,0.08149414,0.7949717491865158,26624,11.875059,26624,467,0.006271667,1398.157894736842,872.7660128421052
-0.0053211087,14,58.432268142700195,2.5215065,0.053710938,0.8138521015644073,28672,17.15595,28672,454,0.004759631,1259.8636363636363,777.1772552272724
-0.004873124,15,62.93880367279053,2.5251024,0.10751953,0.8497956395149231,30720,9.11771,30720,511,0.009151555,1294.1739130434783,800.1108567826085
-0.0033419891,16,66.94295883178711,2.533544,0.08725586,0.7903513759374619,32768,16.079098,32768,498,0.00700724,1290.4,797.5791451199999
-0.005038185,17,71.05263686180115,2.5493128,0.05444336,0.8151885867118835,34816,16.494713,34816,483,0.004615417,1284.2222222222222,794.904547111111
-0.00040598935,18,75.28529095649719,2.5544617,0.04135742,0.8307544589042664,36864,20.979311,36864,481,0.004695625,1154.7096774193549,706.1216426774192
-0.0035038802,19,79.54243803024292,2.5637777,0.053466797,0.8434912413358688,38912,15.240013,38912,470,0.0041197147,1156.090909090909,708.1201232121213
-0.004006155,20,83.89638781547546,2.5822296,0.06962891,0.8204615861177444,40960,10.97736,40960,484,0.006958938,1182.3529411764705,725.5762817058824
-0.007866376,21,88.12664699554443,2.5995953,0.06171875,0.8086671382188797,43008,17.956572,43008,403,0.0051602395,1183.861111111111,727.8235979444444
-0.00056701334,22,93.20671343803406,2.6168764,0.054492187,0.8142409026622772,45056,16.656914,45056,459,0.005037066,1183.921052631579,729.2138123421053
-0.006484798,23,97.66422653198242,2.6404395,0.04082031,0.8786567002534866,47104,12.928195,47104,484,0.003614061,1140.975,699.001734475
-0.0010017891,24,101.89201784133911,2.6682446,0.039111327,0.8835734575986862,49152,10.901015,49152,505,0.0032609054,1140.7142857142858,699.1367468809524
-0.005903556,25,105.94268846511841,2.677834,0.051367186,0.8982489183545113,51200,15.377556,51200,507,0.004318555,1097.3260869565217,670.275372173913
-0.0032159209,26,109.98905968666077,2.6850913,0.057910156,0.8917266353964806,53248,15.582545,53248,504,0.005615666,1081.1224489795918,660.0136684081634
-0.0035708342,27,114.05238151550293,2.6985557,0.026171874,0.9438684247434139,55296,4.529128,55296,504,0.002483747,1068.06,650.7911895000001
-0.002801568,28,118.11082696914673,2.7024705,0.0484375,0.8174417912960052,57344,11.98546,57344,501,0.0043205186,1087.2941176470588,665.3330722941178
-0.0025343685,29,122.19383454322815,2.7037745,0.028515626,0.8510290831327438,59392,16.244547,59392,488,0.00286541,1098.0188679245282,671.8491898490566
-0.0030453561,30,126.39068818092346,2.7111497,0.031835936,0.8162003755569458,61440,27.437216,61440,472,0.0028870397,1077.2105263157894,657.4299784736843
-0.0062098047,31,130.72887754440308,2.7206388,0.07143555,0.9418434426188469,63488,5.244215,63488,349,0.006280195,1062.5862068965516,647.3789097758621
-0.001514205,32,136.5914740562439,2.7269921,0.028222656,0.8270777463912964,65536,12.496975,65536,392,0.0028486834,1079.3050847457628,658.7831547457627
-0.0043331943,33,141.81540942192078,2.7115989,0.04057617,0.8797265142202377,67584,9.230179,67584,485,0.0037732914,1095.4666666666667,669.7254896833333
