fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,time_elapsed,policy_loss,approxkl,total_timesteps,ep_reward_mean,ep_len_mean
327,0.9864869890734553,3.1269147,1,2048,0.54613507,0.036474608,1.9073486328125e-06,-0.005230642,0.0034162838,2048,,
343,0.9123613387346268,3.1253812,2,4096,7.0259085,0.03725586,6.251941204071045,-0.00110731,0.003570723,4096,1159.092439,1802.5
332,0.7778517454862595,3.133949,3,6144,13.656385,0.024658203,12.207352876663208,-0.0040170075,0.0024696696,6144,1213.1978093333335,1884.6666666666667
445,0.8467879295349121,3.1433306,4,8192,14.893598,0.049804688,18.365163803100586,-0.003797174,0.004375146,8192,1012.90691,1596.8
393,0.847772017121315,3.1444852,5,10240,8.423896,0.03466797,22.959383726119995,-0.0040960326,0.0033713758,10240,1009.1606376666667,1595.5
387,0.8334777504205704,3.1407375,6,12288,9.162153,0.032421876,28.161913633346558,-0.0043694624,0.003059863,12288,1000.9321434285714,1592.0
341,0.8531392216682434,3.1384234,7,14336,20.374586,0.043017577,33.4473352432251,-0.0076286243,0.0051718494,14336,797.9712837272727,1302.090909090909
348,0.806158259510994,3.1462154,8,16384,20.145296,0.03378906,39.43669271469116,-0.0027027181,0.0033106655,16384,707.3836464285714,1164.9285714285713
435,0.9117298051714897,3.1526039,9,18432,3.8823636,0.057617188,45.32011651992798,-0.0024182312,0.005131239,18432,673.8119920666667,1113.0666666666666
432,0.8272084593772888,3.1699166,10,20480,12.819384,0.042626955,50.021671772003174,-0.005716777,0.0038913856,20480,680.8891262941175,1126.0588235294117
469,0.7363721132278442,3.1787553,11,22528,15.734774,0.028808594,54.75381088256836,-0.0038764547,0.0027866904,22528,707.2831251578947,1165.421052631579
423,0.9395556151866913,3.182871,12,24576,6.013918,0.050390624,59.11241436004639,-0.006230419,0.004231267,24576,657.1120355238095,1087.142857142857
381,0.9406590946018696,3.1809926,13,26624,3.817018,0.0375,63.944555044174194,-0.0042174426,0.003715971,26624,678.7331338636363,1117.8181818181818
433,0.6503705382347107,3.181828,14,28672,7.9426813,0.06704102,69.31970071792603,-0.00686775,0.006203213,28672,709.0519321304347,1158.304347826087
523,0.7557353675365448,3.1968482,15,30720,25.347353,0.03515625,74.04149079322815,-0.0037242423,0.003272641,30720,685.1985834814815,1126.2962962962963
496,0.8880181163549423,3.201877,16,32768,5.386351,0.04741211,77.95276403427124,-0.005482624,0.003854856,32768,707.3416243571429,1158.142857142857
463,0.9035835787653923,3.206538,17,34816,7.0974874,0.038330078,82.08044195175171,-0.0029310838,0.0036603701,34816,678.9176278,1117.5
492,0.9450930804014206,3.2142558,18,36864,3.8950188,0.028027344,86.4992527961731,-0.0016796136,0.0026605409,36864,696.2450111290323,1144.258064516129
420,0.7855115830898285,3.2178032,19,38912,20.257427,0.058984376,90.66183638572693,-0.0064074784,0.0049187723,38912,680.536420382353,1121.4411764705883
430,0.8105985671281815,3.2302933,20,40960,9.663241,0.051171876,95.52928853034973,-0.005312977,0.004390607,40960,698.9507468285715,1147.942857142857
423,0.8956570327281952,3.2284818,21,43008,5.163321,0.028564453,100.28468489646912,-0.0011169577,0.0029106576,43008,695.11518375,1140.4444444444443
412,0.7198616564273834,3.2324748,22,45056,16.44085,0.058789063,105.12575721740723,-0.0050904346,0.004958835,45056,694.6810574736843,1138.0263157894738
497,0.841206505894661,3.2440038,23,47104,8.619098,0.07954101,110.09224677085876,-0.0057513723,0.0062958114,47104,713.3759382307692,1161.3846153846155
495,0.8176579028367996,3.2456925,24,49152,17.170246,0.030029297,114.21160912513733,-0.0039491216,0.0029018628,49152,717.7363879268291,1170.9268292682927
512,0.8052864074707031,3.2358482,25,51200,16.316751,0.05366211,118.34747886657715,-0.0077703036,0.0047376407,51200,717.8279249999999,1170.139534883721
460,0.6254165172576904,3.2373383,26,53248,11.790961,0.06137695,122.36512994766235,-0.0026343628,0.0049582976,53248,732.325568090909,1190.1136363636363
426,0.6972993612289429,3.233321,27,55296,9.952036,0.060595702,126.81062293052673,-0.0010343418,0.005326371,55296,744.3498680888889,1209.2
385,0.7654429972171783,3.2259297,28,57344,17.715448,0.025878906,131.60878944396973,-0.00025283842,0.0025755712,57344,745.9585760638298,1210.2978723404256
408,0.7615438252687454,3.2338815,29,59392,13.451205,0.051123045,136.92204904556274,-0.0039233756,0.004808967,59392,758.08018575,1227.7708333333333
412,0.6385173797607422,3.2221744,30,61440,12.0708685,0.07700195,141.9391770362854,-0.0041646557,0.0064356946,61440,769.7525239795918,1244.530612244898
458,0.8068136125802994,3.2048218,31,63488,10.2198305,0.042382814,146.90568351745605,-0.0020416803,0.0038144407,63488,781.1606758400001,1260.62
406,0.7430017590522766,3.2030835,32,65536,18.382793,0.04482422,151.37452864646912,-0.0036923985,0.003732346,65536,780.9983308076924,1259.7115384615386
442,0.9143697321414948,3.20592,33,67584,5.7594905,0.03696289,156.41144037246704,-0.0036567834,0.003148352,67584,769.5655991509435,1242.7358490566037
437,0.7641916573047638,3.2129188,34,69632,10.14332,0.08271484,161.04515409469604,-0.0041709067,0.0063804896,69632,779.2147727962963,1257.6666666666667
425,0.7814375907182693,3.216219,35,71680,11.495639,0.05673828,165.73173022270203,-0.0047138357,0.0052385805,71680,787.884171,1272.0545454545454
365,0.8411252051591873,3.2116272,36,73728,16.669458,0.05708008,170.54626774787903,-0.0033505806,0.0046841423,73728,785.3683510701754,1269.298245614035
