value_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,ep_reward_mean,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates
4.935703,345.5,1.6689300537109375e-06,3.9242005,2048,130.380964,2048,453,0.9613754563033581,-0.0040745074,0.058789063,0.004900934,1
15.663305,955.5,4.512725591659546,3.9273746,4096,561.474219,4096,455,0.8522791266441345,-0.0022616654,0.025537109,0.002435345,2
8.966894,1173.2,9.007762670516968,3.9269779,6144,718.9798478,6144,459,0.8709132522344589,-0.004488566,0.030615235,0.0029389795,3
9.806723,1319.1666666666667,13.465618133544922,3.9237695,8192,826.6489193333333,8192,469,0.8842226639389992,-0.0049650082,0.032226562,0.0029135225,4
9.529435,1423.4285714285713,17.8250834941864,3.9257045,10240,903.0864748571429,10240,467,0.8776811882853508,-0.004424903,0.036376953,0.0032276635,5
7.502496,1489.375,22.2054181098938,3.9249198,12288,960.894361625,12288,458,0.9278631880879402,-0.0032405793,0.03564453,0.0034246542,6
16.68168,1178.1666666666667,26.671325206756592,3.9192169,14336,724.0958369166666,14336,470,0.7789787650108337,-0.0015303311,0.032714844,0.0030872123,7
20.487494,1018.875,31.02730417251587,3.9107976,16384,603.5289366874999,16384,471,0.655952125787735,-0.0031020627,0.027832031,0.0026953479,8
5.4314694,1039.4117647058824,35.371686935424805,3.9103043,18432,621.0314981764704,18432,480,0.9346598014235497,-0.006521538,0.04272461,0.0038139434,9
13.497383,1063.3684210526317,39.63870620727539,3.91841,20480,632.0937806842105,20480,462,0.8677819073200226,-0.0022457815,0.029345702,0.0026780074,10
4.4438276,1040.6,44.07144808769226,3.9301167,22528,614.94428135,22528,468,0.9175306558609009,-0.0049743294,0.051660158,0.0043002586,11
14.588847,1066.7727272727273,48.440765142440796,3.9268298,24576,628.4155476818182,24576,466,0.8129412978887558,-0.0030312713,0.019824218,0.0019565532,12
11.63676,1109.4782608695652,52.83255314826965,3.9322803,26624,656.593311173913,26624,454,0.7372286319732666,-0.0053713103,0.085351564,0.0078335535,13
4.5660253,1147.2083333333333,57.34234571456909,3.9425747,28672,684.2604965,28672,455,0.9474155195057392,-0.0019274832,0.032568358,0.003097206,14
8.79582,1183.28,61.83502149581909,3.940839,30720,709.75145996,30720,455,0.8306551575660706,-0.0033930521,0.05288086,0.004737174,15
9.732077,1216.576923076923,66.33351516723633,3.9523845,32768,729.7032102307693,32768,450,0.746127188205719,-0.0024700325,0.059326172,0.005318066,16
10.832729,1201.607142857143,70.8816385269165,3.9612927,34816,718.0498472857143,34816,459,0.8780376315116882,-0.004486042,0.031542968,0.0031358642,17
7.893283,1230.8275862068965,75.33839893341064,3.9665432,36864,742.5979249655173,36864,454,0.9133432358503342,-0.0031869537,0.043652344,0.003595513,18
12.376791,1258.1,79.84376096725464,3.9768322,38912,764.0125145333334,38912,468,0.8355453312397003,-0.0016132316,0.011816407,0.00138495,19
5.330488,1258.4516129032259,84.2148962020874,3.9678187,40960,764.1044743548388,40960,456,0.9513450153172016,-0.004771673,0.03251953,0.003176028,20
20.73318,1256.3529411764705,88.70129632949829,3.9642015,43008,765.4364917647059,43008,457,0.7897924333810806,-0.0025239703,0.013769532,0.0016325464,21
11.445491,1279.0,93.17626333236694,3.968206,45056,782.1190260285714,45056,462,0.8231577724218369,-0.0021863831,0.011572266,0.0014344382,22
9.76301,1300.388888888889,97.60197806358337,3.9638457,47104,799.5616850833334,47104,456,0.8789452537894249,-0.0060223523,0.07011719,0.0055513736,23
15.385165,1320.6216216216217,102.09067034721375,3.9663231,49152,812.011588918919,49152,465,0.6539013981819153,-0.0023282573,0.035546876,0.003473762,24
9.12044,1304.0,106.49024891853333,3.9695156,51200,800.4027488157896,51200,469,0.8348340690135956,-0.004146011,0.024804687,0.0023938736,25
8.417361,1320.2564102564102,110.86464190483093,3.9757245,53248,811.5813331282052,53248,464,0.9081754386425018,-0.0053138016,0.035888672,0.0032495249,26
12.232801,1338.475,115.27760314941406,3.9794414,55296,827.1239869000001,55296,454,0.8399400413036346,-0.005013278,0.031640626,0.0036746047,27
17.867313,1298.8636363636363,119.78912806510925,3.981751,57344,799.6328664772726,57344,469,0.749131828546524,-0.0024080712,0.026953125,0.0024412728,28
11.904094,1290.2826086956522,124.15330338478088,3.9935231,59392,793.4526235652173,59392,473,0.8396757543087006,-0.00675639,0.030712891,0.0027570631,29
4.035346,1275.2553191489362,128.47896027565002,3.9925237,61440,782.1232789361701,61440,464,0.9600583612918854,-0.0040634777,0.037158202,0.0033705882,30
20.356356,1278.6530612244899,132.89070415496826,3.9875197,63488,786.6502432040817,63488,480,0.7656773179769516,-0.0013476269,0.021191407,0.0022239126,31
10.414443,1294.06,137.15178608894348,3.9900615,65536,796.08835418,65536,452,0.7301596105098724,-0.004627279,0.050585937,0.004327315,32
10.656692,1308.862745098039,141.6762194633484,3.9913507,67584,804.9336339607844,67584,456,0.7264521420001984,-0.00540091,0.09165039,0.0071134297,33
11.235316,1323.0961538461538,146.16438841819763,3.992581,69632,814.8159976538462,69632,468,0.7470123469829559,-0.0015623651,0.03540039,0.0031158812,34
4.860222,1319.8867924528302,150.54081082344055,3.9857337,71680,812.9869393207548,71680,463,0.9514871314167976,-0.005026645,0.048583984,0.004215435,35
