approxkl,serial_timesteps,value_loss,time_elapsed,total_timesteps,policy_entropy,fps,explained_variance,ep_reward_mean,clipfrac,n_updates,ep_len_mean,policy_loss
0.0028831593,2048,15.159259,1.9073486328125e-06,2048,4.5428095,520,0.8603856861591339,224.112705,0.030859375,1,475.3333333333333,-0.0053107794
0.0030781024,4096,18.212421,3.9345309734344482,4096,4.5313296,519,0.9260370805859566,257.09090019999996,0.029101562,2,529.2,-0.0065118084
0.0033281252,6144,25.903454,7.874298810958862,6144,4.5208964,560,0.899331197142601,461.9320777142857,0.0359375,3,743.2857142857143,-0.0035672833
0.0012666193,8192,27.374302,11.530671834945679,8192,4.5200863,548,0.8905182406306267,563.6904455555555,0.0109375,4,858.8888888888889,-0.0016714087
0.0011999165,10240,8.6848755,15.263921976089478,10240,4.5197577,516,0.9507462754845619,561.8129250999999,0.0105957035,5,866.3,-0.0019281965
0.0037249352,12288,20.115849,19.232814073562622,12288,4.516085,539,0.8889594450592995,663.6211331818181,0.039648436,6,973.8181818181819,-0.0035418407
0.002389112,14336,33.735725,23.02768874168396,14336,4.5188346,543,0.8701414912939072,643.0761767333333,0.025537109,7,949.2,-0.0020517353
0.0015474964,16384,20.115322,26.79762864112854,16384,4.530654,594,0.649430125951767,546.349485157895,0.014208985,8,841.1052631578947,-0.00227522
0.0009823956,18432,14.308495,30.242396116256714,18432,4.5362945,586,0.8644057661294937,501.3031129545456,0.008007812,9,794.1363636363636,-0.0020678071
0.0016493248,20480,21.619366,33.73821568489075,20480,4.5323772,596,0.8504876792430878,501.91726932000006,0.016357422,10,805.76,-0.0036687558
0.0013409174,22528,23.207771,37.174692153930664,22528,4.536686,587,0.7894390225410461,471.4594916206897,0.014013672,11,775.8965517241379,-0.0020722242
0.0019927216,24576,12.602063,40.663490295410156,24576,4.53975,589,0.9372103288769722,455.0172826129033,0.021337891,12,757.5806451612904,-0.0029551198
0.0029783156,26624,22.225502,44.14005923271179,26624,4.5509725,590,0.6845498085021973,423.8752987297297,0.03300781,13,718.7567567567568,-0.0034676653
0.0033057951,28672,9.896395,47.61035490036011,28672,4.570216,544,0.9479217045009136,456.29664778947375,0.0359375,14,753.7631578947369,-0.004215981
0.0011708129,30720,6.276722,51.37278366088867,30720,4.582492,603,0.8890825435519218,458.2766017435898,0.011962891,15,759.1025641025641,-0.003822228
0.0025253012,32768,27.367092,54.76738977432251,32768,4.5832276,587,0.8011743277311325,439.749490909091,0.031103516,16,740.1136363636364,-0.005547252
0.0023327062,34816,17.379902,58.25317335128784,34816,4.590541,596,0.816679984331131,424.21895895833336,0.024365235,17,724.9166666666666,-0.0037158509
0.0022550053,36864,8.453614,61.688368797302246,36864,4.598216,590,0.9361305311322212,414.69426566000004,0.025683593,18,715.06,-0.005307673
0.002287579,38912,14.533961,65.15640783309937,38912,4.5989122,575,0.918146438896656,424.8637910769231,0.023339843,19,730.0961538461538,-0.0049235243
0.0029225715,40960,20.962399,68.71815252304077,40960,4.601983,574,0.9336977675557137,425.85177648214295,0.033691406,20,731.3035714285714,-0.0037664524
0.002482339,43008,12.53266,72.28451251983643,43008,4.6103125,555,0.9418148919939995,444.85401673684214,0.025,21,754.421052631579,-0.0035444777
0.0031099652,45056,16.859772,75.97195076942444,45056,4.6158113,527,0.6007272601127625,427.18651549180333,0.035888672,22,733.0327868852459,-0.0069282786
0.0008629662,47104,14.139746,79.8534779548645,47104,4.6228585,576,0.9078197404742241,425.58280206250004,0.006201172,23,733.640625,-0.0015311213
0.0023653572,49152,19.845896,83.40652704238892,49152,4.610637,538,0.9133642688393593,443.253652723077,0.024316406,24,753.876923076923,-0.00237593
0.002922871,51200,5.047122,87.2100477218628,51200,4.6008444,578,0.9703083075582981,455.18005731818187,0.032910157,25,769.3484848484849,-0.0044166557
0.003872363,53248,10.812878,90.7610592842102,53248,4.6103845,568,0.9597394615411758,446.4537884705883,0.040283203,26,758.0147058823529,-0.0073947445
0.0016894003,55296,23.65079,94.36326575279236,55296,4.6251283,542,0.9180249720811844,457.9628969285715,0.016162109,27,769.3428571428572,-0.0020932811
0.0028647543,57344,22.745197,98.14040446281433,57344,4.633724,542,0.9239218831062317,468.5250458472222,0.030615235,28,778.5555555555555,-0.0022426283
0.004125924,59392,22.486038,101.9159004688263,59392,4.626565,545,0.8814289793372154,485.0174557671233,0.052197266,29,795.9589041095891,-0.0045310915
0.0024921517,61440,25.645908,105.67069172859192,61440,4.6134577,571,0.9070781767368317,495.0355177733333,0.02626953,30,808.5733333333334,-0.005924962
0.0014792087,63488,20.709656,109.25238752365112,63488,4.6094313,580,0.869668260216713,501.77554063636364,0.014453125,31,819.1558441558442,-0.004314604
0.0012247688,65536,10.685805,112.78085350990295,65536,4.608018,580,0.9399452172219753,494.1127418354431,0.010058594,32,810.8227848101266,-0.003736886
0.0021809153,67584,23.864052,116.31089162826538,67584,4.6027193,567,0.8736341744661331,504.1183714814815,0.021728516,33,823.8888888888889,-0.0048333276
0.00053666654,69632,10.265366,119.92194867134094,69632,4.6002607,576,0.9452808573842049,507.3852245783133,0.00234375,34,829.1084337349398,-0.0024655762
0.0040670102,71680,19.858604,123.47445321083069,71680,4.595536,553,0.8785660266876221,520.2923517380952,0.046728514,35,843.6309523809524,-0.0053012595
0.005396343,73728,5.0657234,127.17667078971863,73728,4.584979,519,0.9709306377917528,519.7601496117647,0.06914063,36,843.4588235294118,-0.0033162702
