total_timesteps,serial_timesteps,time_elapsed,approxkl,policy_loss,ep_reward_mean,n_updates,ep_len_mean,explained_variance,clipfrac,fps,policy_entropy,value_loss
79872,79872,287.6450459957123,0.0047825915,-0.0007790754,133.15123889999998,39,670.85,0.0661698579788208,0.061181642,265,1.5365869,0.93290913
81920,81920,295.34880113601685,0.003130881,-0.0011287594,137.58599139999998,40,689.33,0.0959354043006897,0.034716796,266,1.5445592,1.0272661
83968,83968,303.0261435508728,0.003938244,-0.00017083288,142.16495826,41,706.69,0.10318481922149658,0.044042967,279,1.5482252,1.0519269
86016,86016,310.3587055206299,0.006778414,-0.002176476,146.80946584,42,724.76,0.05835038423538208,0.087207034,250,1.5446689,0.9673754
88064,88064,318.54303884506226,0.005575159,-0.0020892355,151.31323995,43,742.48,0.07180941104888916,0.0671875,276,1.5523603,1.0802693
90112,90112,325.95700240135193,0.0035445776,-5.2670384e-05,156.17225593999999,44,761.62,0.15518981218338013,0.035595704,265,1.5611552,1.085353
92160,92160,333.66776728630066,0.00431591,-0.00049003644,161.31491072,45,780.47,0.18542373180389404,0.050146483,293,1.573654,1.0415288
94208,94208,340.6394703388214,0.0046725646,-0.0024405576,166.20983844,46,798.92,0.016824781894683838,0.057666015,271,1.5898832,1.2060239
96256,96256,348.1880214214325,0.0063805915,-0.004242109,171.3147724,47,817.99,0.07305759191513062,0.08505859,270,1.5998007,1.1798515
98304,98304,355.7589211463928,0.0030564622,-0.0006092909,176.26521345999998,48,836.53,0.04693669080734253,0.031542968,278,1.6048126,1.1544198
100352,100352,363.1257894039154,0.006958314,-0.0045443405,181.21062987000002,49,855.38,0.06268888711929321,0.087646484,283,1.6148465,1.1878117
102400,102400,370.3480348587036,0.0038697696,-0.0043266187,186.17025017,50,874.61,0.09131360054016113,0.04633789,281,1.6286192,1.1964366
104448,104448,377.6281850337982,0.003891473,-0.001243184,191.04769328999998,51,893.12,0.1014527678489685,0.046240233,268,1.6441538,1.2444495
106496,106496,385.2580828666687,0.004900683,-0.0029835238,196.05950926999998,52,911.84,0.04234379529953003,0.059472658,258,1.6514276,1.2819893
108544,108544,393.1792938709259,0.0046087084,-0.00032055748,201.12047373,53,930.88,0.0877881646156311,0.053710938,262,1.6526539,1.2547126
110592,110592,400.9855365753174,0.004326201,-0.0015963616,206.13154861999996,54,948.87,0.06890463829040527,0.052246094,258,1.6611631,1.2902309
112640,112640,408.92058992385864,0.0027523777,0.00013932052,211.15506756,55,967.26,0.02429133653640747,0.02578125,262,1.6676947,1.2627602
114688,114688,416.71621966362,0.005354234,-0.0019430384,216.01335051,56,984.83,0.03834068775177002,0.065136716,274,1.6681871,1.3193101
116736,116736,424.17359161376953,0.0046027484,-0.0017364727,221.08641158000003,57,1003.52,0.038472771644592285,0.05522461,279,1.6669757,1.2207135
118784,118784,431.5003652572632,0.0038663964,-0.0014117925,225.92867669999998,58,1021.5,0.054917216300964355,0.04526367,281,1.6772316,1.3254591
120832,120832,438.7819609642029,0.005380296,-4.997081e-05,231.05673656,59,1040.51,0.1114380955696106,0.06459961,284,1.6907383,1.282019
122880,122880,445.9791316986084,0.0049395547,-0.0006077358,236.09679625999996,60,1059.75,0.047730982303619385,0.062597655,287,1.6988484,1.2678157
124928,124928,453.1088879108429,0.004826574,-0.0016567342,240.93279235999998,61,1078.06,0.04222291707992554,0.05859375,288,1.7078419,1.3107197
126976,126976,460.20483136177063,0.004658705,-0.005815749,245.56427395999998,62,1096.2,-0.005137205123901367,0.05649414,284,1.712435,1.3399521
129024,129024,467.4007022380829,0.0036918726,-0.0023958588,249.99209478999998,63,1113.02,0.06051820516586304,0.04008789,281,1.7168598,1.2513447
131072,131072,474.68452167510986,0.0027607295,4.3625303e-05,254.86602532999999,64,1132.09,0.08195453882217407,0.02734375,270,1.728385,1.3424118
133120,133120,482.2648196220398,0.0041095684,-0.0025907452,259.88144153999997,65,1150.9,-0.008828878402709961,0.048193358,286,1.7431732,1.2877936
135168,135168,489.4203531742096,0.004213914,-0.0023880212,264.60212464999995,66,1169.67,0.0016916990280151367,0.046972655,277,1.7508497,1.3999685
137216,137216,496.79591846466064,0.0045293006,-0.0014755258,269.63229694,67,1187.56,0.08497512340545654,0.053955078,277,1.7703226,1.2959098
139264,139264,504.1763424873352,0.0023891295,-0.00049572194,274.72360221,68,1205.96,-0.00778961181640625,0.020947266,279,1.7806857,1.3048785
141312,141312,511.5093193054199,0.0040882835,1.9217772e-05,279.71247568,69,1224.12,0.014129340648651123,0.047705077,282,1.7848434,1.329736
143360,143360,518.7525684833527,0.0030105957,-0.0010520911,284.55263608999996,70,1242.04,0.061821162700653076,0.033984374,287,1.7912296,1.304779
145408,145408,525.8654315471649,0.0028268076,-1.0763766e-05,289.20790331,71,1259.61,0.04478776454925537,0.026367188,281,1.7971117,1.3392429
147456,147456,533.1454048156738,0.0058179284,-0.0015343011,294.04016684000004,72,1277.64,0.03493034839630127,0.076611325,293,1.7998569,1.3636063
149504,149504,540.1244411468506,0.003836499,0.0001891175,298.99366423,73,1296.64,0.06194508075714111,0.04243164,278,1.7955892,1.2862772
151552,151552,547.4783895015717,0.0066740056,-0.0035669475,304.0761919,74,1315.17,0.07609117031097412,0.087841794,278,1.7898853,1.306425
153600,153600,554.8340816497803,0.0042513455,-0.0006808449,309.22282923000006,75,1333.38,0.005066931247711182,0.045556642,287,1.7991062,1.3378904
155648,155648,561.9548492431641,0.0039343936,-0.0023737971,314.05992746000004,76,1351.78,0.051527202129364014,0.047021486,280,1.8016418,1.3095772
157696,157696,569.247309923172,0.004848201,-0.0029812823,318.76717124,77,1370.19,-0.0014026165008544922,0.050634764,279,1.7833256,1.3523693
159744,159744,576.5787346363068,0.0041171215,-0.0014074955,323.59511649,78,1388.48,0.04299461841583252,0.047949217,283,1.779069,1.3644391
161792,161792,583.7998023033142,0.0045445478,-0.0014939925,328.2756919,79,1405.71,0.05192464590072632,0.050830077,271,1.7779503,1.4269663
163840,163840,591.3323035240173,0.007338047,-0.002196737,333.43934696,80,1424.49,0.13585591316223145,0.09858398,282,1.7821913,1.3986166
165888,165888,598.5950629711151,0.0023885625,0.00019783934,339.04843693000004,81,1443.62,0.06096673011779785,0.024316406,273,1.7848005,1.3256704
167936,167936,606.0900838375092,0.0022710757,0.00043883827,344.19693071999995,82,1462.09,0.05160337686538696,0.019189453,279,1.7812717,1.3836038
169984,169984,613.4077723026276,0.0033615276,-0.001498284,349.36801743,83,1480.08,0.09935516119003296,0.034423828,280,1.7676169,1.4887317
172032,172032,620.7136299610138,0.003296967,-0.00074465346,354.8425199999999,84,1498.49,0.09202742576599121,0.03642578,282,1.7566906,1.5678691
174080,174080,627.9760987758636,0.003750534,-0.0007080673,360.43625556000006,85,1516.48,-0.02224409580230713,0.042822264,274,1.7629969,1.5477211
176128,176128,635.4395296573639,0.0041444246,-0.001856121,365.59922497,86,1534.87,0.10543644428253174,0.04111328,252,1.764735,1.4975699
178176,178176,643.5384478569031,0.0038932108,-0.0014815612,371.11355635,87,1552.77,0.12359505891799927,0.04711914,240,1.7679154,1.4492633
180224,180224,652.0556499958038,0.003281787,-0.001488586,376.67120496,88,1570.82,0.1518530249595642,0.032666016,240,1.7724273,1.473779
182272,182272,660.5867445468903,0.004043503,-0.0027527984,382.24972028,89,1589.21,0.0468212366104126,0.047705077,236,1.776131,1.7034576
184320,184320,669.2518441677094,0.0030873413,-0.0014091692,387.91796117999996,90,1606.54,0.16551536321640015,0.033154298,236,1.7771457,1.547169
186368,186368,677.9235916137695,0.0043386472,-0.0030254056,393.52417276,91,1624.46,0.050771236419677734,0.05419922,246,1.7708584,1.5650826
188416,188416,686.2307987213135,0.0038478666,-0.0042021098,399.05078059,92,1643.26,0.1730591058731079,0.03930664,243,1.7619808,1.8591492
190464,190464,694.651627779007,0.0034797366,-0.0011098842,405.57346636,93,1661.76,0.0520443320274353,0.038330078,256,1.7554495,1.6051636
192512,192512,702.6463754177094,0.0040696464,-0.004465007,411.3060307099999,94,1680.12,0.11682659387588501,0.044873048,241,1.7460821,1.6288254
194560,194560,711.1287002563477,0.005211494,-0.0020860084,416.94924528999996,95,1697.17,0.14444756507873535,0.06279297,254,1.7399534,2.37229
196608,196608,719.1689643859863,0.0032523503,-0.00059222645,423.52250831,96,1715.34,0.1553211212158203,0.031933594,265,1.7319324,1.8097318
198656,198656,726.8746020793915,0.004543583,-0.002772139,429.02637644000004,97,1733.11,0.20047199726104736,0.055029295,252,1.7263286,2.0121086
200704,200704,734.9877271652222,0.00217846,-0.001326462,435.43135377999994,98,1750.36,0.21764367818832397,0.015185547,261,1.7225006,2.0973237
202752,202752,742.8134195804596,0.001990071,-0.001233603,442.00720133999994,99,1767.69,0.09929907321929932,0.015820313,257,1.7204835,2.8706002
204800,204800,750.7778215408325,0.004033324,-0.0031940148,454.87066660999994,100,1798.41,0.11734890937805176,0.039111327,254,1.7220033,4.719492
206848,206848,758.8212850093842,0.004753172,-0.002481412,461.25516639,101,1816.38,0.17615222930908203,0.0546875,258,1.7210039,2.0097098
