ep_len_mean,total_timesteps,approxkl,ep_reward_mean,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps
361.25,2048,0.003469207,173.48353899999998,0.8091074973344803,0.037402343,4.2344384,1,454,26.385382,-0.0042588706,1.9073486328125e-06,2048
500.0,4096,0.0053731194,279.9679002,0.9660763591527939,0.05517578,4.243904,2,477,2.7722921,-0.008551313,4.509082078933716,4096
721.1428571428571,6144,0.0027835534,409.6404898571428,0.867700070142746,0.02993164,4.2554383,3,485,13.959433,-0.0048145186,8.79742169380188,6144
860.4444444444445,8192,0.002528519,532.5707701111111,0.9231311678886414,0.027197266,4.257071,4,476,13.544188,-0.0046957554,13.019505262374878,8192
979.3,10240,0.002890893,627.6604868000001,0.8806855455040932,0.03203125,4.255022,5,504,11.510149,-0.004913486,17.321794986724854,10240
901.0,12288,0.0017692896,558.6563075384615,0.9042276442050934,0.017919922,4.25731,6,491,10.119329,-0.0026722539,21.38319230079651,12288
950.4666666666667,14336,0.0040827054,584.2429287333332,0.7949855625629425,0.045166016,4.27415,7,460,14.646353,-0.0027850182,25.5483455657959,14336
948.5294117647059,16384,0.0021545927,587.1723415882352,0.958007462322712,0.021630859,4.3017497,8,467,6.3817143,-0.0048577264,29.992363929748535,16384
1009.6666666666666,18432,0.0025603948,623.5086008333333,0.726549506187439,0.026220703,4.302678,9,481,12.395672,-0.0025825754,34.3736367225647,18432
997.9473684210526,20480,0.0020914401,614.0511764210526,0.8704095631837845,0.020166015,4.292711,10,473,6.459507,-0.004099568,38.629069089889526,20480
1023.5238095238095,22528,0.0035038695,623.3127986666666,0.8450924307107925,0.037646484,4.286744,11,453,13.963468,-0.0038114972,42.9535231590271,22528
1016.0833333333334,24576,0.0040365164,612.1557662083334,0.8570543974637985,0.041748047,4.2847795,12,455,15.136172,-0.0026000442,47.46813344955444,24576
1010.5384615384615,26624,0.0019569248,609.4711023076924,0.8929667249321938,0.021240234,4.2856274,13,477,11.575544,-0.0041867006,51.96851420402527,26624
1049.0,28672,0.0045099147,633.7040972592594,0.7671007812023163,0.055322267,4.3002863,14,475,11.100932,-0.003751199,56.25365424156189,28672
1055.7931034482758,30720,0.001656305,639.901313172414,0.8886964097619057,0.016503906,4.322074,15,474,11.731377,-0.0018480156,60.56115508079529,30720
955.2058823529412,32768,0.0027090316,569.3958124999999,0.7324594557285309,0.029296875,4.3265276,16,485,21.269659,-0.004843197,64.87401914596558,32768
924.4594594594595,34816,0.0020796536,547.0170591621621,0.8243146538734436,0.017382812,4.3195224,17,493,17.475266,-0.003374641,69.08899927139282,34816
954.0526315789474,36864,0.00439006,567.1902840789473,0.8195744901895523,0.053222656,4.3129964,18,493,13.445387,-0.0036065266,73.24055457115173,36864
927.625,38912,0.0021362507,548.32459365,0.9736131019890308,0.02055664,4.3116894,19,488,3.7464726,-0.0040861703,77.38960528373718,38912
