policy_entropy,approxkl,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps,ep_len_mean,ep_reward_mean
4.336498,0.0059141517,2048,1,0.9628473110496998,0.072460935,0.00045105588,-0.004863688,2048,2.384185791015625e-06,324,,
4.316041,0.010026684,4096,2,0.02077275514602661,0.13125,2.3346217,-0.013529137,4096,6.31960916519165,350,2049.0,2038.182696
4.286902,0.009332424,6144,3,0.0017042160034179688,0.11279297,4.467232,-0.011454503,6144,12.16479778289795,413,2049.0,2038.90722
4.251147,0.005168683,8192,4,0.004108726978302002,0.04868164,6.3067403,-0.0052773654,8192,17.117502450942993,351,2049.0,2040.6561506666667
4.2233644,0.0024685455,10240,5,0.005624115467071533,0.016503906,7.9266257,-0.0030109899,10240,22.952178955078125,387,2049.0,2040.7404095
4.1979423,0.0015469292,12288,6,-0.0007325410842895508,0.007080078,9.442381,-0.0015001079,12288,28.23638105392456,389,2049.0,2041.2056794
4.1740217,0.0034206654,14336,7,-0.00021386146545410156,0.031689454,10.727076,-0.002430053,14336,33.48939871788025,438,2049.0,2041.5241235
4.155113,0.0037231962,16384,8,-0.0014348030090332031,0.032128908,11.862342,-0.0020625042,16384,38.156028270721436,360,2049.0,2041.8496534285714
4.137274,0.0040135877,18432,9,-0.0014774799346923828,0.038623046,12.860972,-0.002700374,18432,43.8317608833313,379,2049.0,2042.03454525
4.1172094,0.0039789556,20480,10,-0.000718235969543457,0.035058595,13.72463,-0.0035826596,20480,49.23538017272949,384,2049.0,2042.051122777778
4.109183,0.0095810015,22528,11,-0.0038673877716064453,0.13735351,14.458445,-0.005993386,22528,54.56494212150574,337,2049.0,2042.1598111000003
4.103711,0.008284973,24576,12,-0.0022193193435668945,0.115917966,15.134959,-0.008811377,24576,60.633646726608276,373,2049.0,2042.4511100909092
4.091876,0.004128832,26624,13,0.0003306865692138672,0.039160155,15.718936,-0.0012291529,26624,66.1161379814148,387,2049.0,2042.4876048333335
4.0884585,0.002889133,28672,14,0.7829700410366058,0.026953125,24.061619,-0.000588343,28672,71.40779876708984,361,1779.4,1773.7499552000002
