approxkl,total_timesteps,n_updates,fps,clipfrac,policy_entropy,value_loss,explained_variance,policy_loss,serial_timesteps,time_elapsed,ep_reward_mean,ep_len_mean
0.0037406124,36864,18,189,0.036816407,4.643515,2.4744167,0.9674397744238377,-0.005747331,36864,194.7539336681366,1320.5228600869564,1513.7826086956522
0.0024434673,38912,19,136,0.023925781,4.6247783,17.070724,0.9336081519722939,-0.002833685,38912,205.58531641960144,1252.4059420384615,1443.5
0.0039103366,40960,20,193,0.046240233,4.6304793,5.4184833,0.9480122439563274,-0.0033200239,40960,220.634437084198,1250.2692491481482,1441.2222222222222
0.0030849762,43008,21,166,0.027685547,4.628787,8.862397,0.9534510634839535,-0.00632466,43008,231.24057245254517,1226.5679755172414,1430.448275862069
0.0035449849,45056,22,194,0.0340332,4.6213403,3.5964265,0.9652947299182415,-0.0051450236,45056,243.5589804649353,1231.4540690333333,1433.6333333333334
0.0039460496,47104,23,203,0.042041015,4.609975,2.6376083,0.9664326868951321,-0.006475861,47104,254.06981682777405,1249.9363596451612,1453.4516129032259
0.00528801,49152,24,194,0.053955078,4.5844445,2.5962133,0.9627996385097504,-0.005980615,49152,264.1369242668152,1269.1764587500002,1472.03125
0.004435973,51200,25,177,0.04243164,4.5838456,10.848584,0.9395673051476479,-0.0036678948,51200,274.67353892326355,1258.6692440588238,1460.764705882353
0.005427469,53248,26,194,0.06015625,4.5895057,2.4918435,0.9672025814652443,-0.005432139,53248,286.2091386318207,1262.1119922285716,1462.8857142857144
0.0022741286,55296,27,192,0.020214844,4.5675926,2.9801402,0.9652517512440681,-0.0023649659,55296,296.7474284172058,1279.398193388889,1479.138888888889
0.005222772,57344,28,201,0.0574707,4.5521603,2.5000167,0.9665608741343021,-0.0057594376,57344,307.36600828170776,1295.0107633243247,1494.5135135135135
0.0051121274,59392,29,203,0.05834961,4.540204,2.4757392,0.9653974995017052,-0.007364052,59392,317.52434968948364,1309.660207657895,1509.078947368421
0.0041985745,61440,30,193,0.045166016,4.531351,2.4739938,0.9670995697379112,-0.0035631466,61440,327.5674204826355,1323.5800480769233,1522.8974358974358
0.003297065,63488,31,207,0.031591795,4.523299,2.5084374,0.9665348008275032,-0.005281612,63488,338.1746578216553,1337.24058105,1536.025
0.003874591,65536,32,170,0.03466797,4.527331,7.626296,0.9621104076504707,-0.006595161,65536,348.0459654331207,1323.7928710714286,1522.8095238095239
