policy_entropy,n_updates,approxkl,value_loss,total_timesteps,serial_timesteps,ep_len_mean,explained_variance,clipfrac,ep_reward_mean,time_elapsed,fps,policy_loss
1.4092329,1,0.0029450688,4.641502,2048,2048,985.0,0.1334206461906433,0.028759766,189.43148,2.86102294921875e-06,384,-0.003694351
1.3907206,2,0.002310679,6.333144,4096,4096,781.2,-0.235235333442688,0.015429688,163.9500634,5.324899673461914,409,-0.0017879108
1.3817248,3,0.0037809026,5.032546,6144,6144,544.6363636363636,-0.001573801040649414,0.0390625,114.74957063636363,10.321328401565552,408,-0.0028459902
1.3819022,4,0.0023396788,6.4298973,8192,8192,555.7142857142857,0.08713555335998535,0.019580077,120.10499278571429,15.333591222763062,436,-0.001434234
1.3845112,5,0.0025719297,5.2020063,10240,10240,489.6,0.11616969108581543,0.020898437,106.56327855000002,20.022079467773438,449,-0.001152578
1.3951457,6,0.002597189,3.954451,12288,12288,445.8888888888889,0.22022992372512817,0.02368164,97.07252785185185,24.57634997367859,422,-0.00075202994
1.4003651,7,0.0025013597,4.416813,14336,14336,420.6470588235294,0.23683547973632812,0.018701172,91.39589720588233,29.425429582595825,450,-0.0029779386
1.4070945,8,0.0034133133,2.8198626,16384,16384,392.1219512195122,0.337668240070343,0.037988283,84.09557897560975,33.97031831741333,415,-0.0040073893
1.4115852,9,0.0019324744,7.4264855,18432,18432,416.4318181818182,0.0031052827835083008,0.017480468,91.55447609090908,38.90532851219177,425,-0.0012260088
1.4111931,10,0.0050948476,2.3375437,20480,20480,426.4166666666667,0.46752381324768066,0.0652832,92.21479970833333,43.718865394592285,451,-0.004703709
1.4015718,11,0.003595701,3.7306697,22528,22528,459.53061224489795,0.2641714811325073,0.041992188,99.53027193877551,48.25999736785889,454,-0.00391812
1.404584,12,0.0037977942,5.5493755,24576,24576,491.32,-0.4531669616699219,0.041650392,108.11713388,52.76518750190735,433,-0.0044241464
1.4184439,13,0.0052524544,4.0261316,26624,26624,521.8627450980392,0.18182432651519775,0.0637207,115.8107273137255,57.48849821090698,427,-0.0023315107
1.4267573,14,0.0042665065,4.8360524,28672,28672,551.2307692307693,-0.1219172477722168,0.05078125,124.01569046153847,62.27999663352966,428,-0.0035154796
1.4283233,15,0.004712245,3.7164772,30720,30720,579.4905660377359,0.10351485013961792,0.04765625,131.27688724528304,67.06215190887451,417,-0.0040195873
1.4176067,16,0.0026018322,3.5993595,32768,32768,606.7037037037037,0.0329359769821167,0.02421875,138.3657761111111,71.96478033065796,401,-0.00030129583
1.4219911,17,0.002533922,3.7305691,34816,34816,632.9272727272727,-0.11145138740539551,0.023876954,145.39667536363638,77.06036448478699,455,-0.00043272186
