serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
2048,4.6594324,154.927519,-0.003543441,0.0040981094,883.0,2048,1,1.9073486328125e-06,0.046923827,1.4231107,563,-0.1172255277633667
4096,4.1327324,125.71712216666667,-0.004455303,0.0037528183,665.0,4096,2,3.631985664367676,0.040722657,1.4459678,596,-0.17709136009216309
6144,3.518869,80.70594742857143,-0.0022595841,0.0026548512,431.7857142857143,6144,3,7.067190647125244,0.025537109,1.4656166,569,0.02536189556121826
8192,3.785478,66.07742208695652,-0.0037219916,0.004316356,349.82608695652175,8192,4,10.66142201423645,0.047705077,1.4851744,589,0.0484614372253418
10240,3.1753962,55.34647188571428,-0.0030959616,0.0026876517,291.22857142857146,10240,5,14.133619785308838,0.020263672,1.4984915,583,0.3514009118080139
12288,2.7398736,48.45476747916666,-0.0034351344,0.0041772854,253.91666666666666,12288,6,17.646454095840454,0.045996092,1.5069184,590,0.5399570465087891
14336,2.1786368,43.250335285714286,-0.0027856412,0.0033019376,225.87301587301587,14336,7,21.112679481506348,0.031591795,1.511632,577,0.6896021664142609
16384,1.7248213,40.25396901282051,-0.004196725,0.0034630143,209.9102564102564,16384,8,24.658711194992065,0.03466797,1.499507,584,0.7949703186750412
18432,1.6644812,38.93085568131869,-0.0035776745,0.00409771,202.3186813186813,18432,9,28.16375231742859,0.051220704,1.4817523,601,0.8258083760738373
20480,1.3173258,35.00784581,-0.0020969356,0.0025442173,181.21,20480,10,31.56985330581665,0.021435548,1.477878,624,0.8850167393684387
22528,1.0237315,30.966978830000002,-0.003921884,0.0043287342,157.89,22528,11,34.84895038604736,0.049316406,1.483606,616,0.9178666397929192
24576,0.79114693,30.0333962,-0.002727572,0.0038968336,153.24,24576,12,38.17082953453064,0.04243164,1.4860568,632,0.9438307210803032
