approxkl,n_updates,policy_loss,clipfrac,value_loss,explained_variance,time_elapsed,fps,policy_entropy,serial_timesteps,total_timesteps,ep_len_mean,ep_reward_mean
0.009659992,1,-0.014472924,0.1381836,0.00037013405,0.984851798042655,1.9073486328125e-06,412,4.9720163,2048,2048,,
0.011218656,2,-0.016620932,0.14487305,2.295914,0.04437381029129028,4.9597249031066895,441,4.9459257,4096,4096,2049.0,2025.433381
0.002684065,3,-0.0034548943,0.01850586,4.402299,0.010813355445861816,9.598452806472778,455,4.921258,6144,6144,2049.0,2026.5980765
0.009294987,4,-0.0124876825,0.12412109,6.30645,-0.0008881092071533203,14.09123682975769,437,4.8947673,8192,8192,2049.0,2032.2899796666668
0.0032138028,5,-0.0032540087,0.030322265,7.94391,0.0021460652351379395,18.77226948738098,433,4.8758774,10240,10240,2049.0,2034.39245425
0.0062187794,6,-0.008583089,0.07446289,9.41754,-0.003089308738708496,23.495333433151245,428,4.857076,12288,12288,2049.0,2035.801136
0.007891572,7,-0.0081340615,0.107666016,10.646423,0.001116633415222168,28.27761197090149,456,4.834141,14336,14336,2049.0,2036.7495536666665
0.009765094,8,-0.012146578,0.13808593,11.826464,-0.0011097192764282227,32.76225709915161,461,4.81735,16384,16384,2049.0,2037.7139095714285
0.0071586235,9,-0.0065965503,0.053271484,17.229496,0.696895569562912,37.201412200927734,445,4.8096,18432,18432,1824.3333333333333,1815.0377651111112
0.0012648522,10,0.00022486612,0.009716797,28.942173,0.7748498469591141,41.797356605529785,419,4.8064666,20480,20480,1544.5833333333333,1536.756691416667
0.002579629,11,-0.0007904347,0.028710937,35.512043,0.8493293672800064,46.68158960342407,392,4.8085237,22528,22528,1218.764705882353,1212.6080114705883
0.0061038854,12,-0.0015256784,0.080322266,26.850885,0.797179564833641,51.8958158493042,411,4.8202133,24576,24576,1141.85,1136.09438805
0.0029698645,13,-0.0014091005,0.03276367,20.313435,-0.0036138296127319336,56.87887978553772,412,4.8308296,26624,26624,1185.047619047619,1179.212138095238
0.0011964754,14,0.00024037916,0.008447265,20.062061,0.012974560260772705,61.84616947174072,417,4.839146,28672,28672,1224.3181818181818,1218.427689681818
0.0020525241,15,-0.001261893,0.015380859,26.53331,0.8052735775709152,66.74810934066772,381,4.854768,30720,30720,1162.24,1156.7356953199999
0.0042888606,16,-0.0018076577,0.050488282,23.098408,0.6972405910491943,72.11554050445557,394,4.8593144,32768,32768,1153.2962962962963,1147.993547185185
0.0056832335,17,-0.0025715898,0.07602539,23.046146,0.7446593344211578,77.31220245361328,389,4.860865,34816,34816,1146.0344827586207,1140.8597959310346
