value_loss,approxkl,explained_variance,ep_reward_mean,serial_timesteps,time_elapsed,ep_len_mean,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy
8.499636,0.004077795,0.8594421297311783,1308.783308,2048,2.1457672119140625e-06,2031.0,413,2048,1,-0.0039919475,0.051757812,3.9527447
6.8810754,0.0033412972,0.8972890600562096,805.978843,4096,4.9520263671875,1323.0,407,4096,2,-0.0031810123,0.03930664,3.9604855
6.2275043,0.00489596,0.912160649895668,851.6180153333333,6144,9.973423957824707,1377.0,373,6144,3,-0.006293662,0.059228517,3.9654727
4.0202317,0.0043787113,0.9048848524689674,972.56629325,8192,15.4596107006073,1538.0,392,8192,4,-0.0038116467,0.05205078,3.9784226
7.020237,0.004079704,0.8000548183917999,1036.3451664,10240,20.681052684783936,1640.2,361,10240,5,-0.002258751,0.047558594,3.9973977
8.203863,0.006433154,0.8903074637055397,1077.7356565,12288,26.341974020004272,1708.3333333333333,366,12288,6,-0.007160357,0.07333984,3.9792266
7.2890196,0.0035010756,0.8873278126120567,1128.2084377142858,14336,31.92508578300476,1757.0,361,14336,7,-0.0024156612,0.04194336,3.9634368
8.50093,0.003291314,0.8586438000202179,1155.443732625,16384,37.58570957183838,1793.5,362,16384,8,-0.002183868,0.036621094,3.9640815
8.452085,0.004251867,0.7860276699066162,1181.4525423333334,18432,43.23238706588745,1821.888888888889,369,18432,9,-0.0027784146,0.048876952,3.975059
16.91049,0.002955683,0.6491385102272034,1095.4101898181818,20480,48.77127027511597,1710.7272727272727,381,20480,10,-0.0016325025,0.03276367,3.9847598
39.603043,0.0029210127,0.45792126655578613,814.7941975294117,22528,54.13649892807007,1309.8823529411766,400,22528,11,-0.004802458,0.0340332,3.987877
10.0920315,0.00749953,0.7021406590938568,838.1611693333333,24576,59.24663472175598,1350.9444444444443,376,24576,12,-0.0014824008,0.09072266,4.002679
19.624546,0.0022045735,0.7217041552066803,744.1689208571428,26624,64.6912271976471,1213.4285714285713,368,26624,13,-0.004159129,0.023144532,4.0058227
10.067166,0.004103595,0.6912539601325989,766.7183105454544,28672,70.25214004516602,1251.409090909091,277,28672,14,-0.004423162,0.048779298,4.007404
16.859547,0.0042918725,0.6789671182632446,759.1150767083333,30720,77.64023780822754,1244.6666666666667,378,30720,15,-0.003427197,0.04741211,4.013165
20.621809,0.00380117,0.804973691701889,719.641100925926,32768,83.05422759056091,1183.6296296296296,383,32768,16,-0.00359936,0.04433594,4.0137396
4.6529574,0.0056363773,0.871235191822052,710.2540565357143,34816,88.39255428314209,1170.7857142857142,295,34816,17,-0.0029088682,0.06591797,4.033736
13.536654,0.0021245484,0.7785339802503586,734.2713477666667,36864,95.31913208961487,1210.5,318,36864,18,-0.002494572,0.0203125,4.048733
12.469377,0.0027607458,0.8220517933368683,714.427299125,38912,101.75431728363037,1182.5625,348,38912,19,-0.0027151965,0.03100586,4.0356035
16.654009,0.0050449343,0.7119254469871521,712.331903617647,40960,107.6362657546997,1181.3823529411766,370,40960,20,-0.0061871354,0.06098633,4.029991
17.59544,0.0027318369,0.6892508566379547,711.0314129444444,43008,113.16203236579895,1181.1666666666667,392,43008,21,-0.001094437,0.031689454,4.038816
16.041645,0.003900845,0.6830216944217682,709.729876105263,45056,118.37564468383789,1180.7894736842106,371,45056,22,-0.0005283154,0.044384766,4.047402
7.3153725,0.004495275,0.923218846321106,694.8373709999998,47104,123.88213539123535,1158.2564102564102,390,47104,23,-0.005801779,0.050439455,4.0425696
18.989828,0.0024167146,0.8005258589982986,717.7481820487804,49152,129.12097930908203,1182.7560975609756,390,49152,24,-0.0009987878,0.028076172,4.037299
11.590078,0.0025798115,0.8712071925401688,719.9304796976744,51200,134.3683979511261,1184.093023255814,405,51200,25,-0.002829887,0.027001953,4.0508966
17.55835,0.004203118,0.777709573507309,722.3601144222222,53248,139.43715023994446,1183.2666666666667,389,53248,26,-0.0053441036,0.046142578,4.0638547
14.274836,0.0064664385,0.7856277674436569,738.565608347826,55296,144.70129418373108,1202.0869565217392,383,55296,27,-0.004330352,0.07954101,4.0642424
5.7791715,0.0039105793,0.9286866337060928,737.3543858297871,57344,150.03693509101868,1199.531914893617,368,57344,28,-0.0064862417,0.0453125,4.067746
14.359917,0.0040148897,0.7943071275949478,739.180431367347,59392,155.58828353881836,1203.3469387755101,385,59392,29,-0.0047273235,0.049462892,4.0734396
10.63132,0.0024995508,0.8703472018241882,732.5885109019608,61440,160.90595173835754,1193.1960784313726,325,61440,30,0.00025042504,0.027246093,4.079143
6.127558,0.0034704674,0.9170271828770638,733.7644657884616,63488,167.20269680023193,1194.173076923077,312,63488,31,-0.0059696524,0.037402343,4.078464
16.866066,0.0025506925,0.8451381176710129,739.643591888889,65536,173.7544584274292,1200.4259259259259,297,65536,32,-0.004507144,0.024560547,4.0774326
6.633645,0.004778589,0.9367668256163597,735.6181942181819,67584,180.6282000541687,1194.6363636363637,380,67584,33,-0.0013753279,0.048876952,4.0756564
12.6232815,0.003910859,0.8345326036214828,749.2012327894738,69632,186.01421761512756,1209.0701754385964,408,69632,34,-0.003753753,0.047802735,4.0822096
9.51299,0.0034861122,0.8088987618684769,758.8863055344829,71680,191.02578616142273,1223.551724137931,396,71680,35,-0.004527052,0.033740234,4.0888777
8.365952,0.0022998832,0.8579473942518234,756.8330424915255,73728,196.19763231277466,1220.2881355932204,391,73728,36,-0.0026503738,0.022607422,4.0930033
6.7498016,0.0043501724,0.8800921812653542,764.3288857333334,75776,201.43486404418945,1231.5,394,75776,37,-0.0023228086,0.05029297,4.0939903
