policy_loss,n_updates,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,clipfrac,total_timesteps,value_loss,ep_len_mean,serial_timesteps,fps,approxkl
-0.008959776,1,1.9073486328125e-06,3.691834,233.124416,0.9480404704809189,0.06254883,2048,5.5673075,507.0,2048,475,0.0056879143
-0.006972822,2,4.307390213012695,3.6879017,549.5707745,0.8810184821486473,0.03149414,4096,18.889307,893.0,4096,474,0.0028083883
-0.0019949193,3,8.620879411697388,3.6977165,650.3795230000001,0.8409392088651657,0.04111328,6144,20.066181,1020.8333333333334,6144,462,0.0037248586
-0.0035665259,4,13.047196626663208,3.6980636,737.065646,0.7683862745761871,0.08071289,8192,10.443156,1167.7142857142858,8192,443,0.0064184954
-0.006600057,5,17.662614107131958,3.7078419,676.433478875,0.8764007836580276,0.05288086,10240,8.497767,1086.375,10240,468,0.004631322
-0.0026559792,6,22.035179138183594,3.7198195,743.0077025555555,0.7972013652324677,0.038867187,12288,14.537097,1193.3333333333333,12288,445,0.0031511406
-0.0027950306,7,26.628545999526978,3.7181835,819.8744565,0.8738097846508026,0.037402343,14336,12.235259,1278.9,14336,463,0.0035877656
-0.0021217237,8,31.04789924621582,3.7168834,864.244788,0.9094861522316933,0.037646484,16384,11.024133,1348.909090909091,16384,463,0.0034478877
-0.0049020466,9,35.46852684020996,3.7225041,783.2342624666667,0.8052739650011063,0.041748047,18432,29.355137,1217.4666666666667,18432,448,0.0033759545
-0.0022867706,10,40.03831338882446,3.7243247,699.317369,0.8439990878105164,0.028466797,20480,10.8180895,1110.388888888889,20480,475,0.002623445
-0.004871455,11,44.349979877471924,3.7202172,735.7154727368421,0.7995559573173523,0.033251952,22528,14.323166,1159.7894736842106,22528,454,0.003081908
-0.0038770628,12,48.85458588600159,3.7157974,770.6851127,0.8546261787414551,0.025976563,24576,11.80974,1204.25,24576,463,0.0023335025
-0.0028843882,13,53.26952290534973,3.716996,803.7513566190477,0.8672322779893875,0.04194336,26624,13.713559,1244.4761904761904,26624,460,0.0036910363
