approxkl,n_updates,policy_loss,clipfrac,value_loss,explained_variance,time_elapsed,fps,policy_entropy,serial_timesteps,total_timesteps,ep_len_mean,ep_reward_mean
0.0017429569,1,-0.003095372,0.017138671,0.0022866412,0.9790966808795929,1.9073486328125e-06,420,6.580709,2048,2048,,
0.0022155973,2,-0.004824744,0.018896485,2.3257682,0.01851677894592285,4.866647243499756,430,6.5453787,4096,4096,2049.0,2021.647618
0.0023409226,3,-0.0053318413,0.017626952,4.441555,0.0007198452949523926,9.626560926437378,444,6.5110693,6144,6144,2049.0,2028.9908409999998
0.0049645547,4,-0.007305571,0.047509767,6.303391,-0.000825047492980957,14.236244678497314,441,6.479885,8192,8192,2049.0,2033.7526689999997
0.0017293908,5,-0.0041177403,0.009863282,7.9066443,0.002134084701538086,18.876022815704346,453,6.4512763,10240,10240,2049.0,2036.0953519999998
0.0021628835,6,-0.0020741017,0.020703126,9.394001,-0.0003561973571777344,23.396236181259155,453,6.434298,12288,12288,2049.0,2037.0873829999996
0.0017266646,7,-0.0018036244,0.009863282,10.66984,-0.000601649284362793,27.913746118545532,433,6.427781,14336,14336,2049.0,2037.6680779999997
0.0018313326,8,-0.0013697944,0.015722657,11.785071,-0.001191854476928711,32.64339804649353,442,6.419632,16384,16384,2049.0,2038.1031424285713
0.0034748248,9,-0.0035606425,0.037158202,12.7637825,0.0009781718254089355,37.276042222976685,432,6.4193015,18432,18432,2049.0,2038.0226537499998
0.00075593253,10,-0.0007045269,0.0022460937,13.641991,0.003344893455505371,42.01099252700806,441,6.4110284,20480,20480,2049.0,2038.1846205555553
0.0037151768,11,-0.0023731932,0.03720703,14.440494,-0.0013997554779052734,46.646082639694214,419,6.385095,22528,22528,2049.0,2038.3397892999997
0.006781356,12,-0.00517925,0.09008789,15.056953,0.004736065864562988,51.52479004859924,419,6.3588457,24576,24576,2049.0,2038.2821383636362
0.00328532,13,-0.0012615329,0.03276367,15.712293,0.004345238208770752,56.40865898132324,418,6.338405,26624,26624,2049.0,2038.5677644166665
0.0059077875,14,-0.0026509238,0.07348633,16.333656,-0.007529497146606445,61.30438542366028,434,6.32522,28672,28672,2049.0,2039.050133153846
0.0028789714,15,-0.0025467142,0.027734375,16.534449,0.01761305332183838,66.0137836933136,448,6.3142395,30720,30720,2049.0,2039.1024309999998
0.0032983024,16,-0.003244542,0.03725586,17.149033,0.002716660499572754,70.58097267150879,435,6.2970095,32768,32768,2049.0,2039.3979633999998
