serial_timesteps,explained_variance,policy_loss,policy_entropy,ep_reward_mean,n_updates,ep_len_mean,clipfrac,time_elapsed,fps,value_loss,total_timesteps,approxkl
161792,0.35994696617126465,-0.001835634,1.4715896,406.76726449,79,1459.19,0.026855469,265.87495613098145,620,7.141037,161792,0.0025963634
163840,0.3895866870880127,-0.0026809734,1.4704674,416.30617452999996,80,1477.3,0.029052734,269.1779477596283,616,6.1929617,163840,0.0029213247
165888,0.47947484254837036,-0.007692024,1.4716802,428.92774497,81,1501.26,0.06455078,272.4989125728607,614,6.119437,165888,0.005349418
167936,0.49212586879730225,-0.0024073583,1.4743087,438.25902464,82,1519.11,0.04057617,275.8330976963043,608,5.8180556,167936,0.0038080793
169984,0.5735854506492615,-0.0031415143,1.4765922,449.0502039800001,83,1540.84,0.04633789,279.1978266239166,618,6.4187875,169984,0.0041571427
172032,0.6390173733234406,-0.0025103632,1.4771698,455.21612564,84,1552.99,0.030615235,282.5089843273163,614,4.682308,172032,0.0030788132
174080,0.5372574031352997,-0.0034906685,1.4762089,464.86357135000003,85,1570.89,0.039746094,285.84246826171875,620,7.3127832,174080,0.0037968731
176128,0.6016728281974792,-0.0016975751,1.4784304,472.10363062000005,86,1584.42,0.030957032,289.14362621307373,612,5.3561196,176128,0.0031513528
178176,0.6471031010150909,-0.002644013,1.4768249,480.27851879,87,1600.85,0.02709961,292.48953199386597,606,5.63552,178176,0.0027373487
180224,0.662900298833847,-0.0017720999,1.4768614,494.82100106000007,88,1628.4,0.023388673,295.86708521842957,623,6.7667136,180224,0.0023171841
182272,0.6924074590206146,-0.004317866,1.4823393,500.54201443,89,1640.24,0.041650392,299.15521717071533,612,3.9986343,182272,0.003718193
184320,0.7545916140079498,-0.0038025272,1.4828081,510.6842098700001,90,1659.49,0.040234376,302.50007224082947,621,4.625136,184320,0.0036908635
186368,0.7158291339874268,-0.0024636392,1.4754422,516.06734633,91,1670.01,0.013720703,305.7963695526123,605,4.3618836,186368,0.001827394
188416,0.5999359488487244,-0.0045409393,1.4641227,529.70117131,92,1693.79,0.04042969,309.1796085834503,623,7.260553,188416,0.00362792
190464,0.8457620590925217,-0.004328954,1.4689202,535.78563769,93,1705.08,0.043652344,312.4669373035431,600,3.147323,190464,0.0036060412
192512,0.7762501984834671,-0.0027570839,1.4790137,544.2423399200001,94,1720.78,0.028320312,315.88030195236206,585,4.91354,192512,0.0028958304
194560,0.6491184234619141,-0.0012907502,1.4811939,557.21811095,95,1745.46,0.014697266,319.3795611858368,615,6.9351377,194560,0.001718391
196608,0.6088593900203705,-0.004610382,1.4708929,567.13473135,96,1764.32,0.038867187,322.706787109375,584,5.442782,196608,0.0038028532
198656,0.8059860318899155,-0.0034363824,1.4785361,570.59491146,97,1771.13,0.044042967,326.2087514400482,603,3.5205612,198656,0.0039213025
200704,0.6112191081047058,-0.0032040612,1.4945345,583.0804228,98,1792.79,0.031884767,329.60453271865845,612,7.461562,200704,0.0029077039
202752,0.7897146791219711,-0.0012715185,1.5108632,588.02479729,99,1800.83,0.020898437,332.94958686828613,599,3.7708611,202752,0.0023388679
204800,0.6970391571521759,-0.0018121073,1.5205481,598.6298269499999,100,1816.0,0.02836914,336.36917185783386,598,6.6036124,204800,0.0029883017
206848,0.7337709963321686,-0.002645052,1.5115793,600.7285538299999,101,1817.95,0.025,339.795392036438,607,3.9364178,206848,0.0025570993
208896,0.7166476845741272,-0.00485431,1.5005006,605.6564813299999,102,1805.39,0.050634764,343.1702718734741,604,6.4126663,208896,0.004495864
210944,0.7535116672515869,-0.0021333867,1.5015724,606.5700832899998,103,1786.93,0.025488282,346.55929350852966,609,6.0944457,210944,0.0026971041
212992,0.7115660607814789,-0.0011497242,1.5046026,607.31146133,104,1768.15,0.035302736,349.9199860095978,611,6.8878746,212992,0.003216238
215040,0.7426056861877441,-0.0012679471,1.4994012,603.0824384699999,105,1739.97,0.027490234,353.2728374004364,597,6.22573,215040,0.0028053825
217088,0.7669188380241394,-0.004018898,1.493879,606.6529634899999,106,1725.82,0.049609374,356.70170736312866,588,6.399415,217088,0.0046144957
219136,0.7955546081066132,-0.00174259,1.4907229,607.6544221199999,107,1717.84,0.036328126,360.1803390979767,583,3.8274117,219136,0.003719187
221184,0.765070766210556,-0.0015736334,1.4844466,611.0823917199999,108,1703.78,0.034375,363.69400334358215,613,5.9582243,221184,0.0032155619
223232,0.7437034249305725,-0.002684235,1.4778183,614.2501850900001,109,1694.97,0.037402343,367.03335070610046,628,6.3949347,223232,0.0032669615
225280,0.7741625756025314,-8.221828e-05,1.4791585,618.39702484,110,1679.86,0.019580077,370.2911100387573,633,5.877076,225280,0.00230043
227328,0.7983066737651825,-0.004255068,1.4783882,617.9127677,111,1657.67,0.043701172,373.52373337745667,614,5.5580635,227328,0.0039732764
229376,0.741692841053009,-0.0032868763,1.477032,614.4658022,112,1619.78,0.039746094,376.85568475723267,573,8.769437,229376,0.0033787102
231424,0.7652665376663208,-0.0009076546,1.470773,607.74127682,113,1577.67,0.012304688,380.4259784221649,622,7.3676558,231424,0.0016790914
233472,0.7415596544742584,-0.0023463948,1.4663603,601.50310259,114,1536.43,0.030859375,383.7182364463806,622,8.431906,233472,0.0029070037
235520,0.726147472858429,-0.002225788,1.4615681,591.66956255,115,1479.32,0.035253905,387.01144003868103,613,10.15093,235520,0.0033642196
237568,0.6803824007511139,-0.0031856555,1.4595327,582.5123708599999,116,1435.45,0.051123045,390.3492305278778,615,9.223885,237568,0.004276166
