#{"t_start": 1747740719.6588655, "env_id": null}
r,l,t
2032.288468,2049,7.081363
2028.619287,2049,13.167755
2020.055203,2049,18.997635
234.604369,260,19.673911
32.527209,34,19.957293
44.275295,46,20.351019
689.227688,730,22.126466
2003.061713,2049,27.773547
49.138951,51,28.147397
1994.463603,2049,33.778166
105.647442,111,34.709306
87.01171,92,35.471495
1989.148329,2049,41.318218
190.206906,201,42.898726
111.525403,116,43.856774
123.144468,130,44.87688
56.782836,59,45.386923
1998.241103,2049,50.879715
600.174152,634,56.518539
300.66128,317,59.237011
216.062944,243,59.863787
1989.916726,2049,75.787967
543.393283,561,77.138474
1918.17377,2049,93.849195
1973.994099,2049,111.203743
617.694421,645,113.225298
2022.906026,2049,131.137343
257.717857,282,131.935972
2034.743405,2049,149.721554
2036.960306,2049,167.907084
2025.908677,2049,186.008648
231.089059,272,186.692996
176.848738,188,187.138179
1994.169054,2049,205.490631
275.223085,300,206.328166
1992.299513,2049,223.689868
311.37523,332,224.378393
2019.738125,2049,239.656259
2007.967837,2049,256.153238
475.464647,496,257.662079
228.32704,253,258.628545
351.37639,369,259.696216
214.677266,225,260.363324
2031.35411,2049,281.231529
2030.53315,2049,298.082062
2025.37571,2049,315.155215
1996.710475,2049,333.095937
217.927922,243,333.729751
299.490686,322,334.416251
2033.302926,2049,351.59551
290.005062,310,352.305765
2033.435592,2049,370.225178
2030.048638,2049,388.234329
297.8015,322,389.054151
216.691173,242,390.087925
255.342054,280,390.856504
2020.659127,2049,407.400669
1985.38998,2049,423.845859
337.192527,359,424.558326
194.759684,220,425.01094
2035.037793,2049,441.219811
2036.429287,2049,456.997366
2034.810009,2049,472.664375
2029.959389,2049,490.249301
200.987037,226,490.735326
165.43679,192,491.173131
207.93054,219,491.701624
296.720906,322,492.438333
266.412171,289,493.650567
2033.070079,2049,509.05071
230.886173,254,509.551685
267.5169,294,510.202378
330.340461,342,510.986162
156.028282,183,511.347033
2020.698741,2049,527.643236
242.097104,267,528.25051
273.958145,289,529.014014
2024.122499,2049,545.307016
190.137413,202,546.058497
2006.919884,2049,561.102237
2037.309881,2049,576.535038
289.767353,309,577.17962
228.026705,254,577.65924
2022.275467,2049,593.540308
2038.087792,2049,608.95484
2018.29703,2049,625.189613
213.489453,238,625.913397
395.130924,418,626.787022
2038.644365,2049,643.698093
396.586665,421,644.758235
206.791382,219,645.301562
190.556389,215,646.148695
2013.761788,2049,660.952042
2033.315804,2049,676.238344
2014.020298,2049,691.019615
2039.209392,2049,705.46945
368.549657,391,706.421971
322.305377,341,707.155565
256.523155,267,707.772793
2038.313504,2049,722.816544
2038.96033,2049,737.266405
2026.563453,2049,752.111198
2041.014918,2049,766.135951
2042.324484,2049,781.331447
231.361951,242,782.023641
332.744848,355,782.742911
366.872526,394,783.914841
358.508149,371,784.966
403.595643,421,786.213597
302.817135,313,787.001588
2042.81793,2049,801.289186
367.523755,379,802.165024
389.788976,402,803.011458
451.522127,480,804.371698
2038.497396,2049,818.576928
359.848753,380,819.490649
349.283306,361,820.265718
2037.546171,2049,834.781841
285.937846,311,835.566463
246.74242,272,836.094927
288.102879,313,836.752147
2038.910637,2049,850.878545
274.328996,300,852.123117
2036.996439,2049,866.727863
226.389528,250,867.336662
186.936374,215,867.785259
2033.838412,2049,883.03907
2039.246458,2049,898.977013
230.808413,242,899.996206
2037.315543,2049,919.260945
2038.428313,2049,936.50733
317.186834,329,937.458442
2035.305238,2049,954.623032
346.533397,369,955.757973
2042.428162,2049,973.817019
589.059914,617,975.528434
2038.068763,2049,991.645169
2039.696887,2049,1006.809067
203.711343,228,1007.330508
2029.606899,2049,1022.336284
307.617171,329,1023.085903
221.654219,248,1023.578698
2041.93203,2049,1040.480381
256.827492,275,1041.029181
359.247671,379,1041.864566
245.0559,270,1042.448411
2014.502947,2049,1059.501897
2040.353221,2049,1074.668065
443.182378,468,1076.099667
393.714943,416,1076.9252
351.921667,372,1077.61913
243.281988,266,1078.171376
2033.398997,2049,1093.006211
295.247594,310,1093.651902
279.489508,301,1094.683839
