policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,time_elapsed,value_loss,approxkl,ep_reward_mean,ep_len_mean
-0.0066322936,1,2048,0.9947396907955408,0.038476564,4.6694407,332,2048,2.6226043701171875e-06,1.0307986,0.004112683,,
-0.0027843344,2,4096,0.9412963278591633,0.012060547,4.659313,430,4096,6.158483982086182,13.6091585,0.001357637,712.282748,1035.6666666666667
-0.0017313554,3,6144,0.9062297940254211,0.028271485,4.6569014,407,6144,10.921293020248413,26.750881,0.0029575084,790.9155583999999,1084.4
-0.0047363215,4,8192,0.9045226722955704,0.016113281,4.6669745,419,8192,15.95304012298584,28.35938,0.0016060617,843.6410798571429,1151.4285714285713
-0.0035693212,5,10240,0.8983475640416145,0.054589845,4.6836667,408,10240,20.83697199821472,20.305904,0.004467133,952.09588775,1263.625
-0.0039660316,6,12288,0.8197563737630844,0.030615235,4.687926,462,12288,25.846752166748047,18.009943,0.0027672583,760.325766090909,1059.5454545454545
-0.0046862746,7,14336,0.9029192179441452,0.021484375,4.6883106,427,14336,30.278236627578735,26.018549,0.0025299322,794.7114488461539,1101.0
-0.0022904787,8,16384,0.8651067316532135,0.010009766,4.6888227,459,16384,35.07041120529175,14.631735,0.0011845245,710.2216268125001,1016.5
-0.0067125657,9,18432,0.9900227710604668,0.01875,4.6887646,414,18432,39.52962064743042,2.5079203,0.001948929,682.8890790588237,986.3529411764706
-0.0037382836,10,20480,0.9076061397790909,0.04560547,4.6925106,448,20480,44.470346450805664,26.387768,0.0039698505,716.6673269473685,1018.9473684210526
-0.0065250983,11,22528,0.9077115505933762,0.10361328,4.690559,424,22528,49.036744832992554,20.218143,0.008046044,769.1123546000001,1070.45
-0.00524697,12,24576,0.8943684995174408,0.024121094,4.688159,442,24576,53.85697960853577,22.588394,0.0021940027,782.230130818182,1089.7272727272727
-0.0070819766,13,26624,0.9688222333788872,0.03173828,4.687732,430,26624,58.48257279396057,9.206484,0.003011597,738.530014625,1042.9583333333333
-0.0044782422,14,28672,0.8688184916973114,0.024365235,4.682348,433,28672,63.237133502960205,32.87663,0.0023608487,743.9117730740741,1049.3333333333333
-0.001154009,15,30720,0.7284397482872009,0.046777345,4.682181,424,30720,67.95755314826965,12.096239,0.0042078886,760.0289027857143,1085.0357142857142
-0.0057602357,16,32768,0.9013925716280937,0.03046875,4.677921,477,32768,72.78627395629883,13.221346,0.00258282,705.4099604838709,1021.7741935483871
-0.0010351101,17,34816,0.8817145377397537,0.057128906,4.6790605,432,34816,77.07159566879272,20.5041,0.0047874325,728.1237155937499,1053.875
-0.0034807033,18,36864,0.8839412480592728,0.07319336,4.679123,436,36864,81.80549049377441,21.477688,0.0058065183,755.0049272121212,1084.030303030303
